Date, Open, High, Low, Close, Volume, Open Interest
2021-05-25, o-622.32, h-623.24, l-622.19, c-622.19, v-3875, oi-0.0
2021-05-25, o-622.35, h-622.855, l-620.56, c-622.855, v-4118, oi-0.0
2021-05-25, o-622.97, h-624.22, l-622.77, c-624.22, v-2141, oi-0.0
2021-05-25, o-624.315, h-624.56, l-623.17, c-623.17, v-1338, oi-0.0
2021-05-25, o-623.99, h-624.045, l-623.225, c-623.55, v-897, oi-0.0
2021-05-25, o-623.615, h-623.615, l-623.11, c-623.11, v-859, oi-0.0
2021-05-25, o-623.125, h-623.37, l-622.4, c-622.545, v-2905, oi-0.0
2021-05-25, o-622.565, h-622.75, l-621.77, c-621.805, v-2519, oi-0.0
2021-05-25, o-621.51, h-622.115, l-621.51, c-622.095, v-1304, oi-0.0
2021-05-25, o-622.06, h-623.595, l-622, c-623.59, v-2609, oi-0.0
2021-05-25, o-623, h-623.6, l-622.705, c-622.76, v-1219, oi-0.0
2021-05-25, o-622.725, h-622.725, l-621.97, c-622.63, v-1516, oi-0.0
2021-05-25, o-622.56, h-623.07, l-622.33, c-622.33, v-2607, oi-0.0
2021-05-25, o-622.4, h-622.95, l-622.23, c-622.885, v-1533, oi-0.0
2021-05-25, o-622.27, h-623.49, l-622.27, c-622.77, v-2978, oi-0.0
2021-05-25, o-622.545, h-622.545, l-621.35, c-621.35, v-1675, oi-0.0
2021-05-25, o-621.15, h-622.41, l-620.895, c-622.25, v-2288, oi-0.0
2021-05-25, o-622.55, h-623.66, l-622.55, c-623.37, v-2312, oi-0.0
2021-05-25, o-623.94, h-625.36, l-623.92, c-624.98, v-2586, oi-0.0
2021-05-25, o-625.28, h-625.87, l-624.77, c-625.87, v-1584, oi-0.0
2021-05-25, o-625.36, h-625.67, l-625, c-625.31, v-2008, oi-0.0
2021-05-25, o-624.95, h-624.99, l-624.55, c-624.55, v-1737, oi-0.0
2021-05-25, o-624.64, h-625.39, l-624.03, c-625.05, v-1473, oi-0.0
2021-05-25, o-624.145, h-624.3, l-623.98, c-624.3, v-1056, oi-0.0
2021-05-25, o-624.58, h-625.165, l-624.575, c-624.65, v-1373, oi-0.0
2021-05-25, o-624.78, h-625.06, l-624.09, c-624.345, v-685, oi-0.0
2021-05-25, o-624.46, h-624.655, l-624.375, c-624.655, v-505, oi-0.0
2021-05-25, o-624.74, h-624.74, l-622.89, c-623.24, v-3277, oi-0.0
2021-05-25, o-623.695, h-623.78, l-623.33, c-623.615, v-1784, oi-0.0
2021-05-25, o-623.385, h-624.06, l-623.385, c-623.845, v-1159, oi-0.0
2021-05-25, o-623.795, h-624.33, l-623.43, c-624, v-1840, oi-0.0
2021-05-25, o-623.945, h-624.75, l-623.945, c-624.17, v-1984, oi-0.0
2021-05-25, o-624.19, h-624.565, l-624.09, c-624.125, v-2056, oi-0.0
2021-05-25, o-623.96, h-624.7, l-623.96, c-623.98, v-2048, oi-0.0
2021-05-25, o-623.9, h-624.6, l-623.87, c-624.6, v-2435, oi-0.0
2021-05-25, o-624.82, h-625.91, l-624.74, c-625.62, v-4942, oi-0.0
2021-05-25, o-625.58, h-625.7, l-624.915, c-625.275, v-3535, oi-0.0
2021-05-25, o-625.46, h-625.72, l-624.92, c-625.07, v-1712, oi-0.0
2021-05-25, o-625.34, h-625.72, l-625.13, c-625.26, v-1507, oi-0.0
2021-05-25, o-625.185, h-625.65, l-623.35, c-623.545, v-4342, oi-0.0
2021-05-25, o-623.29, h-623.58, l-622.795, c-622.85, v-3060, oi-0.0
2021-05-25, o-622.42, h-623.01, l-622.12, c-622.77, v-4891, oi-0.0
2021-05-25, o-622.86, h-623.395, l-622.56, c-623.15, v-2975, oi-0.0
2021-05-25, o-623.47, h-624.49, l-623.21, c-624.49, v-5903, oi-0.0
2021-05-25, o-624.7, h-624.93, l-624.295, c-624.51, v-2428, oi-0.0
2021-05-25, o-624.175, h-624.175, l-623.325, c-623.325, v-3687, oi-0.0
2021-05-25, o-623.785, h-624.94, l-623.465, c-624.59, v-3310, oi-0.0
2021-05-25, o-624.58, h-624.67, l-623.59, c-624.23, v-3617, oi-0.0
2021-05-25, o-624.26, h-624.38, l-623.5, c-623.515, v-4983, oi-0.0
2021-05-25, o-624.39, h-624.39, l-623.49, c-624.37, v-10306, oi-0.0
2021-05-25, o-624.52, h-625.95, l-624.52, c-625.89, v-16767, oi-0.0
2021-05-26, o-629.41, h-631.64, l-628.42, c-628.42, v-12864, oi-0.0
2021-05-26, o-627.66, h-628.53, l-626.83, c-628.53, v-5935, oi-0.0
2021-05-26, o-628.15, h-628.15, l-625.98, c-626.64, v-5018, oi-0.0
