Date, Open, High, Low, Close, Volume, Open Interest
2021-05-19, o-191.92, h-192.15, l-191.74, c-191.935, v-8210, oi-0.0
2021-05-19, o-191.82, h-192.16, l-191.68, c-192.11, v-5887, oi-0.0
2021-05-19, o-192.42, h-193.43, l-192.41, c-193.1, v-5133, oi-0.0
2021-05-19, o-193.25, h-193.32, l-192.89, c-192.89, v-1857, oi-0.0
2021-05-19, o-192.76, h-193.44, l-192.69, c-193.15, v-3985, oi-0.0
2021-05-19, o-193.39, h-194.67, l-193.36, c-194.67, v-2023, oi-0.0
2021-05-19, o-194.52, h-194.78, l-194.03, c-194.16, v-2903, oi-0.0
2021-05-19, o-194.13, h-194.13, l-193.615, c-193.99, v-3353, oi-0.0
2021-05-19, o-193.74, h-194.06, l-193.64, c-193.71, v-1450, oi-0.0
2021-05-19, o-193.72, h-194.38, l-192.58, c-193.59, v-3826, oi-0.0
2021-05-19, o-193.59, h-195.73, l-193.03, c-195.35, v-5323, oi-0.0
2021-05-19, o-195.215, h-195.64, l-193.71, c-193.98, v-5666, oi-0.0
2021-05-19, o-193.93, h-194.07, l-193.55, c-194.07, v-3829, oi-0.0
2021-05-19, o-193.68, h-194.7, l-193.38, c-194.7, v-3150, oi-0.0
2021-05-19, o-194.47, h-195.02, l-194.31, c-195.02, v-4690, oi-0.0
2021-05-19, o-194.72, h-194.72, l-194.09, c-194.09, v-5093, oi-0.0
2021-05-19, o-193.905, h-195.23, l-193.19, c-195.23, v-16543, oi-0.0
2021-05-20, o-195.705, h-198.97, l-195.705, c-198.97, v-12272, oi-0.0
2021-05-20, o-198.45, h-199.37, l-197.66, c-198.225, v-8372, oi-0.0
2021-05-20, o-198.275, h-198.45, l-197.21, c-197.76, v-9195, oi-0.0
2021-05-20, o-198.14, h-198.14, l-197.675, c-197.98, v-1441, oi-0.0
2021-05-20, o-197.99, h-199, l-197.78, c-199, v-6670, oi-0.0
2021-05-20, o-199.29, h-199.73, l-199.1, c-199.14, v-4525, oi-0.0
2021-05-20, o-199.17, h-199.415, l-199.01, c-199.39, v-2057, oi-0.0
2021-05-20, o-199.455, h-199.66, l-199.28, c-199.505, v-3164, oi-0.0
2021-05-20, o-199.505, h-199.745, l-199.275, c-199.575, v-10184, oi-0.0
2021-05-20, o-199.59, h-199.94, l-199.535, c-199.89, v-12611, oi-0.0
2021-05-20, o-199.87, h-199.87, l-199.175, c-199.28, v-7661, oi-0.0
2021-05-20, o-199.47, h-199.915, l-199.26, c-199.45, v-6849, oi-0.0
2021-05-20, o-199.53, h-199.555, l-198.615, c-198.93, v-10285, oi-0.0
