Date, Open, High, Low, Close, Volume, Open Interest
2021-05-12, o-224.47, h-224.98, l-223.61, c-224.98, v-2776, oi-0.0
2021-05-12, o-225.09, h-225.22, l-223.49, c-223.85, v-3763, oi-0.0
2021-05-12, o-223.91, h-224.05, l-222.93, c-223.01, v-3382, oi-0.0
2021-05-12, o-222.51, h-222.76, l-221.93, c-222.6, v-1865, oi-0.0
2021-05-12, o-222.585, h-222.585, l-221.65, c-222.01, v-2804, oi-0.0
2021-05-12, o-222.39, h-225.06, l-222.12, c-224.99, v-3438, oi-0.0
2021-05-12, o-224.975, h-226.235, l-224.91, c-225.155, v-3302, oi-0.0
2021-05-12, o-225.26, h-225.48, l-224.685, c-224.92, v-5581, oi-0.0
2021-05-12, o-225.04, h-225.435, l-224.505, c-225.215, v-1941, oi-0.0
2021-05-12, o-225.12, h-225.22, l-224.515, c-225.22, v-2100, oi-0.0
2021-05-12, o-224.58, h-224.97, l-223.98, c-223.98, v-3174, oi-0.0
2021-05-12, o-224.06, h-225.22, l-224, c-224.92, v-1871, oi-0.0
2021-05-12, o-225.255, h-226.59, l-225.255, c-225.85, v-1708, oi-0.0
2021-05-12, o-226.1, h-226.47, l-225.02, c-225.19, v-2714, oi-0.0
2021-05-12, o-224.26, h-224.33, l-223.6, c-223.6, v-3448, oi-0.0
2021-05-12, o-223.49, h-224.595, l-222.94, c-224.57, v-4165, oi-0.0
2021-05-12, o-224.1, h-225.41, l-224.1, c-225.265, v-6047, oi-0.0
2021-05-12, o-225.5, h-225.81, l-224.96, c-225.71, v-21832, oi-0.0
2021-05-13, o-233.01, h-233.19, l-228.26, c-228.43, v-3467, oi-0.0
2021-05-13, o-228.96, h-228.96, l-225.6, c-226.41, v-10540, oi-0.0
2021-05-13, o-226.875, h-228.24, l-226.71, c-226.81, v-10555, oi-0.0
2021-05-13, o-226.73, h-227.01, l-224.19, c-224.19, v-3897, oi-0.0
2021-05-13, o-224.9, h-225.18, l-223.76, c-223.93, v-2807, oi-0.0
2021-05-13, o-224.55, h-225.42, l-224.13, c-224.825, v-1840, oi-0.0
2021-05-13, o-223.71, h-224.42, l-223.135, c-224.03, v-4907, oi-0.0
2021-05-13, o-223.67, h-224.115, l-223.34, c-223.34, v-5682, oi-0.0
2021-05-13, o-223.515, h-224.4, l-222.985, c-222.985, v-4365, oi-0.0
2021-05-13, o-222.83, h-224.035, l-222.69, c-223.66, v-3894, oi-0.0
2021-05-13, o-224.35, h-224.82, l-223.91, c-224.63, v-3619, oi-0.0
2021-05-13, o-224.64, h-224.77, l-224.09, c-224.68, v-4056, oi-0.0
2021-05-13, o-225.16, h-225.16, l-223.79, c-223.79, v-2385, oi-0.0
2021-05-13, o-224.035, h-224.23, l-222.185, c-222.495, v-4790, oi-0.0
2021-05-13, o-222.43, h-222.795, l-221.99, c-222.1, v-2312, oi-0.0
2021-05-13, o-221.81, h-221.81, l-219.78, c-219.78, v-4101, oi-0.0
2021-05-13, o-219.37, h-220.285, l-218.84, c-220.06, v-4299, oi-0.0
2021-05-13, o-220.03, h-221.18, l-219.25, c-220.275, v-3362, oi-0.0
2021-05-13, o-221.085, h-222.375, l-220.585, c-221.21, v-15537, oi-0.0
2021-05-13, o-221.25, h-221.46, l-220.26, c-221.16, v-6452, oi-0.0
2021-05-13, o-221.63, h-223.69, l-221.435, c-223.69, v-4976, oi-0.0
2021-05-13, o-223.74, h-223.76, l-222.47, c-222.58, v-4637, oi-0.0
2021-05-13, o-222.05, h-222.58, l-221.485, c-221.485, v-2755, oi-0.0
2021-05-13, o-221.5, h-221.98, l-220.88, c-221.435, v-3162, oi-0.0
2021-05-13, o-221.65, h-222.905, l-221.65, c-222.905, v-4593, oi-0.0
2021-05-13, o-222.7, h-222.7, l-221.59, c-222.09, v-21687, oi-0.0
2021-05-14, o-227.78, h-227.94, l-223.49, c-223.49, v-2662, oi-0.0
2021-05-14, o-223.61, h-225.17, l-223.46, c-224.94, v-2064, oi-0.0
2021-05-14, o-225.52, h-226.755, l-225.52, c-226.36, v-4687, oi-0.0
2021-05-14, o-226.73, h-228, l-226.73, c-227.97, v-2796, oi-0.0
2021-05-14, o-228, h-229.94, l-227.65, c-229.3, v-2436, oi-0.0
2021-05-14, o-228.4, h-229.8, l-228.4, c-229.66, v-2198, oi-0.0
2021-05-14, o-229.86, h-230.5, l-228.78, c-230.34, v-3146, oi-0.0
2021-05-14, o-229.85, h-231.18, l-229.85, c-230.55, v-4401, oi-0.0
2021-05-14, o-230.81, h-230.88, l-229.72, c-229.72, v-2711, oi-0.0
2021-05-14, o-229.73, h-230.19, l-229.41, c-229.41, v-1856, oi-0.0
2021-05-14, o-229.2, h-230.71, l-229.2, c-230.71, v-1559, oi-0.0
2021-05-14, o-230.115, h-230.115, l-229.41, c-229.67, v-1653, oi-0.0
2021-05-14, o-229.76, h-229.95, l-228.58, c-228.59, v-5376, oi-0.0
