Date, Open, High, Low, Close, Volume, Open Interest
2021-05-12, o-229.76, h-234.28, l-218.63, c-221.82, v-1831362, oi-0.0
2021-05-13, o-227.64, h-231.3, l-223.28, c-229.26, v-1371650, oi-0.0
2021-05-16, o-226.78, h-230.63, l-222.045, c-224.94, v-1395618, oi-0.0
2021-05-17, o-227.77, h-232.2549, l-224.89, c-227.33, v-1226993, oi-0.0
2021-05-18, o-222.7, h-230, l-221.1, c-228.42, v-1032893, oi-0.0
2021-05-19, o-230.5, h-234.55, l-229.18, c-234.04, v-1206166, oi-0.0
2021-05-20, o-238.98, h-243.19, l-238.09, c-238.31, v-1637128, oi-0.0
2021-05-23, o-240.43, h-243.61, l-239.55, c-242.64, v-1154092, oi-0.0
2021-05-24, o-242.79, h-245, l-239.13, c-244.32, v-1379850, oi-0.0
2021-05-25, o-246.79, h-247.45, l-242.025, c-246.58, v-857601, oi-0.0
