Date, Open, High, Low, Close, Volume, Open Interest
2021-04-27, o-528.37, h-529.49, l-528.37, c-529.485, v-882, oi-0.0
2021-04-27, o-529.26, h-529.29, l-529.02, c-529.02, v-394, oi-0.0
2021-04-27, o-529.995, h-531.36, l-529.995, c-531.36, v-464, oi-0.0
2021-04-27, o-531.56, h-532.22, l-531.56, c-532, v-400, oi-0.0
2021-04-27, o-532.255, h-532.255, l-532.05, c-532.18, v-625, oi-0.0
2021-04-27, o-532.01, h-532.52, l-532.01, c-532.5, v-897, oi-0.0
2021-04-27, o-532.69, h-532.75, l-532.06, c-532.5, v-872, oi-0.0
2021-04-27, o-532.2, h-532.83, l-532.2, c-532.83, v-783, oi-0.0
2021-04-27, o-532.715, h-532.715, l-532.43, c-532.43, v-486, oi-0.0
2021-04-27, o-532.74, h-532.74, l-532.13, c-532.17, v-1042, oi-0.0
2021-04-27, o-532.47, h-532.47, l-532.305, c-532.305, v-472, oi-0.0
2021-04-27, o-532.295, h-533.23, l-532.295, c-533.23, v-847, oi-0.0
2021-04-27, o-533.635, h-533.79, l-533.635, c-533.79, v-434, oi-0.0
2021-04-27, o-534.04, h-534.34, l-533.44, c-533.44, v-460, oi-0.0
2021-04-27, o-533.72, h-533.87, l-533.72, c-533.87, v-443, oi-0.0
2021-04-27, o-533.74, h-533.78, l-533.49, c-533.49, v-1025, oi-0.0
2021-04-27, o-534.08, h-534.33, l-534.06, c-534.33, v-534, oi-0.0
2021-04-27, o-534.105, h-534.105, l-534.045, c-534.045, v-366, oi-0.0
2021-04-27, o-533.27, h-533.27, l-533, c-533.11, v-519, oi-0.0
2021-04-27, o-533.07, h-533.07, l-533.07, c-533.07, v-181, oi-0.0
2021-04-27, o-533.47, h-533.7, l-533.47, c-533.7, v-410, oi-0.0
2021-04-27, o-532.3, h-533.12, l-532.05, c-533.07, v-5789, oi-0.0
2021-04-28, o-533.1, h-533.75, l-533.1, c-533.75, v-234, oi-0.0
2021-04-28, o-531.54, h-535.84, l-531.54, c-535.84, v-1360, oi-0.0
2021-04-28, o-531.22, h-531.615, l-531.22, c-531.615, v-497, oi-0.0
2021-04-28, o-530.35, h-530.35, l-530.35, c-530.35, v-131, oi-0.0
2021-04-28, o-532.33, h-533.565, l-532.33, c-533.17, v-715, oi-0.0
2021-04-28, o-533.51, h-533.51, l-533.17, c-533.17, v-202, oi-0.0
2021-04-28, o-533.05, h-533.05, l-533.05, c-533.05, v-138, oi-0.0
2021-04-28, o-534.115, h-534.115, l-533.83, c-533.83, v-339, oi-0.0
2021-04-28, o-534.5, h-534.52, l-534.5, c-534.52, v-343, oi-0.0
2021-04-28, o-532.79, h-532.79, l-532.79, c-532.79, v-105, oi-0.0
2021-04-28, o-533.29, h-533.48, l-533.29, c-533.42, v-338, oi-0.0
2021-04-28, o-533.46, h-533.46, l-533.46, c-533.46, v-121, oi-0.0
2021-04-28, o-533.36, h-533.61, l-533.175, c-533.49, v-628, oi-0.0
2021-04-28, o-533.41, h-533.46, l-533.41, c-533.46, v-300, oi-0.0
2021-04-28, o-533.995, h-533.995, l-532.55, c-532.55, v-527, oi-0.0
2021-04-28, o-532.09, h-532.09, l-531.035, c-531.035, v-577, oi-0.0
2021-04-28, o-531.04, h-531.04, l-530.06, c-530.06, v-1299, oi-0.0
2021-04-28, o-530, h-530, l-528.83, c-528.83, v-734, oi-0.0
2021-04-28, o-529.47, h-529.47, l-528.35, c-528.35, v-500, oi-0.0
2021-04-28, o-529.92, h-530, l-529.03, c-529.175, v-1091, oi-0.0
2021-04-28, o-529.69, h-529.79, l-529.68, c-529.68, v-486, oi-0.0
2021-04-28, o-528.65, h-528.65, l-528.04, c-528.04, v-450, oi-0.0
2021-04-28, o-528.3, h-528.3, l-528.3, c-528.3, v-104, oi-0.0
2021-04-28, o-527.81, h-528.33, l-527.245, c-527.99, v-1417, oi-0.0
2021-04-28, o-527.845, h-528.75, l-527.485, c-528.4, v-2330, oi-0.0
2021-04-28, o-528.46, h-528.78, l-527.63, c-528.67, v-5410, oi-0.0
2021-04-29, o-533.89, h-543.76, l-531.8, c-543.26, v-3115, oi-0.0
2021-04-29, o-542.93, h-543.95, l-539.25, c-539.735, v-2545, oi-0.0
2021-04-29, o-536.68, h-536.89, l-532.71, c-532.71, v-1993, oi-0.0
2021-04-29, o-533.73, h-536.88, l-533.21, c-534.7, v-1979, oi-0.0
2021-04-29, o-535.29, h-536.72, l-535.29, c-536.15, v-1503, oi-0.0
2021-04-29, o-537.44, h-537.44, l-536.48, c-536.48, v-673, oi-0.0
2021-04-29, o-536.46, h-536.46, l-536.26, c-536.26, v-515, oi-0.0
2021-04-29, o-535.13, h-536.32, l-535.13, c-536.32, v-751, oi-0.0
2021-04-29, o-536.12, h-536.61, l-536.12, c-536.29, v-1055, oi-0.0
2021-04-29, o-537.035, h-537.28, l-537.035, c-537.23, v-960, oi-0.0
2021-04-29, o-536.69, h-536.69, l-535.5, c-535.565, v-741, oi-0.0
2021-04-29, o-535.95, h-536.05, l-535.01, c-535.01, v-1198, oi-0.0
2021-04-29, o-535.28, h-536.06, l-535.28, c-536.06, v-829, oi-0.0
2021-04-29, o-535.78, h-535.78, l-534.28, c-534.28, v-855, oi-0.0
2021-04-29, o-536.06, h-536.325, l-536.01, c-536.21, v-693, oi-0.0
2021-04-29, o-536.45, h-539.11, l-536.45, c-539, v-4111, oi-0.0
