Date, Open, High, Low, Close, Volume, Open Interest
2020-11-23, o-92.38, h-93.81, l-91.62, c-93.74, v-1326993, oi-0.0
2020-11-24, o-94, h-94, l-92.592, c-93.19, v-693022, oi-0.0
2020-11-26, o-93.06, h-93.5962, l-92.75, c-93.37, v-450672, oi-0.0
2020-11-29, o-93.01, h-93.37, l-91.7, c-93.13, v-1008412, oi-0.0
2020-11-30, o-93.74, h-93.96, l-93.01, c-93.54, v-1131131, oi-0.0
2020-12-01, o-93.53, h-93.62, l-92.28, c-92.8, v-1190812, oi-0.0
2020-12-02, o-92.35, h-93.76, l-92.35, c-93.37, v-726605, oi-0.0
2020-12-03, o-93.58, h-94.55, l-92.98, c-94.48, v-740538, oi-0.0
2020-12-06, o-93.93, h-94.23, l-93.14, c-93.55, v-701704, oi-0.0
2020-12-07, o-93.72, h-93.765, l-92.72, c-93.33, v-752998, oi-0.0
2020-12-08, o-93.31, h-93.62, l-92.5501, c-93.22, v-891611, oi-0.0
2020-12-09, o-92.43, h-92.5923, l-91.2, c-91.33, v-1380807, oi-0.0
2020-12-10, o-91.1, h-91.89, l-90.73, c-91.82, v-1252731, oi-0.0
2020-12-13, o-92.47, h-93.18, l-91.29, c-91.33, v-872437, oi-0.0
2020-12-14, o-91.61, h-93.55, l-91.01, c-93.54, v-1465890, oi-0.0
2020-12-15, o-93.43, h-94.84, l-92.44, c-94.39, v-1997069, oi-0.0
2020-12-16, o-94.84, h-95.75, l-94.33, c-95.63, v-1178362, oi-0.0
2020-12-17, o-96.13, h-97.13, l-95.77, c-97.02, v-1550871, oi-0.0
2020-12-20, o-95.64, h-97.17, l-94.96, c-96.6, v-1613731, oi-0.0
2020-12-21, o-96.42, h-97.19, l-96.36, c-96.68, v-1454356, oi-0.0
2020-12-22, o-99.5, h-99.95, l-94.32, c-94.33, v-2816965, oi-0.0
2020-12-23, o-94.9, h-95.0084, l-93.38, c-94.71, v-742817, oi-0.0
2020-12-27, o-95.63, h-95.79, l-93.75, c-94.34, v-983198, oi-0.0
2020-12-28, o-94.99, h-94.99, l-92.91, c-93.15, v-810972, oi-0.0
2020-12-29, o-93.33, h-94.02, l-91.69, c-92.18, v-1063075, oi-0.0
2020-12-30, o-92.3, h-93.42, l-91.76, c-93.19, v-996512, oi-0.0
2021-01-03, o-93.2135, h-93.52, l-89.24, c-90.36, v-1693852, oi-0.0
2021-01-04, o-90.44, h-90.73, l-89.51, c-90.04, v-1001290, oi-0.0
2021-01-05, o-89.99, h-92.04, l-89.55, c-91.14, v-1500317, oi-0.0
2021-01-06, o-90.99, h-91.89, l-90.52, c-91.53, v-1058569, oi-0.0
2021-01-07, o-91.47, h-92.5, l-91.24, c-92.02, v-985199, oi-0.0
2021-01-10, o-91.54, h-91.94, l-90.58, c-91, v-734731, oi-0.0
2021-01-11, o-90.78, h-91.08, l-89.52, c-90.73, v-883610, oi-0.0
2021-01-12, o-90.28, h-90.46, l-89.37, c-89.55, v-1474057, oi-0.0
2021-01-13, o-89.66, h-89.8038, l-87.9, c-88.07, v-1135223, oi-0.0
2021-01-14, o-87.56, h-88.51, l-86.95, c-88.37, v-1302534, oi-0.0
2021-01-18, o-88.69, h-89.19, l-88.05, c-88.34, v-1274224, oi-0.0
2021-01-19, o-87.8, h-89.63, l-87.8, c-89.35, v-1202914, oi-0.0
2021-01-20, o-89.02, h-89.37, l-87.25, c-87.55, v-1189288, oi-0.0
2021-01-21, o-87.23, h-87.489, l-86.37, c-86.8, v-989251, oi-0.0
2021-01-24, o-86.6, h-87.3, l-85.6, c-86.98, v-1761964, oi-0.0
2021-01-25, o-87.26, h-88.03, l-86.56, c-87.32, v-1386037, oi-0.0
2021-01-26, o-86.19, h-88.17, l-85.3, c-87.31, v-3324331, oi-0.0
2021-01-27, o-88.03, h-90.13, l-87.9, c-89.09, v-3062534, oi-0.0
2021-01-28, o-87.99, h-87.99, l-86.24, c-87.34, v-1744974, oi-0.0
2021-01-31, o-87.77, h-90.01, l-86.8876, c-89.3, v-1621372, oi-0.0
2021-02-01, o-89.82, h-91.04, l-88.9, c-90.52, v-1492725, oi-0.0
2021-02-02, o-90.54, h-90.54, l-89.12, c-89.96, v-1304442, oi-0.0
2021-02-03, o-90.3, h-91.61, l-89.935, c-91.58, v-935712, oi-0.0
2021-02-04, o-92, h-92.2, l-91.35, c-91.62, v-863548, oi-0.0
2021-02-07, o-90.63, h-91.89, l-90.53, c-91.71, v-797969, oi-0.0
2021-02-08, o-91.66, h-91.68, l-90.78, c-90.89, v-1179432, oi-0.0
2021-02-09, o-91.51, h-91.51, l-90.3975, c-90.44, v-844937, oi-0.0
2021-02-10, o-90.81, h-91.1, l-90.02, c-90.28, v-1007274, oi-0.0
2021-02-11, o-90.24, h-90.24, l-88.81, c-89.38, v-1256305, oi-0.0
2021-02-15, o-89.34, h-89.61, l-88.25, c-88.8, v-1785603, oi-0.0
2021-02-16, o-88.2, h-89.38, l-87.67, c-89.17, v-1836140, oi-0.0
2021-02-17, o-88.88, h-92.09, l-88.71, c-91.275, v-1918385, oi-0.0
2021-02-18, o-90.68, h-91.55, l-89.8558, c-90.24, v-1465787, oi-0.0
2021-02-21, o-89.94, h-91.33, l-89.12, c-90.39, v-1287468, oi-0.0
2021-02-22, o-90.14, h-91.71, l-89.48, c-90.85, v-1934174, oi-0.0
2021-02-23, o-90.0363, h-93.7, l-89.41, c-93.36, v-1538508, oi-0.0
2021-02-24, o-93.01, h-93.8, l-91.01, c-91.42, v-1785057, oi-0.0
2021-02-25, o-91.11, h-92, l-90.32, c-91.08, v-1317466, oi-0.0
2021-02-28, o-92, h-93.7, l-91.21, c-92.75, v-1257580, oi-0.0
2021-03-01, o-92.69, h-93.195, l-91.65, c-92.14, v-1028912, oi-0.0
2021-03-02, o-91.53, h-91.95, l-90.35, c-90.48, v-1216748, oi-0.0
2021-03-03, o-90.43, h-91.48, l-88.685, c-89.31, v-1966916, oi-0.0
2021-03-04, o-90.27, h-92.465, l-89.28, c-92.09, v-2110689, oi-0.0
2021-03-07, o-91.29, h-94.5, l-90.17, c-93.21, v-1470482, oi-0.0
