Date, Open, High, Low, Close, Volume, Open Interest
2021-05-12, o-144.37, h-147.12, l-143.58, c-146.36, v-3975259, oi-0.0
2021-05-13, o-147.2, h-147.9, l-146.415, c-146.59, v-3392637, oi-0.0
2021-05-16, o-147.07, h-147.4, l-145.71, c-146.18, v-3125806, oi-0.0
2021-05-17, o-146.91, h-146.97, l-145.32, c-145.52, v-3506933, oi-0.0
2021-05-18, o-144.68, h-145.63, l-144.08, c-145.45, v-3475103, oi-0.0
2021-05-19, o-145.21, h-147.7299, l-145.11, c-147.23, v-3090420, oi-0.0
2021-05-20, o-147.67, h-148.31, l-146.52, c-147.14, v-3490506, oi-0.0
2021-05-23, o-147.64, h-148.35, l-147.01, c-147.86, v-2579884, oi-0.0
2021-05-24, o-148.29, h-148.37, l-147.01, c-148.33, v-4174421, oi-0.0
2021-05-25, o-147.91, h-148.67, l-147.68, c-148.29, v-1290850, oi-0.0
