Date, Open, High, Low, Close, Volume, Open Interest
2021-04-27, o-102.55, h-102.66, l-102.28, c-102.325, v-6681, oi-0.0
2021-04-27, o-102.32, h-102.395, l-102.12, c-102.3, v-4576, oi-0.0
2021-04-27, o-102.295, h-102.34, l-102.105, c-102.33, v-4145, oi-0.0
2021-04-27, o-102.01, h-102.04, l-101.685, c-101.74, v-4389, oi-0.0
2021-04-27, o-101.77, h-101.77, l-101.49, c-101.65, v-3862, oi-0.0
2021-04-27, o-101.515, h-101.885, l-101.4, c-101.86, v-9941, oi-0.0
2021-04-27, o-101.915, h-102.49, l-101.84, c-102.24, v-29767, oi-0.0
2021-04-28, o-101.43, h-101.67, l-100.37, c-101.585, v-13852, oi-0.0
2021-04-28, o-101.58, h-102.835, l-101.58, c-102.14, v-11661, oi-0.0
2021-04-28, o-102.1, h-102.41, l-101.835, c-101.88, v-9071, oi-0.0
2021-04-28, o-102.2, h-102.84, l-102.01, c-102.74, v-10783, oi-0.0
2021-04-28, o-102.72, h-103.21, l-102.6, c-102.87, v-8784, oi-0.0
2021-04-28, o-102.9, h-103.23, l-102.535, c-103.23, v-9542, oi-0.0
2021-04-28, o-103.13, h-103.19, l-101.98, c-102, v-9702, oi-0.0
2021-04-28, o-102.03, h-102.38, l-101.82, c-102.08, v-4734, oi-0.0
2021-04-28, o-102.1, h-103.24, l-102.1, c-103.195, v-8030, oi-0.0
2021-04-28, o-103.05, h-103.49, l-103.04, c-103.49, v-10447, oi-0.0
2021-04-28, o-103.36, h-103.83, l-103.24, c-103.83, v-10121, oi-0.0
2021-04-28, o-103.79, h-104.335, l-103.76, c-104.19, v-8394, oi-0.0
2021-04-28, o-104.27, h-104.27, l-103.05, c-103.11, v-8960, oi-0.0
2021-04-28, o-103.23, h-103.34, l-102.99, c-102.99, v-4798, oi-0.0
2021-04-28, o-102.89, h-103.17, l-102.83, c-102.94, v-3032, oi-0.0
2021-04-28, o-102.92, h-103.255, l-102.76, c-103.09, v-4597, oi-0.0
2021-04-28, o-103.21, h-103.24, l-102.77, c-103.06, v-2860, oi-0.0
2021-04-28, o-102.89, h-103.15, l-102.75, c-102.92, v-3974, oi-0.0
2021-04-28, o-102.8, h-102.96, l-102.24, c-102.54, v-9463, oi-0.0
2021-04-28, o-102.75, h-102.75, l-102.34, c-102.495, v-2646, oi-0.0
2021-04-28, o-102.45, h-103.325, l-102.19, c-103.325, v-8454, oi-0.0
2021-04-28, o-103.27, h-103.43, l-103.07, c-103.43, v-6660, oi-0.0
2021-04-28, o-103.45, h-103.48, l-102.73, c-102.98, v-6715, oi-0.0
2021-04-28, o-103.03, h-103.24, l-102.83, c-103.24, v-5410, oi-0.0
2021-04-28, o-103.18, h-103.58, l-102.9, c-103.485, v-13464, oi-0.0
2021-04-28, o-103.51, h-103.51, l-103.08, c-103.21, v-16776, oi-0.0
2021-04-29, o-103.09, h-103.21, l-101.67, c-102.77, v-23830, oi-0.0
