Date, Open, High, Low, Close, Volume, Open Interest
2021-02-25, o-118.21, h-121.78, l-114.61, c-120.46, v-6505767, oi-0.0
2021-02-28, o-122.4775, h-124.4, l-118.77, c-123.85, v-5705657, oi-0.0
2021-03-01, o-125, h-126.7399, l-117.63, c-117.915, v-5083891, oi-0.0
2021-03-02, o-117.905, h-118, l-107.8, c-108.0483, v-10725727, oi-0.0
2021-03-03, o-107.74, h-110.97, l-97.1937, c-104.8, v-13620363, oi-0.0
2021-03-04, o-105.15, h-107.74, l-94, c-105.23, v-14561778, oi-0.0
2021-03-07, o-108.69, h-115.39, l-100.42, c-101.35, v-13062085, oi-0.0
2021-03-08, o-108.18, h-116.46, l-106.29, c-116.03, v-10595785, oi-0.0
2021-03-09, o-117.99, h-119.12, l-110.88, c-111.32, v-8481278, oi-0.0
2021-03-10, o-115.4, h-118.2, l-114.01, c-117.77, v-7631691, oi-0.0
2021-03-11, o-113.49, h-115.2, l-109.25, c-111.55, v-7827853, oi-0.0
2021-03-14, o-111.67, h-112.75, l-107.35, c-112.75, v-5002629, oi-0.0
2021-03-15, o-113.61, h-113.98, l-106.2, c-108.01, v-5253411, oi-0.0
2021-03-16, o-105.525, h-109.39, l-102.26, c-107.78, v-9269175, oi-0.0
2021-03-17, o-105.005, h-107.48, l-101.6698, c-102.76, v-7588086, oi-0.0
2021-03-18, o-103.1497, h-108.93, l-102.03, c-108.24, v-7746664, oi-0.0
2021-03-21, o-108.97, h-110.73, l-106.65, c-109.39, v-5960284, oi-0.0
2021-03-22, o-111, h-116.29, l-109.51, c-113.36, v-8772478, oi-0.0
2021-03-23, o-112.48, h-112.8899, l-101.12, c-101.79, v-9973492, oi-0.0
2021-03-24, o-99.67, h-104.47, l-98.73, c-103.23, v-7936277, oi-0.0
2021-03-25, o-104.11, h-106.56, l-102.4, c-106.48, v-5750361, oi-0.0
2021-03-28, o-106, h-108.45, l-103.9, c-105.08, v-4975095, oi-0.0
2021-03-29, o-103.81, h-107.48, l-101.8105, c-107.01, v-4028162, oi-0.0
2021-03-30, o-109, h-114.5, l-108.25, c-112.53, v-6389449, oi-0.0
2021-03-31, o-114.99, h-118.96, l-111.67, c-112.24, v-6688096, oi-0.0
2021-04-04, o-112.88, h-112.98, l-107.73, c-109.09, v-5770054, oi-0.0
2021-04-05, o-109.23, h-117.4511, l-108.28, c-115.41, v-7075641, oi-0.0
2021-04-06, o-114.3, h-116.2, l-111.62, c-115.27, v-5874022, oi-0.0
2021-04-07, o-117.5, h-124.5, l-116.63, c-123.63, v-14419551, oi-0.0
2021-04-08, o-122.492, h-122.7, l-118.41, c-118.65, v-6287014, oi-0.0
2021-04-11, o-118.35, h-119.425, l-115.2648, c-119, v-5374487, oi-0.0
2021-04-12, o-121.49, h-124.8, l-120.59, c-122.36, v-6059084, oi-0.0
2021-04-13, o-122.36, h-122.91, l-117.39, c-117.78, v-5554968, oi-0.0
2021-04-14, o-120, h-121.795, l-118.2, c-119.94, v-4350164, oi-0.0
2021-04-15, o-119.44, h-119.48, l-115.76, c-116.21, v-4576281, oi-0.0
2021-04-18, o-108.68, h-112.91, l-104.58, c-107.74, v-21607738, oi-0.0
2021-04-19, o-108.09, h-109.14, l-103.92, c-106.49, v-8240547, oi-0.0
2021-04-20, o-103.46, h-104.25, l-99.12, c-99.92, v-16201820, oi-0.0
2021-04-21, o-101.25, h-105.08, l-100.0343, c-101.49, v-14098486, oi-0.0
2021-04-22, o-102.3, h-103.59, l-99.74, c-101.07, v-9874175, oi-0.0
2021-04-25, o-102.66, h-103.2739, l-100.4106, c-103.27, v-7740665, oi-0.0
2021-04-26, o-103.99, h-104.39, l-101.36, c-102.34, v-5477003, oi-0.0
2021-04-27, o-101.7, h-104.39, l-100.27, c-103.21, v-6079443, oi-0.0
2021-04-28, o-103.2, h-103.4368, l-96.54, c-98.92, v-13047532, oi-0.0
2021-04-29, o-97.75, h-101.4, l-97.25, c-98.36, v-8028410, oi-0.0
2021-05-02, o-98.3, h-99.8195, l-95.31, c-95.84, v-6783087, oi-0.0
2021-05-03, o-94.98, h-97.27, l-92.72, c-96.82, v-8635857, oi-0.0
2021-05-04, o-97.74, h-98.8, l-81.41, c-82.626, v-84121284, oi-0.0
2021-05-05, o-80.59, h-85.38, l-80.48, c-83.78, v-38812236, oi-0.0
2021-05-06, o-89.51, h-92.02, l-82.91, c-83.796, v-60809716, oi-0.0
2021-05-09, o-82.65, h-88.27, l-81.06, c-87.5, v-37465054, oi-0.0
2021-05-10, o-84.42, h-91.38, l-83.63, c-91, v-24753453, oi-0.0
2021-05-11, o-88.56, h-92.59, l-86.51, c-89.36, v-27917912, oi-0.0
2021-05-12, o-90.69, h-95.55, l-90.5277, c-95.3, v-28074755, oi-0.0
2021-05-13, o-95.6421, h-97.8, l-92.9003, c-96.531, v-17957268, oi-0.0
2021-05-16, o-96.23, h-96.9699, l-89.43, c-92.31, v-17418559, oi-0.0
2021-05-17, o-93.02, h-97.85, l-92.5501, c-95.25, v-16681511, oi-0.0
2021-05-18, o-93.41, h-97.5699, l-92.6301, c-96.58, v-14410120, oi-0.0
2021-05-19, o-98.09, h-100.75, l-97.8, c-100.46, v-11255736, oi-0.0
2021-05-20, o-100.04, h-102.25, l-98.57, c-100.95, v-10079578, oi-0.0
2021-05-23, o-101.9, h-102.11, l-98.12, c-101.06, v-12195956, oi-0.0
2021-05-24, o-101.16, h-102.72, l-98.68, c-99.41, v-8647754, oi-0.0
2021-05-25, o-99.96, h-108.68, l-99.96, c-108.41, v-11216939, oi-0.0
