Date, Open, High, Low, Close, Volume, Open Interest
2021-05-19, o-241.81, h-241.81, l-241.31, c-241.68, v-1998, oi-0.0
2021-05-19, o-241.75, h-241.75, l-241.3, c-241.52, v-1183, oi-0.0
2021-05-19, o-241.37, h-241.405, l-240.925, c-240.96, v-1586, oi-0.0
2021-05-19, o-241.13, h-241.65, l-241.09, c-241.43, v-3324, oi-0.0
2021-05-19, o-241.25, h-241.51, l-241.25, c-241.51, v-753, oi-0.0
2021-05-19, o-241.8, h-241.81, l-241.8, c-241.81, v-251, oi-0.0
2021-05-19, o-241.91, h-242.555, l-241.91, c-242.54, v-1502, oi-0.0
2021-05-19, o-242.53, h-243.01, l-242.53, c-242.68, v-1696, oi-0.0
2021-05-19, o-242.27, h-242.61, l-242.255, c-242.42, v-1697, oi-0.0
2021-05-19, o-242.5, h-242.805, l-242.355, c-242.605, v-9429, oi-0.0
2021-05-19, o-242.8, h-242.8, l-242.63, c-242.63, v-602, oi-0.0
2021-05-19, o-242.37, h-242.38, l-242.37, c-242.38, v-226, oi-0.0
2021-05-19, o-242.45, h-242.76, l-242.45, c-242.53, v-670, oi-0.0
2021-05-19, o-242.37, h-242.55, l-242.31, c-242.37, v-839, oi-0.0
2021-05-19, o-242.2, h-242.2, l-242.2, c-242.2, v-260, oi-0.0
2021-05-19, o-242.42, h-242.42, l-242.38, c-242.38, v-667, oi-0.0
2021-05-19, o-242.55, h-242.93, l-242.55, c-242.93, v-333, oi-0.0
2021-05-19, o-243.13, h-243.48, l-243.13, c-243.28, v-2043, oi-0.0
2021-05-19, o-243.5, h-243.5, l-243.23, c-243.26, v-626, oi-0.0
2021-05-19, o-243.23, h-243.23, l-242.98, c-243, v-3858, oi-0.0
2021-05-19, o-242.965, h-243.385, l-242.965, c-243.33, v-2325, oi-0.0
2021-05-19, o-243.23, h-243.27, l-242.81, c-242.81, v-2526, oi-0.0
2021-05-19, o-242.69, h-242.79, l-242.68, c-242.75, v-2641, oi-0.0
2021-05-19, o-242.62, h-242.78, l-242.62, c-242.78, v-496, oi-0.0
2021-05-19, o-242.77, h-242.92, l-242.69, c-242.92, v-1223, oi-0.0
2021-05-19, o-242.96, h-243.23, l-242.86, c-243.08, v-1350, oi-0.0
2021-05-19, o-243.2, h-243.2, l-243.04, c-243.07, v-680, oi-0.0
2021-05-19, o-242.825, h-243.58, l-242.4, c-242.53, v-3226, oi-0.0
2021-05-19, o-242.51, h-242.885, l-241.86, c-242.84, v-4384, oi-0.0
2021-05-19, o-242.81, h-242.81, l-242.28, c-242.77, v-1590, oi-0.0
2021-05-19, o-242.29, h-242.58, l-242.145, c-242.49, v-1719, oi-0.0
2021-05-19, o-242.76, h-244.97, l-242.76, c-244.6, v-3090, oi-0.0
2021-05-19, o-244.61, h-245.07, l-244.61, c-244.94, v-3848, oi-0.0
2021-05-19, o-244.95, h-245.02, l-244.81, c-245.02, v-1095, oi-0.0
2021-05-19, o-244.42, h-244.51, l-243.395, c-243.395, v-1829, oi-0.0
2021-05-19, o-243.415, h-243.54, l-243.15, c-243.275, v-1962, oi-0.0
2021-05-19, o-243.22, h-243.22, l-242.635, c-242.635, v-620, oi-0.0
2021-05-19, o-242.835, h-242.885, l-242.55, c-242.56, v-2046, oi-0.0
2021-05-19, o-242.57, h-243.305, l-242.57, c-242.78, v-3362, oi-0.0
2021-05-19, o-242.66, h-242.675, l-242.215, c-242.56, v-6022, oi-0.0
2021-05-19, o-242.96, h-243.58, l-242.83, c-243.53, v-2424, oi-0.0
2021-05-19, o-243.49, h-243.77, l-243.49, c-243.62, v-779, oi-0.0
2021-05-19, o-243.52, h-243.66, l-243.48, c-243.49, v-1579, oi-0.0
2021-05-19, o-243.34, h-244.4, l-243.34, c-244.29, v-3038, oi-0.0
2021-05-19, o-244.36, h-244.54, l-244.09, c-244.54, v-1504, oi-0.0
2021-05-19, o-244.12, h-244.12, l-243.7, c-243.75, v-1560, oi-0.0
2021-05-19, o-243.84, h-243.87, l-243.62, c-243.7, v-2007, oi-0.0
2021-05-19, o-243.7, h-243.7, l-243.33, c-243.33, v-3120, oi-0.0
2021-05-19, o-243.28, h-243.47, l-242.94, c-243.07, v-3013, oi-0.0
2021-05-19, o-243.41, h-244.16, l-243.33, c-244.13, v-5956, oi-0.0
2021-05-19, o-244.105, h-244.855, l-244.105, c-244.67, v-7256, oi-0.0
2021-05-20, o-246.99, h-247.69, l-245.42, c-247.49, v-12379, oi-0.0
