Date, Open, High, Low, Close, Volume, Open Interest
2021-05-19, o-128.98, h-128.98, l-128.8, c-128.85, v-2917, oi-0.0
2021-05-19, o-128.75, h-128.84, l-128.67, c-128.76, v-3371, oi-0.0
2021-05-19, o-128.8, h-129.16, l-128.8, c-129.08, v-1877, oi-0.0
2021-05-19, o-129.14, h-129.14, l-128.92, c-129, v-1379, oi-0.0
2021-05-19, o-129.09, h-129.13, l-129.01, c-129.05, v-1484, oi-0.0
2021-05-19, o-129.08, h-129.29, l-129.08, c-129.26, v-1949, oi-0.0
2021-05-19, o-129.28, h-129.4, l-129.28, c-129.34, v-1945, oi-0.0
2021-05-19, o-129.36, h-129.68, l-129.1, c-129.68, v-5158, oi-0.0
2021-05-19, o-129.61, h-129.69, l-129.59, c-129.59, v-1748, oi-0.0
2021-05-19, o-129.63, h-129.81, l-129.56, c-129.58, v-1969, oi-0.0
2021-05-19, o-129.69, h-129.7, l-129.49, c-129.55, v-2099, oi-0.0
2021-05-19, o-129.53, h-129.83, l-129.53, c-129.56, v-1281, oi-0.0
2021-05-19, o-129.62, h-129.65, l-129.52, c-129.6, v-1472, oi-0.0
2021-05-19, o-129.59, h-129.59, l-129.48, c-129.55, v-2731, oi-0.0
2021-05-19, o-129.57, h-129.68, l-129.56, c-129.56, v-1911, oi-0.0
2021-05-19, o-129.54, h-129.71, l-129.54, c-129.66, v-2826, oi-0.0
2021-05-19, o-129.73, h-129.92, l-129.64, c-129.87, v-2006, oi-0.0
2021-05-19, o-129.84, h-129.99, l-129.84, c-129.94, v-1427, oi-0.0
2021-05-19, o-129.97, h-130.09, l-129.92, c-129.96, v-2376, oi-0.0
2021-05-19, o-129.95, h-129.95, l-129.72, c-129.73, v-2252, oi-0.0
2021-05-19, o-129.75, h-129.88, l-129.72, c-129.88, v-1704, oi-0.0
2021-05-19, o-129.905, h-129.92, l-129.58, c-129.58, v-2664, oi-0.0
2021-05-19, o-129.6, h-129.6, l-129.46, c-129.57, v-1802, oi-0.0
2021-05-19, o-129.61, h-129.66, l-129.47, c-129.635, v-2906, oi-0.0
2021-05-19, o-129.625, h-129.765, l-129.58, c-129.765, v-2695, oi-0.0
2021-05-19, o-129.74, h-129.95, l-129.69, c-129.945, v-4583, oi-0.0
2021-05-19, o-129.97, h-130.07, l-129.83, c-129.91, v-5144, oi-0.0
2021-05-19, o-129.85, h-130.14, l-129.48, c-129.55, v-5956, oi-0.0
2021-05-19, o-129.41, h-129.53, l-129.14, c-129.53, v-5896, oi-0.0
2021-05-19, o-129.54, h-129.645, l-129.325, c-129.56, v-5953, oi-0.0
2021-05-19, o-129.54, h-129.54, l-129.18, c-129.51, v-4146, oi-0.0
2021-05-19, o-129.51, h-130.475, l-129.51, c-130.305, v-5515, oi-0.0
2021-05-19, o-130.31, h-130.49, l-130.22, c-130.49, v-4695, oi-0.0
2021-05-19, o-130.435, h-130.64, l-130.22, c-130.22, v-4444, oi-0.0
2021-05-19, o-130.21, h-130.22, l-129.64, c-129.65, v-4629, oi-0.0
2021-05-19, o-129.63, h-129.71, l-129.5, c-129.575, v-3662, oi-0.0
2021-05-19, o-129.55, h-129.58, l-129.42, c-129.42, v-3209, oi-0.0
2021-05-19, o-129.52, h-129.64, l-129.45, c-129.64, v-3521, oi-0.0
2021-05-19, o-129.74, h-129.92, l-129.52, c-129.735, v-2989, oi-0.0
2021-05-19, o-129.53, h-129.53, l-129.25, c-129.48, v-1944, oi-0.0
2021-05-19, o-129.51, h-129.98, l-129.51, c-129.94, v-2247, oi-0.0
2021-05-19, o-130.01, h-130.16, l-129.96, c-130.02, v-3928, oi-0.0
