Date, Open, High, Low, Close, Volume, Open Interest
2020-05-27, o-80.24, h-81.48, l-77.73, c-78.12, v-9721597, oi-0.0
2020-05-28, o-78.7, h-81.2, l-77.9, c-80.99, v-16130978, oi-0.0
2020-05-31, o-79.89, h-80.48, l-79.24, c-79.73, v-11244688, oi-0.0
2020-06-01, o-79.93, h-84.8798, l-79.91, c-84.64, v-11984736, oi-0.0
2020-06-02, o-84.95, h-85.95, l-83.62, c-84.09, v-23232742, oi-0.0
2020-06-03, o-83.95, h-86.7, l-83.95, c-86.05, v-10830196, oi-0.0
2020-06-04, o-88, h-89.48, l-87.82, c-88.625, v-19286720, oi-0.0
2020-06-07, o-89, h-91.5, l-88.34, c-91.37, v-16299464, oi-0.0
2020-06-08, o-90.23, h-90.39, l-89.06, c-89.84, v-11280960, oi-0.0
2020-06-09, o-90.25, h-92.14, l-90.03, c-91.08, v-16183471, oi-0.0
2020-06-10, o-88.62, h-89.055, l-83.94, c-84.02, v-12900352, oi-0.0
2020-06-11, o-86.25, h-87.14, l-85.25, c-85.25, v-2787696, oi-0.0
2020-06-14, o-83.67, h-86.57, l-83.1, c-86.42, v-7057692, oi-0.0
2020-06-15, o-89.9, h-90.44, l-87.76, c-89.64, v-21194355, oi-0.0
2020-06-16, o-90.68, h-91.085, l-89.3, c-89.95, v-13294464, oi-0.0
2020-06-17, o-89.85, h-90.49, l-89.03, c-89.92, v-4735293, oi-0.0
2020-06-18, o-89.87, h-90.25, l-87.535, c-88.63, v-11177617, oi-0.0
2020-06-21, o-88.72, h-89.44, l-87.61, c-89.13, v-5829066, oi-0.0
2020-06-22, o-90.14, h-90.61, l-89.21, c-89.34, v-6216062, oi-0.0
2020-06-23, o-89.1747, h-89.83, l-87.42, c-89.15, v-6457816, oi-0.0
2020-06-24, o-88.7, h-89.46, l-87.32, c-88.96, v-5945295, oi-0.0
2020-06-25, o-89.07, h-89.73, l-87.54, c-88.025, v-6095101, oi-0.0
2020-06-28, o-88.2113, h-89.15, l-86.68, c-89.12, v-4228320, oi-0.0
2020-06-29, o-89.2, h-91.93, l-89, c-91.21, v-7474122, oi-0.0
2020-06-30, o-91.01, h-91.3, l-89.58, c-89.78, v-5174568, oi-0.0
2020-07-01, o-91.09, h-92.5, l-90.8, c-91.87, v-7320347, oi-0.0
2020-07-05, o-93.21, h-93.75, l-92.1, c-92.92, v-5569776, oi-0.0
2020-07-06, o-92.97, h-93.55, l-91.91, c-92.14, v-5611981, oi-0.0
2020-07-07, o-93.27, h-93.6, l-92.34, c-93.54, v-5356187, oi-0.0
2020-07-08, o-93.95, h-93.95, l-91.44, c-93.24, v-5570316, oi-0.0
2020-07-09, o-93, h-93.52, l-91.56, c-92.51, v-3761290, oi-0.0
2020-07-12, o-93.3, h-94.125, l-91.2, c-91.33, v-6121812, oi-0.0
2020-07-13, o-90.86, h-92.62, l-89.2, c-92.35, v-4958398, oi-0.0
2020-07-14, o-92.93, h-92.93, l-91.01, c-92.55, v-4291062, oi-0.0
2020-07-15, o-91.2639, h-91.747, l-90.68, c-91.11, v-4657625, oi-0.0
2020-07-16, o-91.68, h-92.455, l-91, c-92.2, v-3876796, oi-0.0
2020-07-19, o-92.1922, h-93.27, l-91.3, c-93.17, v-3780000, oi-0.0
2020-07-20, o-93.55, h-93.85, l-91.81, c-92.35, v-5668026, oi-0.0
2020-07-21, o-92.74, h-93.29, l-91.67, c-92.59, v-3752951, oi-0.0
2020-07-22, o-92.91, h-92.97, l-89.48, c-89.73, v-4796903, oi-0.0
2020-07-23, o-89.21, h-90.29, l-87.51, c-88.89, v-7650566, oi-0.0
2020-07-26, o-90.0225, h-92.84, l-89.26, c-92.7, v-6843346, oi-0.0
2020-07-27, o-92.171, h-92.59, l-90.57, c-91.45, v-5128481, oi-0.0
2020-07-28, o-92.08, h-93.62, l-91.74, c-93.06, v-6649417, oi-0.0
2020-07-29, o-102.42, h-107.69, l-100.7, c-107.19, v-40297593, oi-0.0
2020-07-30, o-105.66, h-107.753, l-104.51, c-105.6, v-15394034, oi-0.0
2020-08-02, o-107.4, h-113, l-107.0341, c-109.59, v-13538522, oi-0.0
2020-08-03, o-109.49, h-111.02, l-108.66, c-110.92, v-9282656, oi-0.0
2020-08-04, o-111, h-112.46, l-110.08, c-111.38, v-6652395, oi-0.0
2020-08-05, o-111.23, h-111.36, l-109.93, c-111.07, v-5652091, oi-0.0
2020-08-06, o-110.01, h-111.05, l-106, c-108.24, v-10428596, oi-0.0
2020-08-09, o-108.455, h-108.6, l-105.7226, c-106.39, v-6782447, oi-0.0
2020-08-10, o-106.2, h-112.01, l-104.74, c-108.86, v-17160127, oi-0.0
2020-08-11, o-110.39, h-116.25, l-109.65, c-115.78, v-17454454, oi-0.0
2020-08-12, o-116.2, h-116.2, l-112.77, c-113.46, v-9355891, oi-0.0
2020-08-13, o-113.3, h-114.52, l-112.57, c-113.74, v-5875217, oi-0.0
2020-08-16, o-113.29, h-114.49, l-110.63, c-112.16, v-9315265, oi-0.0
2020-08-17, o-112.91, h-113.38, l-111.52, c-112.02, v-5677665, oi-0.0
2020-08-18, o-112.33, h-113.47, l-110.75, c-111.03, v-5880270, oi-0.0
2020-08-19, o-110, h-110.98, l-109.67, c-110.65, v-6027016, oi-0.0
2020-08-20, o-110.23, h-113.15, l-109.95, c-113.04, v-7704969, oi-0.0
2020-08-23, o-114.37, h-116, l-113.27, c-115.97, v-7836685, oi-0.0
2020-08-24, o-116.11, h-117.1, l-114.44, c-115.95, v-5138635, oi-0.0
2020-08-25, o-116.25, h-116.55, l-115.17, c-116.04, v-5410571, oi-0.0
2020-08-26, o-116.43, h-118.18, l-115.35, c-116.02, v-7536665, oi-0.0
2020-08-27, o-116.71, h-118.26, l-116.17, c-118.2, v-5564627, oi-0.0
2020-08-30, o-118.3321, h-121.06, l-118.12, c-119.08, v-8001031, oi-0.0
2020-08-31, o-121.08, h-122.57, l-119.51, c-122.01, v-8102380, oi-0.0
2020-09-01, o-123.26, h-123.9299, l-121.81, c-123.18, v-8124479, oi-0.0
2020-09-02, o-121.3, h-121.71, l-115.6, c-116.43, v-11422474, oi-0.0
2020-09-03, o-115.69, h-117.82, l-112.38, c-115.955, v-9570868, oi-0.0
2020-09-07, o-111.94, h-113.88, l-109.62, c-109.83, v-8537903, oi-0.0
2020-09-08, o-113.4804, h-115.77, l-112.3, c-114.02, v-7233926, oi-0.0
2020-09-09, o-114.84, h-115.81, l-111.57, c-112.44, v-4511406, oi-0.0
2020-09-10, o-113.38, h-114.845, l-112.4, c-113.41, v-6175357, oi-0.0
2020-09-13, o-115.24, h-115.43, l-112.65, c-113.46, v-4510640, oi-0.0
2020-09-14, o-114.94, h-117.81, l-114.79, c-116.58, v-7245974, oi-0.0
2020-09-15, o-118, h-118, l-114.54, c-114.56, v-5799186, oi-0.0
2020-09-16, o-111.92, h-115.6999, l-111, c-114.87, v-6529758, oi-0.0
2020-09-17, o-115.04, h-115.43, l-109.8, c-110.71, v-10566201, oi-0.0
2020-09-20, o-109.16, h-112.14, l-108.3, c-111.99, v-7071416, oi-0.0
2020-09-21, o-112.61, h-114.25, l-110.415, c-113.82, v-6159170, oi-0.0
2020-09-22, o-113.64, h-113.93, l-110.07, c-110.52, v-5462536, oi-0.0
2020-09-23, o-109.39, h-113.29, l-109.24, c-112.19, v-6156362, oi-0.0
2020-09-24, o-113.55, h-115.75, l-111.8, c-114.51, v-10875110, oi-0.0
2020-09-27, o-115.96, h-118.7391, l-114.92, c-118.48, v-7793149, oi-0.0
2020-09-28, o-118.14, h-119.25, l-117.2, c-117.35, v-4941238, oi-0.0
2020-09-29, o-117.5, h-119.255, l-116.9238, c-117.68, v-4428546, oi-0.0
2020-09-30, o-119.93, h-120.205, l-117.7, c-119.52, v-4199004, oi-0.0
2020-10-01, o-116.78, h-118.66, l-115.43, c-115.47, v-4667353, oi-0.0
2020-10-04, o-116.9, h-120.64, l-116.73, c-120.54, v-4779311, oi-0.0
2020-10-05, o-120.45, h-122.52, l-119.1, c-119.54, v-6425689, oi-0.0
2020-10-06, o-121.235, h-123.36, l-120.65, c-123.03, v-6239410, oi-0.0
2020-10-07, o-124.43, h-124.43, l-121.84, c-122.38, v-4203059, oi-0.0
2020-10-08, o-123.93, h-125.89, l-122.79, c-124.84, v-8705856, oi-0.0
2020-10-11, o-127.6996, h-127.6996, l-124.9523, c-126.73, v-6757589, oi-0.0
2020-10-12, o-127.47, h-128.18, l-125.4, c-127.46, v-6600253, oi-0.0
2020-10-13, o-129.08, h-132.42, l-128.93, c-129.89, v-11451091, oi-0.0
