Date, Open, High, Low, Close, Volume, Open Interest
2020-11-23, o-521.61, h-528.44, l-505.8, c-506.1, v-1138748, oi-0.0
2020-11-24, o-507.18, h-515.465, l-507.18, c-508.3, v-629134, oi-0.0
2020-11-26, o-513.42, h-518.92, l-509.2001, c-514.32, v-447254, oi-0.0
2020-11-29, o-520, h-520.78, l-507.5979, c-516.48, v-884011, oi-0.0
2020-11-30, o-516, h-525.2825, l-513.69, c-513.69, v-755753, oi-0.0
2020-12-01, o-515.94, h-515.94, l-503.81, c-505.55, v-696080, oi-0.0
2020-12-02, o-505.2, h-509.54, l-497.12, c-498.03, v-826441, oi-0.0
2020-12-03, o-497.01, h-501.85, l-490.06, c-492.45, v-868056, oi-0.0
2020-12-06, o-497.4906, h-499.7, l-492.7945, c-495.82, v-746917, oi-0.0
2020-12-07, o-497.1, h-497.88, l-486.3, c-497.18, v-901434, oi-0.0
2020-12-08, o-500, h-500, l-484, c-488.24, v-796283, oi-0.0
2020-12-09, o-485.29, h-487.12, l-477.87, c-479.48, v-936425, oi-0.0
2020-12-10, o-478.22, h-483.54, l-471.58, c-479.38, v-836483, oi-0.0
2020-12-13, o-484.12, h-502.6, l-483.55, c-500, v-1116014, oi-0.0
2020-12-14, o-500.69, h-500.99, l-486.82, c-492.19, v-941499, oi-0.0
2020-12-15, o-491.8, h-494.46, l-485.15, c-486.07, v-660861, oi-0.0
2020-12-16, o-486.9, h-496.75, l-486.5, c-496.02, v-749506, oi-0.0
2020-12-17, o-500, h-506.9899, l-496.81, c-498.3, v-938671, oi-0.0
2020-12-20, o-494, h-497.29, l-485.06, c-496.84, v-811330, oi-0.0
2020-12-21, o-496, h-496.48, l-488.5, c-490.47, v-770271, oi-0.0
2020-12-22, o-491.2, h-493.63, l-488.5201, c-492.19, v-466628, oi-0.0
2020-12-23, o-492.44, h-495.23, l-486.03, c-488.1, v-269109, oi-0.0
2020-12-27, o-488.72, h-492.69, l-482.21, c-482.83, v-664000, oi-0.0
2020-12-28, o-485, h-490.4527, l-482.42, c-484.71, v-511533, oi-0.0
2020-12-29, o-487.39, h-488.825, l-477.68, c-478.31, v-573782, oi-0.0
2020-12-30, o-477.81, h-483.57, l-470.78, c-482.5, v-779348, oi-0.0
