Date, Open, High, Low, Close, Volume, Open Interest
2021-05-20, o-122.96, h-122.96, l-122.96, c-122.96, v-156, oi-0.0
2021-05-20, o-123.06, h-123.06, l-123.06, c-123.06, v-100, oi-0.0
2021-05-20, o-123.1, h-123.1, l-123.07, c-123.07, v-305, oi-0.0
2021-05-20, o-123.14, h-123.14, l-123.14, c-123.14, v-471, oi-0.0
2021-05-20, o-123.155, h-123.19, l-123.01, c-123.01, v-1680, oi-0.0
2021-05-20, o-123.03, h-123.03, l-123, c-123.03, v-1243, oi-0.0
2021-05-20, o-123.01, h-123.03, l-123, c-123, v-1093, oi-0.0
2021-05-20, o-122.965, h-122.965, l-122.955, c-122.955, v-378, oi-0.0
2021-05-20, o-122.91, h-122.95, l-122.91, c-122.95, v-338, oi-0.0
2021-05-20, o-122.845, h-122.9, l-122.845, c-122.9, v-225, oi-0.0
2021-05-20, o-122.87, h-122.87, l-122.87, c-122.87, v-112, oi-0.0
2021-05-20, o-122.895, h-122.895, l-122.895, c-122.895, v-138, oi-0.0
2021-05-20, o-122.885, h-122.935, l-122.885, c-122.935, v-307, oi-0.0
2021-05-20, o-123.01, h-123.03, l-123, c-123, v-845, oi-0.0
2021-05-20, o-123.03, h-123.03, l-123.005, c-123.005, v-827, oi-0.0
2021-05-20, o-123.02, h-123.02, l-123.01, c-123.01, v-572, oi-0.0
2021-05-20, o-123.01, h-123.01, l-123.01, c-123.01, v-396, oi-0.0
2021-05-20, o-123, h-123.005, l-123, c-123.005, v-206, oi-0.0
2021-05-20, o-123.01, h-123.01, l-122.99, c-122.99, v-799, oi-0.0
2021-05-20, o-122.985, h-122.985, l-122.985, c-122.985, v-356, oi-0.0
2021-05-20, o-123.1, h-123.1, l-123.015, c-123.015, v-1195, oi-0.0
2021-05-20, o-123.015, h-123.015, l-122.885, c-122.885, v-1114, oi-0.0
2021-05-20, o-122.905, h-122.905, l-122.905, c-122.905, v-119, oi-0.0
2021-05-20, o-122.95, h-122.95, l-122.87, c-122.87, v-541, oi-0.0
2021-05-20, o-122.98, h-123, l-122.98, c-123, v-582, oi-0.0
2021-05-20, o-122.925, h-122.925, l-122.87, c-122.87, v-731, oi-0.0
2021-05-20, o-122.92, h-123.01, l-122.92, c-123.005, v-521, oi-0.0
2021-05-20, o-123.02, h-123.14, l-123.02, c-123.14, v-733, oi-0.0
2021-05-20, o-123.18, h-123.18, l-123.18, c-123.18, v-177, oi-0.0
2021-05-20, o-123.35, h-123.35, l-123.26, c-123.26, v-518, oi-0.0
2021-05-20, o-123.145, h-123.28, l-123.145, c-123.255, v-1281, oi-0.0
2021-05-20, o-123.225, h-123.225, l-123.16, c-123.18, v-854, oi-0.0
2021-05-20, o-123.135, h-123.135, l-123, c-123, v-424, oi-0.0
2021-05-20, o-122.99, h-122.99, l-122.99, c-122.99, v-436, oi-0.0
2021-05-20, o-123.015, h-123.015, l-122.97, c-122.97, v-257, oi-0.0
2021-05-20, o-122.92, h-122.92, l-122.815, c-122.84, v-575, oi-0.0
2021-05-20, o-122.835, h-122.835, l-122.76, c-122.765, v-958, oi-0.0
2021-05-20, o-122.775, h-122.805, l-122.745, c-122.745, v-912, oi-0.0
2021-05-20, o-122.72, h-122.76, l-122.63, c-122.63, v-2186, oi-0.0
2021-05-20, o-122.605, h-122.71, l-122.605, c-122.71, v-886, oi-0.0
2021-05-20, o-122.76, h-122.935, l-122.76, c-122.89, v-1119, oi-0.0
2021-05-20, o-122.81, h-122.82, l-122.81, c-122.82, v-834, oi-0.0
2021-05-20, o-122.82, h-122.83, l-122.75, c-122.75, v-855, oi-0.0
2021-05-20, o-122.705, h-122.745, l-122.69, c-122.745, v-1393, oi-0.0
2021-05-20, o-122.715, h-122.715, l-122.57, c-122.57, v-1026, oi-0.0
2021-05-20, o-122.56, h-122.58, l-122.46, c-122.46, v-1327, oi-0.0
2021-05-20, o-122.45, h-122.495, l-122.445, c-122.46, v-2052, oi-0.0
2021-05-20, o-122.47, h-122.62, l-122.47, c-122.62, v-1860, oi-0.0
2021-05-20, o-122.615, h-122.615, l-122.52, c-122.52, v-1053, oi-0.0
2021-05-20, o-122.495, h-122.58, l-122.49, c-122.555, v-1099, oi-0.0
2021-05-20, o-122.645, h-122.71, l-122.47, c-122.47, v-1431, oi-0.0
2021-05-20, o-122.475, h-122.48, l-122.41, c-122.41, v-1970, oi-0.0
2021-05-20, o-122.44, h-122.47, l-122.33, c-122.33, v-1640, oi-0.0
2021-05-20, o-122.295, h-122.355, l-122.23, c-122.355, v-1598, oi-0.0
2021-05-20, o-122.385, h-122.64, l-122.385, c-122.515, v-1534, oi-0.0
2021-05-20, o-122.52, h-122.61, l-122.515, c-122.575, v-1408, oi-0.0
2021-05-20, o-122.57, h-122.88, l-122.51, c-122.88, v-2124, oi-0.0
2021-05-20, o-122.69, h-122.69, l-122.62, c-122.65, v-1962, oi-0.0
2021-05-20, o-122.64, h-122.64, l-122.42, c-122.42, v-1223, oi-0.0
2021-05-20, o-122.43, h-122.435, l-122.36, c-122.36, v-1763, oi-0.0
2021-05-20, o-122.35, h-122.365, l-122.34, c-122.35, v-2752, oi-0.0
2021-05-20, o-122.31, h-122.41, l-122.31, c-122.36, v-2864, oi-0.0
2021-05-21, o-124.35, h-124.35, l-123.74, c-124.03, v-3994, oi-0.0
2021-05-21, o-123.98, h-123.98, l-123.01, c-123.035, v-898, oi-0.0
2021-05-21, o-123.165, h-123.165, l-122.34, c-122.34, v-931, oi-0.0
2021-05-21, o-122.7, h-123.21, l-122.3, c-123.21, v-1666, oi-0.0
2021-05-21, o-123.15, h-123.28, l-123.03, c-123.03, v-694, oi-0.0
2021-05-21, o-122.7, h-123.21, l-122.62, c-122.98, v-913, oi-0.0
2021-05-21, o-122.97, h-123.02, l-122.72, c-122.975, v-861, oi-0.0
2021-05-21, o-122.46, h-122.46, l-121.89, c-122.01, v-941, oi-0.0
2021-05-21, o-122.17, h-122.89, l-122.14, c-122.89, v-1949, oi-0.0
2021-05-21, o-123.25, h-123.25, l-122.98, c-123.12, v-1170, oi-0.0
2021-05-21, o-123.25, h-123.75, l-123.25, c-123.75, v-1291, oi-0.0
2021-05-21, o-123.98, h-125.27, l-123.97, c-125.265, v-3034, oi-0.0
2021-05-21, o-125.39, h-125.44, l-124.88, c-124.995, v-1193, oi-0.0
2021-05-21, o-125.06, h-125.16, l-124.765, c-124.765, v-576, oi-0.0
2021-05-21, o-124.86, h-124.88, l-124.71, c-124.71, v-303, oi-0.0
2021-05-21, o-124.8, h-124.99, l-124.68, c-124.68, v-933, oi-0.0
2021-05-21, o-124.765, h-124.78, l-124.63, c-124.77, v-914, oi-0.0
2021-05-21, o-124.85, h-124.895, l-124.6, c-124.66, v-801, oi-0.0
2021-05-21, o-124.54, h-124.67, l-124.48, c-124.58, v-1053, oi-0.0
2021-05-21, o-124.695, h-124.7, l-124.695, c-124.7, v-201, oi-0.0
2021-05-21, o-124.63, h-124.68, l-124.45, c-124.59, v-1204, oi-0.0
2021-05-21, o-124.665, h-124.665, l-124.63, c-124.63, v-397, oi-0.0
2021-05-21, o-124.67, h-124.885, l-124.67, c-124.885, v-767, oi-0.0
