Date, Open, High, Low, Close, Volume, Open Interest
2020-05-27, o-151.94, h-153.49, l-150.94, c-151.56, v-1016952, oi-0.0
2020-05-28, o-154.92, h-157.38, l-150.9, c-157.27, v-2159896, oi-0.0
2020-05-31, o-156.9, h-162.22, l-156.19, c-159.03, v-2722690, oi-0.0
2020-06-01, o-159.47, h-161.15, l-156.26, c-160.87, v-759168, oi-0.0
2020-06-02, o-159.09, h-160.25, l-154.02, c-155.05, v-2244852, oi-0.0
2020-06-03, o-154.05, h-155.87, l-148.91, c-150.34, v-1214079, oi-0.0
2020-06-04, o-149.5, h-151.84, l-145.625, c-148.39, v-2569318, oi-0.0
2020-06-07, o-146.55, h-151.765, l-144.3, c-150.86, v-3189692, oi-0.0
2020-06-08, o-152.82, h-154.85, l-148.63, c-148.95, v-2271765, oi-0.0
2020-06-09, o-152.04, h-157.95, l-151.975, c-156.7, v-2509094, oi-0.0
2020-06-10, o-154.4, h-156.21, l-148.43, c-148.55, v-965942, oi-0.0
2020-06-11, o-150.11, h-151.52, l-148.53, c-148.88, v-200024, oi-0.0
2020-06-14, o-149.88, h-156.1, l-149.14, c-155.561, v-690126, oi-0.0
2020-06-15, o-157.15, h-157.48, l-152.545, c-156.79, v-1205330, oi-0.0
2020-06-16, o-158.05, h-161, l-157.3255, c-158.4, v-1788333, oi-0.0
2020-06-17, o-157.69, h-160.55, l-157.69, c-159.87, v-460308, oi-0.0
2020-06-18, o-160.66, h-169.88, l-160.4135, c-169.88, v-1334001, oi-0.0
2020-06-21, o-171, h-173.99, l-167, c-171.03, v-979794, oi-0.0
2020-06-22, o-171.31, h-175.64, l-170.36, c-171.12, v-844896, oi-0.0
2020-06-23, o-171.4, h-173.93, l-164.56, c-164.71, v-976646, oi-0.0
2020-06-24, o-165.18, h-168.3, l-163.7395, c-167.89, v-643131, oi-0.0
2020-06-25, o-169, h-169, l-164.12, c-165.77, v-724501, oi-0.0
2020-06-28, o-165.78, h-166.58, l-163.23, c-164.49, v-851464, oi-0.0
2020-06-29, o-167.5, h-170.25, l-164.09, c-169.88, v-1436247, oi-0.0
2020-06-30, o-170.18, h-172.88, l-164.46, c-167.49, v-949664, oi-0.0
2020-07-01, o-167.75, h-170.36, l-166.02, c-169.03, v-710583, oi-0.0
2020-07-05, o-170.64, h-172.3, l-169.615, c-170.44, v-651688, oi-0.0
2020-07-06, o-171.02, h-180.18, l-169.2, c-176.48, v-1368596, oi-0.0
2020-07-07, o-177.39, h-178.2, l-172.22, c-175.76, v-806549, oi-0.0
2020-07-08, o-176.79, h-182.97, l-176.79, c-181.16, v-1065323, oi-0.0
2020-07-09, o-180, h-180.985, l-173.86, c-174.12, v-615055, oi-0.0
2020-07-12, o-173.39, h-177.58, l-168.04, c-168.62, v-892298, oi-0.0
2020-07-13, o-167, h-173.85, l-165.27, c-173.22, v-585174, oi-0.0
2020-07-14, o-172.1, h-178.07, l-171.4815, c-177.89, v-664374, oi-0.0
2020-07-15, o-177.49, h-177.68, l-172.03, c-177.58, v-494277, oi-0.0
2020-07-16, o-179.24, h-182.94, l-177.86, c-182.38, v-757597, oi-0.0
2020-07-19, o-183.05, h-187.985, l-183.05, c-184.44, v-597481, oi-0.0
2020-07-20, o-184.45, h-184.5, l-176.85, c-177.73, v-899444, oi-0.0
2020-07-21, o-179, h-179.43, l-174.75, c-176.81, v-563549, oi-0.0
2020-07-22, o-176.73, h-180.3925, l-172.54, c-172.95, v-478501, oi-0.0
2020-07-23, o-169.61, h-170.8, l-166.73, c-168.815, v-903680, oi-0.0
2020-07-26, o-170.2, h-172.71, l-168.07, c-171.36, v-1996246, oi-0.0
2020-07-27, o-172.45, h-174.37, l-170.69, c-171.2, v-1033420, oi-0.0
2020-07-28, o-172.48, h-173.9, l-168.25, c-168.42, v-1388153, oi-0.0
2020-07-29, o-167.95, h-172.82, l-167.22, c-171.15, v-831221, oi-0.0
2020-07-30, o-169.99, h-170.01, l-157.66, c-166.27, v-2167692, oi-0.0
2020-08-02, o-166.27, h-169.145, l-164.39, c-169.04, v-672146, oi-0.0
2020-08-03, o-168.73, h-168.73, l-162.8449, c-164.93, v-629861, oi-0.0
2020-08-04, o-164.8, h-165.96, l-162.13, c-162.58, v-757232, oi-0.0
2020-08-05, o-163.8, h-164.1663, l-159.25, c-161.78, v-566175, oi-0.0
2020-08-06, o-161.52, h-162.75, l-158.74, c-160.45, v-568793, oi-0.0
2020-08-09, o-157.53, h-158.18, l-154.27, c-157.66, v-671504, oi-0.0
2020-08-10, o-155.94, h-157.61, l-153.05, c-153.48, v-556906, oi-0.0
2020-08-11, o-153.93, h-158.89, l-153.69, c-158.779, v-574974, oi-0.0
2020-08-12, o-158.47, h-160.82, l-157.91, c-159.95, v-511699, oi-0.0
2020-08-13, o-160, h-160.72, l-156.855, c-157.27, v-311631, oi-0.0
2020-08-16, o-157.94, h-162.5, l-157.75, c-161.71, v-432149, oi-0.0
2020-08-17, o-161.11, h-161.34, l-156.58, c-157.58, v-629004, oi-0.0
2020-08-18, o-157.76, h-159.77, l-156.25, c-157.72, v-380987, oi-0.0
2020-08-19, o-157.13, h-159.088, l-156.22, c-158.49, v-402392, oi-0.0
2020-08-20, o-158.5, h-158.61, l-155.7, c-157.64, v-425115, oi-0.0
2020-08-23, o-158.37, h-159.315, l-153.76, c-154.87, v-428244, oi-0.0
2020-08-24, o-154.16, h-155.79, l-153.11, c-154.89, v-511708, oi-0.0
2020-08-25, o-154, h-154.88, l-152.56, c-154.44, v-577740, oi-0.0
2020-08-26, o-155.11, h-156.12, l-152.97, c-154.05, v-559344, oi-0.0
2020-08-27, o-154.14, h-154.2222, l-151.55, c-153.7, v-522964, oi-0.0
2020-08-30, o-152.49, h-159.035, l-152.48, c-158.23, v-1091667, oi-0.0
2020-08-31, o-159.32, h-159.63, l-152.78, c-153.8, v-856080, oi-0.0
2020-09-01, o-153.29, h-156.35, l-152.48, c-156.07, v-600324, oi-0.0
2020-09-02, o-155.01, h-155.17, l-148.14, c-149.7, v-852734, oi-0.0
2020-09-03, o-148.53, h-150.3465, l-143.61, c-149.37, v-920497, oi-0.0
2020-09-07, o-146.79, h-148.82, l-144.9, c-146.58, v-888168, oi-0.0
2020-09-08, o-148.3, h-149.42, l-146.02, c-148.4, v-581028, oi-0.0
2020-09-09, o-149.06, h-149.22, l-144.84, c-146.11, v-637090, oi-0.0
2020-09-10, o-147.57, h-150.52, l-146.97, c-150.06, v-751236, oi-0.0
2020-09-13, o-165.24, h-173.32, l-160.17, c-171.95, v-3168848, oi-0.0
2020-09-14, o-173.58, h-175.08, l-170.895, c-175.02, v-1256642, oi-0.0
