Date, Open, High, Low, Close, Volume, Open Interest
2021-05-25, o-6.025, h-6.04, l-6.02, c-6.025, v-15536, oi-0.0
2021-05-25, o-6.02, h-6.025, l-6.015, c-6.015, v-12332, oi-0.0
2021-05-25, o-6.015, h-6.02, l-6.015, c-6.02, v-15473, oi-0.0
2021-05-25, o-6.015, h-6.03, l-6.015, c-6.03, v-5715, oi-0.0
2021-05-25, o-6.03, h-6.04, l-6.025, c-6.035, v-11312, oi-0.0
2021-05-25, o-6.035, h-6.04, l-6.015, c-6.015, v-38430, oi-0.0
2021-05-25, o-6.01, h-6.025, l-6.01, c-6.025, v-10044, oi-0.0
2021-05-25, o-6.025, h-6.025, l-6.005, c-6.005, v-17325, oi-0.0
2021-05-25, o-6.005, h-6.005, l-6, c-6.005, v-5837, oi-0.0
2021-05-25, o-6, h-6.01, l-5.995, c-6.005, v-44559, oi-0.0
2021-05-25, o-6.005, h-6.005, l-5.995, c-5.995, v-16425, oi-0.0
2021-05-25, o-5.995, h-6.015, l-5.995, c-6.015, v-29022, oi-0.0
2021-05-25, o-6.015, h-6.015, l-6.015, c-6.015, v-4051, oi-0.0
2021-05-25, o-6.015, h-6.015, l-5.995, c-6, v-40693, oi-0.0
2021-05-25, o-6, h-6.005, l-5.995, c-6.005, v-4821, oi-0.0
2021-05-25, o-6, h-6, l-5.99, c-5.995, v-19999, oi-0.0
2021-05-25, o-5.995, h-6, l-5.95, c-5.99, v-192703, oi-0.0
2021-05-26, o-6.025, h-6.05, l-6, c-6.015, v-30639, oi-0.0
2021-05-26, o-6.01, h-6.055, l-6.01, c-6.055, v-17368, oi-0.0
2021-05-26, o-6.05, h-6.05, l-6.025, c-6.05, v-36682, oi-0.0
2021-05-26, o-6.06, h-6.07, l-6.055, c-6.07, v-22763, oi-0.0
2021-05-26, o-6.07, h-6.075, l-6.065, c-6.065, v-16221, oi-0.0
2021-05-26, o-6.065, h-6.075, l-6.055, c-6.06, v-22819, oi-0.0
2021-05-26, o-6.06, h-6.06, l-6.055, c-6.06, v-5370, oi-0.0
2021-05-26, o-6.055, h-6.055, l-6.035, c-6.04, v-12255, oi-0.0
2021-05-26, o-6.04, h-6.045, l-6.04, c-6.045, v-3520, oi-0.0
