Date, Open, High, Low, Close, Volume, Open Interest
2017-06-01, o-75.13, h-75.99, l-74.99, c-75.83, v-988798, oi-0.0
2017-06-04, o-75.61, h-76.25, l-75.61, c-75.77, v-688360, oi-0.0
2017-06-05, o-75.71, h-76.43, l-75.41, c-75.81, v-649261, oi-0.0
2017-06-06, o-76.23, h-76.33, l-75.58, c-76.07, v-644668, oi-0.0
2017-06-07, o-76.12, h-76.45, l-75.72, c-76.12, v-593928, oi-0.0
2017-06-08, o-75.95, h-76.57, l-74.43, c-74.93, v-948525, oi-0.0
2017-06-11, o-74.39, h-74.76, l-73.05, c-73.88, v-1198748, oi-0.0
2017-06-12, o-74.12, h-74.67, l-73.95, c-74.66, v-930270, oi-0.0
2017-06-13, o-74.95, h-74.96, l-73.71, c-74.34, v-743531, oi-0.0
2017-06-14, o-74.11, h-74.11, l-73.13, c-74.01, v-752993, oi-0.0
2017-06-15, o-73.77, h-74.325, l-73.58, c-73.8, v-756511, oi-0.0
2017-06-18, o-73.73, h-75.175, l-73.72, c-74.71, v-777379, oi-0.0
2017-06-19, o-74.45, h-75.27, l-74.45, c-74.61, v-617528, oi-0.0
2017-06-20, o-74.95, h-74.98, l-74.14, c-74.66, v-631478, oi-0.0
2017-06-21, o-74.74, h-74.92, l-74.04, c-74.6, v-614635, oi-0.0
2017-06-22, o-74.59, h-74.87, l-74.31, c-74.36, v-605586, oi-0.0
2017-06-25, o-74.36, h-74.935, l-74.26, c-74.51, v-592558, oi-0.0
2017-06-26, o-74.39, h-74.815, l-73.61, c-73.64, v-640343, oi-0.0
2017-06-27, o-73.98, h-74.46, l-73.65, c-74.269, v-576470, oi-0.0
2017-06-28, o-74.04, h-74.25, l-72.4, c-72.97, v-630580, oi-0.0
2017-06-29, o-73.02, h-73.35, l-72.755, c-72.92, v-461190, oi-0.0
2017-07-02, o-73.37, h-73.44, l-72.08, c-72.1, v-370026, oi-0.0
2017-07-04, o-72.43, h-72.99, l-72.0501, c-72.74, v-763103, oi-0.0
2017-07-05, o-72.48, h-72.655, l-71.94, c-72.53, v-701144, oi-0.0
2017-07-06, o-72.67, h-73.53, l-72.26, c-73.17, v-450820, oi-0.0
2017-07-09, o-73.22, h-73.841, l-73.04, c-73.52, v-532889, oi-0.0
2017-07-10, o-73.51, h-73.89, l-73.0358, c-73.55, v-459529, oi-0.0
2017-07-11, o-74, h-75.25, l-73.4257, c-75.16, v-666615, oi-0.0
2017-07-12, o-75.16, h-75.43, l-74.71, c-74.9, v-460306, oi-0.0
2017-07-13, o-75.04, h-75.41, l-74.67, c-75.26, v-354176, oi-0.0
2017-07-16, o-75.3, h-75.83, l-75.02, c-75.64, v-351748, oi-0.0
2017-07-17, o-75.49, h-75.69, l-75.16, c-75.66, v-255743, oi-0.0
2017-07-18, o-75.85, h-76.51, l-75.74, c-76.41, v-375854, oi-0.0
2017-07-19, o-76.48, h-76.56, l-75.49, c-75.84, v-386808, oi-0.0
2017-07-20, o-75.59, h-76.18, l-75.59, c-75.9, v-299264, oi-0.0
2017-07-23, o-75.95, h-76.36, l-75.7276, c-76.34, v-216379, oi-0.0
2017-07-24, o-76.02, h-76.97, l-76.02, c-76.41, v-585670, oi-0.0
2017-07-25, o-76.57, h-77.25, l-76.47, c-76.69, v-262858, oi-0.0
2017-07-26, o-76.85, h-77.29, l-75.61, c-76.36, v-520998, oi-0.0
2017-07-27, o-76.23, h-76.68, l-75.98, c-76.43, v-226034, oi-0.0
2017-07-30, o-76.6, h-76.85, l-76.08, c-76.58, v-325521, oi-0.0
