Date, Open, High, Low, Close, Volume, Open Interest
2021-05-25, o-119.41, h-119.43, l-119.18, c-119.31, v-2873, oi-0.0
2021-05-25, o-119.2, h-119.56, l-119.16, c-119.545, v-6567, oi-0.0
2021-05-25, o-119.555, h-119.555, l-119.16, c-119.37, v-3090, oi-0.0
2021-05-25, o-119.69, h-119.69, l-119.615, c-119.62, v-646, oi-0.0
2021-05-25, o-119.37, h-119.37, l-119.16, c-119.16, v-701, oi-0.0
2021-05-25, o-119.18, h-119.23, l-118.92, c-119.23, v-2442, oi-0.0
2021-05-25, o-119.08, h-119.17, l-119, c-119.06, v-3466, oi-0.0
2021-05-25, o-119.025, h-119.06, l-118.94, c-119.05, v-2538, oi-0.0
2021-05-25, o-119.01, h-119.21, l-119, c-119.21, v-2473, oi-0.0
2021-05-25, o-119.24, h-119.24, l-118.9, c-118.96, v-3607, oi-0.0
2021-05-25, o-118.855, h-118.89, l-118.5, c-118.5, v-4283, oi-0.0
2021-05-25, o-118.45, h-118.96, l-118.45, c-118.95, v-2755, oi-0.0
2021-05-25, o-118.85, h-118.85, l-118.6, c-118.6, v-1064, oi-0.0
2021-05-25, o-118.62, h-118.66, l-118.505, c-118.61, v-2161, oi-0.0
2021-05-25, o-118.64, h-118.77, l-118.6, c-118.77, v-5867, oi-0.0
2021-05-25, o-118.71, h-118.73, l-118.56, c-118.565, v-2484, oi-0.0
2021-05-25, o-118.67, h-118.75, l-118.52, c-118.68, v-7776, oi-0.0
2021-05-26, o-120.63, h-122.58, l-120.61, c-122.27, v-12533, oi-0.0
2021-05-26, o-122.3, h-122.62, l-122.02, c-122.36, v-8394, oi-0.0
2021-05-26, o-122.28, h-122.28, l-121.49, c-121.78, v-7437, oi-0.0
2021-05-26, o-121.82, h-121.95, l-121.4, c-121.84, v-9010, oi-0.0
2021-05-26, o-121.83, h-121.95, l-121.635, c-121.75, v-5761, oi-0.0
2021-05-26, o-121.815, h-122.05, l-121.57, c-122.05, v-3499, oi-0.0
2021-05-26, o-121.96, h-122.13, l-121.81, c-121.97, v-5984, oi-0.0
2021-05-26, o-121.95, h-122.67, l-121.95, c-122.43, v-8158, oi-0.0
2021-05-26, o-122.56, h-122.6, l-122.27, c-122.56, v-4405, oi-0.0
