Date, Open, High, Low, Close, Volume, Open Interest
2021-05-25, o-169.87, h-170.085, l-169.68, c-170.085, v-1775, oi-0.0
2021-05-25, o-169.97, h-169.97, l-169.7, c-169.7, v-2408, oi-0.0
2021-05-25, o-169.74, h-169.74, l-169.37, c-169.43, v-1044, oi-0.0
2021-05-25, o-169.6, h-169.65, l-169.6, c-169.65, v-1017, oi-0.0
2021-05-25, o-169.4, h-169.4, l-169.4, c-169.4, v-100, oi-0.0
2021-05-25, o-169.26, h-169.26, l-169.06, c-169.06, v-325, oi-0.0
2021-05-25, o-170.12, h-170.12, l-170.12, c-170.12, v-182, oi-0.0
2021-05-25, o-170, h-170.04, l-169.88, c-170.04, v-473, oi-0.0
2021-05-25, o-170.31, h-170.31, l-170.31, c-170.31, v-200, oi-0.0
2021-05-25, o-170.34, h-170.42, l-169.93, c-170.03, v-1179, oi-0.0
2021-05-25, o-170, h-170.02, l-169.67, c-169.71, v-904, oi-0.0
2021-05-25, o-170, h-170, l-169.94, c-169.94, v-235, oi-0.0
2021-05-25, o-169.78, h-169.845, l-169.78, c-169.845, v-235, oi-0.0
2021-05-25, o-169.845, h-169.845, l-169.51, c-169.57, v-3540, oi-0.0
2021-05-25, o-169.56, h-169.75, l-169.46, c-169.7, v-1202, oi-0.0
2021-05-25, o-169.57, h-169.74, l-169.57, c-169.74, v-713, oi-0.0
2021-05-25, o-169.695, h-170.17, l-169.3, c-170.17, v-6196, oi-0.0
2021-05-26, o-170.275, h-171.035, l-169.87, c-170.39, v-6314, oi-0.0
2021-05-26, o-170.36, h-170.48, l-169.25, c-169.25, v-1650, oi-0.0
2021-05-26, o-169.21, h-169.41, l-169.21, c-169.4, v-434, oi-0.0
2021-05-26, o-169.38, h-169.56, l-169.38, c-169.4, v-973, oi-0.0
2021-05-26, o-169.43, h-169.56, l-169.25, c-169.56, v-664, oi-0.0
2021-05-26, o-169.28, h-169.37, l-169.01, c-169.04, v-1814, oi-0.0
2021-05-26, o-168.87, h-168.87, l-168.44, c-168.73, v-3825, oi-0.0
2021-05-26, o-168.71, h-168.815, l-168.12, c-168.23, v-2151, oi-0.0
2021-05-26, o-168.18, h-168.18, l-167.42, c-167.58, v-5523, oi-0.0
