Date, Open, High, Low, Close, Volume, Open Interest
2020-11-23, o-138.51, h-139.71, l-135.33, c-138.8, v-2078166, oi-0.0
2020-11-24, o-138.74, h-138.91, l-134.28, c-135.97, v-2896553, oi-0.0
2020-11-26, o-136.8839, h-138.77, l-135.97, c-136.16, v-1093391, oi-0.0
2020-11-29, o-136.38, h-141.25, l-136.38, c-141.24, v-2167780, oi-0.0
2020-11-30, o-142.01, h-145.46, l-141.16, c-144, v-2198194, oi-0.0
2020-12-01, o-143.35, h-145.06, l-142.51, c-143.5, v-1111247, oi-0.0
2020-12-02, o-144.23, h-145.35, l-143.05, c-143.69, v-1038520, oi-0.0
2020-12-03, o-143.74, h-150.28, l-143.73, c-150.2, v-1911061, oi-0.0
2020-12-06, o-151.4066, h-154.11, l-150.55, c-153.45, v-1721885, oi-0.0
2020-12-07, o-153.6, h-156, l-152.76, c-155.73, v-1251381, oi-0.0
2020-12-08, o-155, h-155.04, l-147.455, c-148.29, v-2205967, oi-0.0
2020-12-09, o-147.36, h-148.06, l-145.53, c-145.54, v-1331408, oi-0.0
2020-12-10, o-143.9, h-144.45, l-138.61, c-139.24, v-3263722, oi-0.0
2020-12-13, o-140, h-140.43, l-137.94, c-139.27, v-2328032, oi-0.0
2020-12-14, o-143.17, h-146.4, l-142.96, c-144.68, v-2032744, oi-0.0
2020-12-15, o-144.9277, h-148.4109, l-143.605, c-147.42, v-1583727, oi-0.0
2020-12-16, o-149, h-150.29, l-145.4, c-145.52, v-1513157, oi-0.0
2020-12-17, o-146.46, h-149.41, l-145.06, c-148.19, v-1748502, oi-0.0
2020-12-20, o-145.55, h-148.205, l-145.17, c-147.71, v-1045680, oi-0.0
2020-12-21, o-148.365, h-151.735, l-147.84, c-149.38, v-1130424, oi-0.0
2020-12-22, o-150.09, h-152.94, l-148.745, c-150.57, v-1280630, oi-0.0
2020-12-23, o-150.95, h-151.35, l-149.5, c-151.07, v-433332, oi-0.0
2020-12-27, o-152.76, h-153.7835, l-151.8001, c-153.29, v-889192, oi-0.0
2020-12-28, o-153.8, h-154.835, l-149.62, c-150.41, v-1339380, oi-0.0
2020-12-29, o-151.1, h-153.7, l-151.06, c-152.71, v-639619, oi-0.0
2020-12-30, o-153.16, h-153.365, l-151.97, c-152.78, v-788060, oi-0.0
2021-01-03, o-153.33, h-155.6895, l-148.02, c-150.85, v-1984927, oi-0.0
2021-01-04, o-150.12, h-156.46, l-150, c-156.46, v-1745477, oi-0.0
2021-01-05, o-154.7759, h-162.35, l-153, c-158.55, v-1773216, oi-0.0
2021-01-06, o-160.92, h-163.42, l-160.0101, c-162.67, v-1078268, oi-0.0
2021-01-07, o-164.79, h-165.99, l-160.6, c-163.52, v-1351348, oi-0.0
2021-01-10, o-160.12, h-163.35, l-159.28, c-161.93, v-1489664, oi-0.0
2021-01-11, o-162.07, h-162.45, l-158.09, c-158.1, v-1508091, oi-0.0
2021-01-12, o-158, h-159.17, l-155.79, c-157.85, v-1015158, oi-0.0
2021-01-13, o-157.7, h-161.07, l-157.2, c-157.95, v-1308382, oi-0.0
2021-01-14, o-154.01, h-156.5, l-150.13, c-152, v-2021746, oi-0.0
2021-01-18, o-154.5257, h-162.2, l-154.01, c-161.35, v-2105957, oi-0.0
2021-01-19, o-163.1, h-168.95, l-162.715, c-162.94, v-1847783, oi-0.0
2021-01-20, o-163.47, h-163.87, l-160.61, c-163.5, v-1128118, oi-0.0
2021-01-21, o-161.71, h-162.48, l-160.2, c-161.26, v-953131, oi-0.0
2021-01-24, o-166.64, h-170.69, l-163.36, c-165.67, v-3943519, oi-0.0
2021-01-25, o-166, h-166.39, l-162.22, c-163.2, v-1545523, oi-0.0
2021-01-26, o-160.615, h-161.99, l-154.45, c-155.88, v-2199028, oi-0.0
2021-01-27, o-159.99, h-162.91, l-157.61, c-159.58, v-2639508, oi-0.0
2021-01-28, o-187.7335, h-188.34, l-167.33, c-169.18, v-8476786, oi-0.0
2021-01-31, o-174.3, h-186.5, l-174.3, c-185.8, v-5018468, oi-0.0
2021-02-01, o-188.58, h-189.7, l-181.35, c-185.38, v-3258699, oi-0.0
2021-02-02, o-186.47, h-186.7499, l-179.07, c-179.38, v-2827150, oi-0.0
2021-02-03, o-178.195, h-181, l-172.89, c-179.2, v-4774564, oi-0.0
2021-02-04, o-180.09, h-182, l-178.235, c-178.94, v-2213259, oi-0.0
2021-02-07, o-180.32, h-182.5, l-178.53, c-181.58, v-1931022, oi-0.0
2021-02-08, o-180.74, h-186.69, l-180.6168, c-182.91, v-2409140, oi-0.0
2021-02-09, o-184.695, h-186.6, l-181.2, c-185.22, v-1882141, oi-0.0
2021-02-10, o-186.8809, h-189.49, l-184.23, c-188.9, v-1916014, oi-0.0
2021-02-11, o-187.67, h-190.34, l-186.18, c-189.52, v-1728017, oi-0.0
2021-02-15, o-191.21, h-195.82, l-191.06, c-194.17, v-2252644, oi-0.0
2021-02-16, o-192.86, h-193.78, l-187.7, c-192.08, v-1858292, oi-0.0
2021-02-17, o-189.1, h-190.71, l-185.53, c-187.8, v-2229488, oi-0.0
2021-02-18, o-190.12, h-193.4099, l-189.42, c-192.16, v-1761776, oi-0.0
2021-02-21, o-189.48, h-192, l-183.6413, c-183.87, v-1969129, oi-0.0
2021-02-22, o-181.67, h-185.33, l-174.51, c-183.76, v-2299698, oi-0.0
2021-02-23, o-181.71, h-190.58, l-180.04, c-190.49, v-1965049, oi-0.0
2021-02-24, o-186.55, h-188.87, l-175, c-176.06, v-3362895, oi-0.0
