Date, Open, High, Low, Close, Volume, Open Interest
2021-04-27, o-39.32, h-39.32, l-39.25, c-39.29, v-2006, oi-0.0
2021-04-27, o-39.27, h-39.39, l-39.27, c-39.285, v-1228, oi-0.0
2021-04-27, o-39.32, h-39.32, l-39.26, c-39.26, v-1927, oi-0.0
2021-04-27, o-39.23, h-39.29, l-39.22, c-39.29, v-1503, oi-0.0
2021-04-27, o-39.29, h-39.305, l-39.28, c-39.285, v-1112, oi-0.0
2021-04-27, o-39.26, h-39.27, l-39.23, c-39.27, v-1610, oi-0.0
2021-04-27, o-39.27, h-39.295, l-39.24, c-39.295, v-1959, oi-0.0
2021-04-27, o-39.315, h-39.36, l-39.3, c-39.36, v-2531, oi-0.0
2021-04-27, o-39.36, h-39.36, l-39.28, c-39.28, v-1700, oi-0.0
2021-04-27, o-39.32, h-39.33, l-39.31, c-39.325, v-1872, oi-0.0
2021-04-27, o-39.295, h-39.32, l-39.195, c-39.195, v-2691, oi-0.0
2021-04-27, o-39.2, h-39.305, l-39.195, c-39.21, v-3134, oi-0.0
2021-04-27, o-39.21, h-39.3, l-39.21, c-39.285, v-12233, oi-0.0
2021-04-28, o-39.76, h-39.92, l-39.64, c-39.67, v-4234, oi-0.0
2021-04-28, o-39.59, h-39.73, l-39.59, c-39.66, v-2620, oi-0.0
2021-04-28, o-39.71, h-39.79, l-39.71, c-39.79, v-2879, oi-0.0
2021-04-28, o-39.78, h-39.86, l-39.72, c-39.785, v-1501, oi-0.0
2021-04-28, o-39.77, h-39.81, l-39.73, c-39.77, v-3390, oi-0.0
2021-04-28, o-39.82, h-39.97, l-39.82, c-39.955, v-2478, oi-0.0
2021-04-28, o-39.97, h-40.165, l-39.97, c-40.145, v-5253, oi-0.0
2021-04-28, o-40.125, h-40.185, l-40.095, c-40.155, v-5543, oi-0.0
2021-04-28, o-40.22, h-40.43, l-40.22, c-40.43, v-5405, oi-0.0
2021-04-28, o-40.415, h-40.425, l-40.37, c-40.37, v-582, oi-0.0
2021-04-28, o-40.34, h-40.36, l-40.3, c-40.345, v-3537, oi-0.0
2021-04-28, o-40.38, h-40.46, l-40.38, c-40.415, v-1665, oi-0.0
2021-04-28, o-40.415, h-40.44, l-40.39, c-40.39, v-855, oi-0.0
2021-04-28, o-40.46, h-40.635, l-40.46, c-40.545, v-4979, oi-0.0
2021-04-28, o-40.55, h-40.74, l-40.53, c-40.65, v-3654, oi-0.0
2021-04-28, o-40.66, h-40.7, l-40.655, c-40.69, v-3150, oi-0.0
2021-04-28, o-40.64, h-40.64, l-40.595, c-40.63, v-4005, oi-0.0
2021-04-28, o-40.64, h-40.64, l-40.61, c-40.62, v-2552, oi-0.0
2021-04-28, o-40.62, h-40.77, l-40.62, c-40.73, v-13527, oi-0.0
2021-04-28, o-40.765, h-40.77, l-40.71, c-40.71, v-4537, oi-0.0
2021-04-28, o-40.71, h-40.82, l-40.7, c-40.78, v-6110, oi-0.0
2021-04-28, o-40.8, h-40.8, l-40.73, c-40.735, v-2443, oi-0.0
2021-04-28, o-40.77, h-40.8, l-40.695, c-40.76, v-9337, oi-0.0
2021-04-28, o-40.73, h-40.77, l-40.665, c-40.76, v-4346, oi-0.0
2021-04-28, o-40.675, h-40.71, l-40.595, c-40.69, v-7134, oi-0.0
2021-04-28, o-40.675, h-40.81, l-40.645, c-40.71, v-29744, oi-0.0
2021-04-29, o-40.99, h-41.485, l-40.65, c-40.65, v-16366, oi-0.0
2021-04-29, o-40.695, h-40.79, l-40.58, c-40.74, v-4091, oi-0.0
2021-04-29, o-40.74, h-40.74, l-40.49, c-40.67, v-11468, oi-0.0
2021-04-29, o-40.545, h-40.6, l-40.42, c-40.45, v-4406, oi-0.0
