Date, Open, High, Low, Close, Volume, Open Interest
2021-05-12, o-602.1, h-606.4599, l-559.65, c-571.76, v-42005806, oi-0.0
2021-05-13, o-583.4, h-592.87, l-570.46, c-589.72, v-31551180, oi-0.0
2021-05-16, o-575.81, h-589.73, l-561.2, c-576.83, v-30708664, oi-0.0
2021-05-17, o-568.39, h-596.25, l-563.38, c-577.88, v-35446228, oi-0.0
2021-05-18, o-552.37, h-566.21, l-546.98, c-563.29, v-36857757, oi-0.0
2021-05-19, o-574.99, h-588.85, l-571.07, c-586.7, v-28905498, oi-0.0
2021-05-20, o-595.78, h-596.68, l-580, c-580.89, v-24381522, oi-0.0
2021-05-23, o-581.45, h-614.48, l-573.65, c-606.87, v-32962349, oi-0.0
2021-05-24, o-607.45, h-613.99, l-595.71, c-604.7, v-26785700, oi-0.0
2021-05-25, o-607.39, h-620.1, l-601.5, c-619.565, v-13237399, oi-0.0
