Date, Open, High, Low, Close, Volume, Open Interest
2020-05-27, o-117.76, h-118.69, l-115.51, c-115.85, v-2667924, oi-0.0
2020-05-28, o-116.81, h-119.26, l-115.66, c-118.75, v-2995879, oi-0.0
2020-05-31, o-117.77, h-118.4, l-116.83, c-117.86, v-2282414, oi-0.0
2020-06-01, o-118.6, h-122.93, l-117.84, c-122.82, v-5261211, oi-0.0
2020-06-02, o-126.67, h-128.47, l-125.64, c-127.22, v-12090098, oi-0.0
2020-06-03, o-126.38, h-129, l-126.29, c-128.59, v-4420456, oi-0.0
2020-06-04, o-130.96, h-135.68, l-130.55, c-131.44, v-5934500, oi-0.0
2020-06-07, o-130.66, h-133.285, l-129.63, c-132.87, v-7607039, oi-0.0
2020-06-08, o-131.35, h-132.91, l-130.15, c-132.11, v-6175834, oi-0.0
2020-06-09, o-132.45, h-132.79, l-130.99, c-131.4, v-3147712, oi-0.0
2020-06-10, o-129.05, h-129.2208, l-124.33, c-124.6, v-9139944, oi-0.0
2020-06-11, o-127.266, h-127.74, l-125.01, c-125.01, v-919369, oi-0.0
2020-06-14, o-121.57, h-124.53, l-120.8, c-124.29, v-3728479, oi-0.0
2020-06-15, o-128.27, h-129.13, l-124.475, c-126.11, v-5469790, oi-0.0
2020-06-16, o-127.06, h-127.865, l-125.87, c-126.18, v-2157415, oi-0.0
2020-06-17, o-125.73, h-126.63, l-125.09, c-126.01, v-4792345, oi-0.0
2020-06-18, o-128.06, h-128.24, l-123.97, c-125.01, v-4855821, oi-0.0
2020-06-21, o-124.77, h-125.46, l-123.11, c-125.34, v-2848583, oi-0.0
2020-06-22, o-126.63, h-128.095, l-126, c-126.6, v-2984280, oi-0.0
2020-06-23, o-125.29, h-126.8, l-123.13, c-123.93, v-3724334, oi-0.0
2020-06-24, o-124, h-125.34, l-122.35, c-125.06, v-2181069, oi-0.0
2020-06-25, o-124.63, h-124.8908, l-122.3965, c-123.37, v-3030717, oi-0.0
2020-06-28, o-123.85, h-124.95, l-122.42, c-124.8, v-2951532, oi-0.0
