Date, Open, High, Low, Close, Volume, Open Interest
2018-05-23, o-156.99, h-157.71, l-155.53, c-156.98, v-395760, oi-0.0
2018-05-24, o-157, h-157.9, l-156.22, c-157.47, v-422396, oi-0.0
2018-05-28, o-156.6, h-157.76, l-153.27, c-155.2, v-843649, oi-0.0
2018-05-29, o-156.06, h-157.57, l-155.55, c-156.6, v-798549, oi-0.0
2018-05-30, o-155.49, h-157.07, l-153.52, c-154.04, v-1088704, oi-0.0
2018-05-31, o-154.86, h-154.99, l-150.5, c-152.05, v-1778998, oi-0.0
2018-06-03, o-152.05, h-153, l-148.2, c-149.64, v-1969440, oi-0.0
2018-06-04, o-149.71, h-150.4, l-144.14, c-145.72, v-2348700, oi-0.0
2018-06-05, o-145.72, h-146.95, l-144.07, c-146, v-2236035, oi-0.0
2018-06-06, o-147.1, h-149.6894, l-145.56, c-145.71, v-1471330, oi-0.0
2018-06-07, o-145.98, h-151.26, l-145.98, c-150.55, v-1218457, oi-0.0
2018-06-10, o-150.67, h-151.285, l-147.43, c-148.62, v-880057, oi-0.0
2018-06-11, o-148.88, h-151.73, l-148.17, c-150.96, v-1165472, oi-0.0
2018-06-12, o-151.11, h-153.39, l-150.525, c-151.94, v-813996, oi-0.0
2018-06-13, o-152.44, h-155.5858, l-152, c-155, v-935623, oi-0.0
2018-06-14, o-155.51, h-156.3, l-154.11, c-155.02, v-1270360, oi-0.0
2018-06-17, o-153.9, h-153.97, l-151.41, c-151.69, v-801028, oi-0.0
2018-06-18, o-150.01, h-155.08, l-149.67, c-154.52, v-1138438, oi-0.0
2018-06-19, o-154.46, h-158.19, l-153.75, c-157.63, v-965018, oi-0.0
2018-06-20, o-157.88, h-157.88, l-155.58, c-156.58, v-534060, oi-0.0
2018-06-21, o-157.09, h-160.28, l-155.76, c-159.18, v-1367827, oi-0.0
2018-06-24, o-158.69, h-160.17, l-152.91, c-154.82, v-1070052, oi-0.0
2018-06-25, o-154.41, h-155.5, l-151.01, c-151.54, v-1114750, oi-0.0
2018-06-26, o-151.76, h-151.895, l-147.22, c-147.47, v-1488609, oi-0.0
2018-06-27, o-147.78, h-148.52, l-145.37, c-147.59, v-954143, oi-0.0
2018-06-28, o-161.5, h-172, l-161.39, c-169.98, v-5353749, oi-0.0
2018-07-01, o-168.4, h-169.66, l-164.7, c-169.6, v-1537080, oi-0.0
2018-07-02, o-170, h-170, l-167.28, c-167.78, v-808819, oi-0.0
2018-07-04, o-168.22, h-169.95, l-166.71, c-169.48, v-791964, oi-0.0
2018-07-05, o-170, h-173.64, l-169.42, c-173.48, v-1105891, oi-0.0
2018-07-08, o-174.37, h-174.615, l-171.81, c-174.17, v-972064, oi-0.0
2018-07-09, o-174.91, h-175.71, l-172.95, c-175.09, v-1174201, oi-0.0
2018-07-10, o-173.83, h-175.69, l-173, c-175.01, v-899200, oi-0.0
2018-07-11, o-175.02, h-178.33, l-175.02, c-178.28, v-897891, oi-0.0
2018-07-12, o-178.35, h-181.6, l-177.9, c-180.5, v-1127089, oi-0.0
2018-07-15, o-179.85, h-182.4079, l-179.55, c-181.23, v-1536381, oi-0.0
2018-07-16, o-180.58, h-183.39, l-179.82, c-182.6, v-799330, oi-0.0
2018-07-17, o-182, h-182.34, l-180.58, c-181.15, v-736206, oi-0.0
2018-07-18, o-179.96, h-180.9325, l-178.52, c-180.15, v-706045, oi-0.0
2018-07-19, o-180.12, h-180.14, l-176.71, c-177.39, v-1195910, oi-0.0
2018-07-22, o-176.29, h-178.67, l-176.16, c-176.57, v-1003232, oi-0.0
2018-07-23, o-178.44, h-178.67, l-174.39, c-174.87, v-1312271, oi-0.0
2018-07-24, o-174.78, h-177.42, l-173.99, c-176.79, v-1101820, oi-0.0
2018-07-25, o-178.61, h-178.85, l-169.33, c-175.85, v-1783836, oi-0.0
