Date, Open, High, Low, Close, Volume, Open Interest
2021-04-27, o-52.68, h-52.715, l-52.68, c-52.715, v-1836, oi-0.0
2021-04-27, o-52.685, h-52.735, l-52.68, c-52.71, v-4761, oi-0.0
2021-04-27, o-52.695, h-52.75, l-52.65, c-52.65, v-9365, oi-0.0
2021-04-27, o-52.64, h-52.64, l-52.55, c-52.555, v-883, oi-0.0
2021-04-27, o-52.58, h-52.61, l-52.54, c-52.565, v-2706, oi-0.0
2021-04-27, o-52.56, h-52.615, l-52.54, c-52.575, v-2211, oi-0.0
2021-04-27, o-52.575, h-52.68, l-52.535, c-52.66, v-6527, oi-0.0
2021-04-27, o-52.675, h-52.675, l-52.625, c-52.665, v-2282, oi-0.0
2021-04-27, o-52.6, h-52.73, l-52.58, c-52.67, v-5550, oi-0.0
2021-04-27, o-52.675, h-52.675, l-52.6, c-52.615, v-3111, oi-0.0
2021-04-27, o-52.62, h-52.68, l-52.62, c-52.66, v-2222, oi-0.0
2021-04-27, o-52.655, h-52.685, l-52.635, c-52.635, v-6707, oi-0.0
2021-04-27, o-52.61, h-52.685, l-52.57, c-52.57, v-8603, oi-0.0
2021-04-27, o-52.55, h-52.595, l-52.54, c-52.54, v-10570, oi-0.0
2021-04-27, o-52.545, h-52.64, l-52.545, c-52.58, v-8143, oi-0.0
2021-04-27, o-52.575, h-52.59, l-52.445, c-52.525, v-36358, oi-0.0
2021-04-28, o-52.53, h-52.87, l-52.5, c-52.72, v-7433, oi-0.0
2021-04-28, o-52.725, h-52.725, l-52.47, c-52.52, v-10769, oi-0.0
2021-04-28, o-52.5, h-52.52, l-52.36, c-52.41, v-8967, oi-0.0
2021-04-28, o-52.415, h-52.5, l-52.36, c-52.44, v-6404, oi-0.0
2021-04-28, o-52.52, h-52.63, l-52.52, c-52.53, v-4778, oi-0.0
2021-04-28, o-52.515, h-52.53, l-52.405, c-52.405, v-4197, oi-0.0
2021-04-28, o-52.44, h-52.475, l-52.39, c-52.39, v-7081, oi-0.0
2021-04-28, o-52.41, h-52.44, l-52.38, c-52.44, v-3641, oi-0.0
2021-04-28, o-52.415, h-52.485, l-52.375, c-52.485, v-51379, oi-0.0
2021-04-28, o-52.4, h-52.42, l-52.385, c-52.42, v-1752, oi-0.0
2021-04-28, o-52.4, h-52.465, l-52.385, c-52.43, v-3383, oi-0.0
