Date, Open, High, Low, Close, Volume, Open Interest
2021-02-25, o-251.18, h-258.67, l-242.815, c-245.17, v-4027903, oi-0.0
2021-02-28, o-248.67, h-253.52, l-244.75, c-253.2399, v-2716059, oi-0.0
2021-03-01, o-256.78, h-256.78, l-247.74, c-248.12, v-1207161, oi-0.0
2021-03-02, o-245.83, h-246.65, l-235.88, c-236.7, v-1693199, oi-0.0
2021-03-03, o-234.675, h-237.18, l-226.435, c-230.35, v-2268575, oi-0.0
2021-03-04, o-234.53, h-237.58, l-222.53, c-237.13, v-2536223, oi-0.0
2021-03-07, o-236.47, h-240.46, l-230.64, c-230.99, v-1378800, oi-0.0
2021-03-08, o-243.93, h-248, l-240.94, c-245.92, v-3081641, oi-0.0
2021-03-09, o-250.54, h-252.46, l-242.52, c-242.71, v-1848228, oi-0.0
2021-03-10, o-248.29, h-258.99, l-247.67, c-257.37, v-1994382, oi-0.0
2021-03-11, o-250.36, h-252.95, l-246.56, c-252.74, v-1605621, oi-0.0
2021-03-14, o-251.09, h-254.955, l-246.867, c-254.88, v-1260012, oi-0.0
2021-03-15, o-256.67, h-260.47, l-254.1925, c-257.04, v-1490225, oi-0.0
2021-03-16, o-253.76, h-263.28, l-250.49, c-260.85, v-1289651, oi-0.0
2021-03-17, o-254.05, h-257.4, l-248.49, c-249.07, v-1285984, oi-0.0
2021-03-18, o-250.14, h-255.695, l-247.97, c-251.22, v-1065732, oi-0.0
2021-03-21, o-254.085, h-259.85, l-251.63, c-257.51, v-993826, oi-0.0
2021-03-22, o-258.77, h-261.98, l-256.56, c-257.16, v-688816, oi-0.0
2021-03-23, o-256.73, h-258, l-245.22, c-245.98, v-1389807, oi-0.0
2021-03-24, o-244.16, h-249.92, l-243.11, c-246, v-1159618, oi-0.0
2021-03-25, o-246.96, h-251.63, l-243.31, c-249.64, v-798888, oi-0.0
2021-03-28, o-248.6, h-248.84, l-240.42, c-243.247, v-1086727, oi-0.0
2021-03-29, o-241.46, h-244.62, l-237.79, c-243.29, v-724632, oi-0.0
2021-03-30, o-244.94, h-252.26, l-243.79, c-248.4, v-971225, oi-0.0
2021-03-31, o-253.26, h-259.85, l-251.91, c-254.9, v-1261194, oi-0.0
2021-04-04, o-255.35, h-259.31, l-252.64, c-254.88, v-878861, oi-0.0
2021-04-05, o-253.81, h-260.42, l-251.79, c-254.89, v-942048, oi-0.0
2021-04-06, o-254.34, h-255.89, l-251.22, c-251.93, v-669279, oi-0.0
2021-04-07, o-257.38, h-259.03, l-253.71, c-257.05, v-1089652, oi-0.0
2021-04-08, o-255.24, h-258.645, l-253.74, c-257.61, v-822015, oi-0.0
2021-04-11, o-255.09, h-259.985, l-253.08, c-259.75, v-773987, oi-0.0
2021-04-12, o-260.46, h-268.88, l-260.02, c-265.89, v-1745620, oi-0.0
2021-04-13, o-267.5, h-268.16, l-259.26, c-259.87, v-1017520, oi-0.0
2021-04-14, o-262.52, h-263.71, l-254.15, c-260.31, v-3029367, oi-0.0
2021-04-15, o-258.5, h-258.48, l-253.89, c-256.35, v-1215556, oi-0.0
2021-04-18, o-254.64, h-257.49, l-251.39, c-254.58, v-1011807, oi-0.0
2021-04-19, o-253.81, h-255.51, l-248.59, c-249.83, v-906402, oi-0.0
2021-04-20, o-249.68, h-252.46, l-248.02, c-251.46, v-564834, oi-0.0
2021-04-21, o-251.01, h-255.54, l-249.48, c-253.03, v-1509315, oi-0.0
2021-04-22, o-254.46, h-257.49, l-254.1827, c-254.8, v-927973, oi-0.0
2021-04-25, o-254.8, h-259.24, l-254.28, c-259.24, v-739487, oi-0.0
2021-04-26, o-259.41, h-262.0718, l-258.32, c-261.33, v-1007852, oi-0.0
2021-04-27, o-260.19, h-262.69, l-258.46, c-261.06, v-703897, oi-0.0
2021-04-28, o-258.46, h-259.36, l-251.7, c-254.63, v-1148015, oi-0.0
2021-04-29, o-252.09, h-253.57, l-246.78, c-247.01, v-1784186, oi-0.0
2021-05-02, o-248.35, h-250.1915, l-243.06, c-243.74, v-1128494, oi-0.0
2021-05-03, o-240.26, h-241.4, l-233.24, c-237.15, v-1861113, oi-0.0
2021-05-04, o-238.41, h-239.989, l-234.755, c-235.85, v-732180, oi-0.0
2021-05-05, o-236.01, h-237.98, l-231.14, c-234.94, v-1322999, oi-0.0
2021-05-06, o-239.46, h-242.38, l-235.33, c-236.78, v-1085914, oi-0.0
2021-05-09, o-235.03, h-236.58, l-231.38, c-232.28, v-1048939, oi-0.0
2021-05-10, o-226.53, h-239.205, l-225.01, c-236.91, v-1193343, oi-0.0
2021-05-11, o-232.32, h-234.7961, l-223.31, c-224.38, v-2123014, oi-0.0
2021-05-12, o-227.64, h-230.2502, l-219.86, c-222.5, v-1959541, oi-0.0
2021-05-13, o-225.63, h-229.74, l-222.97, c-228.73, v-1698580, oi-0.0
2021-05-16, o-225.84, h-229.68, l-224.71, c-229.48, v-1123186, oi-0.0
2021-05-17, o-230.01, h-230.9425, l-224.28, c-225.32, v-1416640, oi-0.0
2021-05-18, o-219.73, h-226.11, l-217.6, c-226.11, v-1500219, oi-0.0
2021-05-19, o-229.35, h-236.07, l-226.28, c-233.54, v-1661490, oi-0.0
2021-05-20, o-235.1, h-236.9133, l-231.19, c-231.42, v-1001143, oi-0.0
2021-05-23, o-235.63, h-237, l-233.24, c-234.12, v-897734, oi-0.0
2021-05-24, o-236.09, h-237.84, l-234.56, c-236.58, v-2022404, oi-0.0
2021-05-25, o-238.1, h-240.75, l-234.97, c-236.89, v-665940, oi-0.0
