Date, Open, High, Low, Close, Volume, Open Interest
2021-05-20, o-71.445, h-71.445, l-71.445, c-71.445, v-219, oi-0.0
2021-05-20, o-71.465, h-71.465, l-71.465, c-71.465, v-200, oi-0.0
2021-05-20, o-71.455, h-71.455, l-71.455, c-71.455, v-200, oi-0.0
2021-05-20, o-71.495, h-71.495, l-71.47, c-71.47, v-1075, oi-0.0
2021-05-20, o-71.5, h-71.5, l-71.495, c-71.495, v-202, oi-0.0
2021-05-20, o-71.545, h-71.545, l-71.535, c-71.535, v-400, oi-0.0
2021-05-20, o-71.535, h-71.54, l-71.535, c-71.54, v-417, oi-0.0
2021-05-20, o-71.545, h-71.545, l-71.545, c-71.545, v-100, oi-0.0
2021-05-20, o-71.56, h-71.56, l-71.56, c-71.56, v-102, oi-0.0
2021-05-20, o-71.6, h-71.6, l-71.6, c-71.6, v-334, oi-0.0
2021-05-20, o-71.66, h-71.66, l-71.66, c-71.66, v-205, oi-0.0
2021-05-20, o-71.65, h-71.65, l-71.63, c-71.63, v-300, oi-0.0
2021-05-20, o-71.63, h-71.65, l-71.63, c-71.65, v-466, oi-0.0
2021-05-20, o-71.64, h-71.64, l-71.64, c-71.64, v-201, oi-0.0
2021-05-20, o-71.665, h-71.67, l-71.665, c-71.67, v-300, oi-0.0
2021-05-20, o-71.665, h-71.665, l-71.665, c-71.665, v-100, oi-0.0
2021-05-20, o-71.64, h-71.64, l-71.64, c-71.64, v-106, oi-0.0
2021-05-20, o-71.67, h-71.67, l-71.67, c-71.67, v-100, oi-0.0
2021-05-20, o-71.64, h-71.64, l-71.64, c-71.64, v-102, oi-0.0
2021-05-20, o-71.635, h-71.635, l-71.635, c-71.635, v-805, oi-0.0
2021-05-20, o-71.635, h-71.645, l-71.635, c-71.645, v-302, oi-0.0
2021-05-20, o-71.625, h-71.65, l-71.625, c-71.65, v-301, oi-0.0
2021-05-20, o-71.68, h-71.68, l-71.68, c-71.68, v-101, oi-0.0
2021-05-20, o-71.69, h-71.69, l-71.655, c-71.655, v-5820, oi-0.0
2021-05-20, o-71.635, h-71.635, l-71.635, c-71.635, v-100, oi-0.0
2021-05-20, o-71.635, h-71.64, l-71.625, c-71.63, v-703, oi-0.0
2021-05-20, o-71.645, h-71.645, l-71.625, c-71.64, v-400, oi-0.0
2021-05-20, o-71.65, h-71.65, l-71.63, c-71.63, v-551, oi-0.0
2021-05-20, o-71.63, h-71.63, l-71.63, c-71.63, v-203, oi-0.0
2021-05-20, o-71.615, h-71.62, l-71.615, c-71.62, v-610, oi-0.0
2021-05-20, o-71.64, h-71.64, l-71.64, c-71.64, v-100, oi-0.0
2021-05-20, o-71.62, h-71.62, l-71.62, c-71.62, v-402, oi-0.0
2021-05-20, o-71.61, h-71.61, l-71.61, c-71.61, v-106, oi-0.0
2021-05-20, o-71.6, h-71.6, l-71.6, c-71.6, v-100, oi-0.0
2021-05-20, o-71.67, h-71.67, l-71.67, c-71.67, v-113, oi-0.0
2021-05-20, o-71.67, h-71.67, l-71.67, c-71.67, v-202, oi-0.0
2021-05-20, o-71.675, h-71.675, l-71.66, c-71.66, v-200, oi-0.0
2021-05-20, o-71.7, h-71.72, l-71.7, c-71.72, v-200, oi-0.0
2021-05-20, o-71.695, h-71.695, l-71.695, c-71.695, v-450, oi-0.0
2021-05-20, o-71.655, h-71.69, l-71.655, c-71.68, v-300, oi-0.0
2021-05-20, o-71.705, h-71.705, l-71.705, c-71.705, v-120, oi-0.0
