Date, Open, High, Low, Close, Volume, Open Interest
2020-05-27, o-90.26, h-90.9899, l-88.48, c-89.15, v-1793172, oi-0.0
2020-05-28, o-89.16, h-92.28, l-88.9, c-91.96, v-2196370, oi-0.0
2020-05-31, o-91.69, h-91.94, l-90.11, c-90.85, v-1643858, oi-0.0
2020-06-01, o-90.73, h-93.18, l-89.85, c-93.09, v-1981902, oi-0.0
2020-06-02, o-93.95, h-96, l-93.62, c-95.39, v-4713188, oi-0.0
2020-06-03, o-95, h-96.596, l-94.21, c-95.69, v-1489582, oi-0.0
2020-06-04, o-96.82, h-98.17, l-95.81, c-96.2, v-2692358, oi-0.0
2020-06-07, o-96.42, h-97.13, l-95.64, c-96.49, v-3417696, oi-0.0
2020-06-08, o-95.77, h-96.315, l-94.62, c-95.83, v-2841590, oi-0.0
2020-06-09, o-96.15, h-96.2, l-94.5, c-95.3, v-1489458, oi-0.0
2020-06-10, o-93.38, h-93.38, l-89.68, c-89.73, v-5587154, oi-0.0
2020-06-11, o-91.43, h-92.91, l-90.61, c-90.61, v-629653, oi-0.0
2020-06-14, o-88.87, h-91, l-88.08, c-90.67, v-2455394, oi-0.0
2020-06-15, o-93.76, h-95.909, l-92.43, c-93.53, v-5649717, oi-0.0
2020-06-16, o-93.84, h-94.17, l-93.08, c-93.51, v-1444795, oi-0.0
2020-06-17, o-92.97, h-94.03, l-92.64, c-93.47, v-2611976, oi-0.0
2020-06-18, o-94.78, h-95.26, l-92.39, c-94.79, v-3040633, oi-0.0
2020-06-21, o-94.53, h-95.07, l-93.1001, c-94.48, v-1879609, oi-0.0
2020-06-22, o-95.19, h-96.69, l-95.1874, c-95.25, v-1657621, oi-0.0
2020-06-23, o-94.5, h-94.85, l-92.6, c-92.87, v-2226557, oi-0.0
2020-06-24, o-92.65, h-93.55, l-91, c-93.28, v-1950572, oi-0.0
2020-06-25, o-91.93, h-92.58, l-90.4061, c-91, v-2079044, oi-0.0
2020-06-28, o-91.3, h-92, l-90.71, c-91.99, v-1804438, oi-0.0
2020-06-29, o-95.68, h-99.3999, l-94.21, c-98.36, v-8475094, oi-0.0
2020-06-30, o-98.09, h-98.4, l-93.18, c-93.27, v-3582120, oi-0.0
2020-07-01, o-94.56, h-96.23, l-93.91, c-95.31, v-2291535, oi-0.0
2020-07-05, o-98.21, h-102.29, l-97.31, c-102.11, v-4926470, oi-0.0
2020-07-06, o-101.5, h-101.91, l-99.01, c-99.17, v-2848302, oi-0.0
2020-07-07, o-100.2519, h-100.7, l-98.28, c-99.26, v-2391838, oi-0.0
2020-07-08, o-99.65, h-101.13, l-98.35, c-100.24, v-2579132, oi-0.0
2020-07-09, o-99.66, h-100.06, l-98.09, c-99.14, v-2118446, oi-0.0
2020-07-12, o-100.12, h-101.47, l-97.79, c-97.9, v-3318865, oi-0.0
2020-07-13, o-97.22, h-98.82, l-96.05, c-98.63, v-2432511, oi-0.0
2020-07-14, o-99.46, h-99.64, l-97.657, c-99.34, v-1748381, oi-0.0
2020-07-15, o-98.31, h-99.47, l-97.405, c-99.215, v-1440937, oi-0.0
2020-07-16, o-99.11, h-101.44, l-98.375, c-100.48, v-1937550, oi-0.0
2020-07-19, o-100.29, h-103.41, l-100.13, c-103.03, v-1717377, oi-0.0
2020-07-20, o-103.02, h-103.49, l-101.75, c-102.14, v-1776498, oi-0.0
2020-07-21, o-102.64, h-103.65, l-102.22, c-103.05, v-1518955, oi-0.0
2020-07-22, o-103.49, h-105.4, l-102.54, c-103.09, v-1722235, oi-0.0
2020-07-23, o-102.13, h-104.62, l-101.82, c-102.66, v-2102856, oi-0.0
2020-07-26, o-103.24, h-107.17, l-103.24, c-106.81, v-2638748, oi-0.0
2020-07-27, o-106, h-106, l-104.26, c-104.82, v-1871295, oi-0.0
2020-07-28, o-105.33, h-108.3, l-105.3, c-107.86, v-2185699, oi-0.0
2020-07-29, o-107.5, h-112.17, l-107.5, c-111.9, v-4530249, oi-0.0
