Date, Open, High, Low, Close, Volume, Open Interest
2021-04-27 23:00:00, 191.19, 191.5, 186.03, 186.54, 2715649, 0.0
2021-04-28 23:00:00, 186.96, 189.26, 185.65, 188.41, 1529185, 0.0
2021-04-29 23:00:00, 186.5, 188.32, 184.85, 186.98, 1514633, 0.0
2021-05-02 23:00:00, 188.7, 191.57, 188.69, 191.47, 1167148, 0.0
2021-05-03 23:00:00, 190.47, 194.38, 189.58, 193.89, 1770613, 0.0
2021-05-04 23:00:00, 190.96, 194.57, 189.3, 193.66, 1619151, 0.0
2021-05-05 23:00:00, 195.29, 195.37, 192.86, 195.33, 976365, 0.0
2021-05-06 23:00:00, 196.57, 196.57, 191.93, 194.86, 1607568, 0.0
2021-05-09 23:00:00, 195.99, 196.665, 194.26, 194.39, 1318254, 0.0
2021-05-10 23:00:00, 194.96, 196.61, 193.01, 194.48, 1447967, 0.0
2021-05-11 23:00:00, 193.5744, 193.5744, 188.96, 189.36, 1359967, 0.0
2021-05-12 23:00:00, 189.7, 193.93, 189.59, 192.47, 1021876, 0.0
2021-05-13 23:00:00, 194.35, 195.67, 192.89, 194.63, 784357, 0.0
2021-05-16 23:00:00, 194.06, 195.17, 192.37, 194.57, 661086, 0.0
2021-05-17 23:00:00, 194.66, 196.425, 192.38, 192.54, 1051565, 0.0
2021-05-18 23:00:00, 190.32, 191.99, 187.29, 190.8, 1219568, 0.0
2021-05-19 23:00:00, 191.09, 195.1607, 190.82, 194.135, 1006049, 0.0
2021-05-20 23:00:00, 194.73, 196.79, 194.26, 195.33, 921838, 0.0
2021-05-23 23:00:00, 196.32, 198.35, 196.18, 196.92, 943969, 0.0
2021-05-24 23:00:00, 197.17, 197.22, 194.89, 195.26, 1451361, 0.0
2021-05-25 23:00:00, 195.92, 196.16, 193.61, 193.85, 342178, 0.0
