Date, Open, High, Low, Close, Volume, Open Interest
2021-05-19 10:45:00, 271.135, 271.69, 271.135, 271.69, 487, 0.0
2021-05-19 11:00:00, 271.53, 272.26, 271.3, 272.26, 1034, 0.0
2021-05-19 11:15:00, 272.39, 272.68, 272.07, 272.1, 3761, 0.0
2021-05-19 11:30:00, 272.175, 272.175, 271.78, 271.925, 1181, 0.0
2021-05-19 11:45:00, 271.51, 271.83, 270.905, 271.6, 2363, 0.0
2021-05-19 12:00:00, 271.925, 272.035, 271.82, 272.035, 2742, 0.0
2021-05-19 12:15:00, 272.12, 272.12, 271.72, 271.72, 1020, 0.0
2021-05-19 12:30:00, 272.12, 272.12, 271.03, 271.51, 3052, 0.0
2021-05-19 12:45:00, 271.83, 272.65, 271.83, 272.305, 1249, 0.0
2021-05-19 13:00:00, 272.31, 272.88, 271.12, 271.12, 3471, 0.0
2021-05-19 13:15:00, 271.78, 274.18, 271.78, 274.18, 1599, 0.0
2021-05-19 13:30:00, 274.56, 274.56, 273.89, 274.26, 1112, 0.0
2021-05-19 13:45:00, 272.715, 273.11, 272.67, 273.065, 1059, 0.0
2021-05-19 14:00:00, 272.985, 273.49, 272.68, 273.375, 1934, 0.0
2021-05-19 14:15:00, 273.42, 274.06, 273.14, 274.06, 2705, 0.0
2021-05-19 14:30:00, 273.785, 273.805, 272.61, 272.7, 2055, 0.0
2021-05-19 14:45:00, 272.49, 274.21, 272.25, 274.15, 8100, 0.0
2021-05-20 08:30:00, 275.99, 279.54, 275.99, 279.54, 1429, 0.0
2021-05-20 08:45:00, 279.21, 279.455, 278.785, 279.29, 2059, 0.0
2021-05-20 09:00:00, 279.53, 279.93, 279.1, 279.17, 5176, 0.0
2021-05-20 09:15:00, 279.66, 280.38, 279.66, 280.38, 1175, 0.0
2021-05-20 09:30:00, 280.09, 280.43, 279.82, 280.08, 1244, 0.0
2021-05-20 09:45:00, 280.63, 280.64, 280.49, 280.64, 629, 0.0
2021-05-20 10:00:00, 280.77, 280.77, 279.92, 280.07, 1586, 0.0
2021-05-20 10:15:00, 280.69, 281.655, 280.69, 281.655, 1387, 0.0
2021-05-20 10:30:00, 282.03, 282.31, 281.67, 282.31, 621, 0.0
2021-05-20 10:45:00, 282.28, 282.28, 281.11, 281.11, 1176, 0.0
2021-05-20 11:00:00, 280.95, 280.95, 280.355, 280.355, 853, 0.0
2021-05-20 11:15:00, 280.075, 280.33, 280.075, 280.24, 529, 0.0
2021-05-20 11:30:00, 280.24, 280.24, 279.63, 279.83, 640, 0.0
2021-05-20 11:45:00, 279.775, 280.17, 279.74, 280.17, 1896, 0.0
2021-05-20 12:00:00, 280.45, 280.96, 280.29, 280.77, 1212, 0.0
2021-05-20 12:15:00, 280.88, 281.27, 280.88, 281.13, 845, 0.0
2021-05-20 12:30:00, 281.615, 281.81, 281.615, 281.78, 1347, 0.0
2021-05-20 12:45:00, 281.725, 281.725, 280.835, 280.85, 561, 0.0
2021-05-20 13:00:00, 280.995, 281.03, 280.75, 280.75, 798, 0.0
2021-05-20 13:15:00, 280.77, 281.53, 280.76, 281.53, 1283, 0.0
2021-05-20 13:30:00, 281.47, 281.96, 281.29, 281.69, 2104, 0.0
2021-05-20 13:45:00, 281.75, 282.26, 281.67, 282.26, 2489, 0.0
2021-05-20 14:00:00, 282.21, 282.21, 281.55, 281.76, 3293, 0.0
2021-05-20 14:15:00, 281.51, 282.82, 281.51, 282.82, 3521, 0.0
2021-05-20 14:30:00, 282.52, 282.83, 281.03, 281.19, 4325, 0.0
