Date, Open, High, Low, Close, Volume, Open Interest
2021-05-12 09:00:00, 615.34, 615.36, 613.64, 613.96, 1287, 0.0
2021-05-12 09:15:00, 613.88, 614.53, 613.22, 614.21, 967, 0.0
2021-05-12 09:30:00, 611.6, 612.37, 609.3, 609.3, 2848, 0.0
2021-05-12 09:45:00, 609.27, 609.95, 607.94, 607.94, 1817, 0.0
2021-05-12 10:00:00, 609.67, 610.61, 609.11, 610.61, 2350, 0.0
2021-05-12 10:15:00, 611.18, 611.56, 609.59, 609.59, 1736, 0.0
2021-05-12 10:30:00, 609.49, 609.68, 608.5, 609, 1536, 0.0
2021-05-12 10:45:00, 608, 608.42, 607.44, 607.79, 1017, 0.0
2021-05-12 11:00:00, 607.76, 607.76, 606.31, 606.35, 894, 0.0
2021-05-12 11:15:00, 604.31, 606.15, 603.47, 606.15, 789, 0.0
2021-05-12 11:30:00, 606.465, 606.48, 605.16, 606.31, 3628, 0.0
2021-05-12 11:45:00, 606.62, 606.62, 605.83, 606.36, 954, 0.0
2021-05-12 12:00:00, 606.31, 609.85, 606.31, 608.17, 1736, 0.0
2021-05-12 12:15:00, 607.91, 608.17, 605.675, 605.71, 2090, 0.0
2021-05-12 12:30:00, 605.3, 606.19, 604.58, 605.71, 2714, 0.0
2021-05-12 12:45:00, 605.355, 605.355, 604.67, 604.7, 1031, 0.0
2021-05-12 13:00:00, 604.6, 604.87, 604.09, 604.13, 2502, 0.0
2021-05-12 13:15:00, 604.13, 604.7, 603.16, 604.35, 1984, 0.0
2021-05-12 13:30:00, 604.59, 604.79, 603.5, 603.5, 4103, 0.0
2021-05-12 13:45:00, 603.46, 605.27, 603.16, 603.6, 2390, 0.0
2021-05-12 14:00:00, 603.24, 603.24, 600.82, 601.44, 3559, 0.0
2021-05-12 14:15:00, 601.07, 601.32, 600.42, 601.04, 2973, 0.0
2021-05-12 14:30:00, 601.6, 602.28, 600.94, 602.28, 1455, 0.0
2021-05-12 14:45:00, 602.47, 603.34, 600.31, 601.76, 8268, 0.0
2021-05-13 08:30:00, 621.64, 623.37, 620.65, 621.73, 5937, 0.0
2021-05-13 08:45:00, 622.09, 626.79, 620.06, 626.79, 2344, 0.0
2021-05-13 09:00:00, 626.63, 628.4, 625.54, 627.52, 1463, 0.0
2021-05-13 09:15:00, 626.49, 626.59, 624.77, 624.77, 1133, 0.0
2021-05-13 09:30:00, 625.48, 625.48, 623.15, 623.15, 488, 0.0
2021-05-13 09:45:00, 622.82, 624.33, 621.91, 622.41, 1089, 0.0
2021-05-13 10:00:00, 620.61, 621.32, 619.47, 619.47, 785, 0.0
2021-05-13 10:15:00, 619.02, 620.36, 617.8, 617.8, 651, 0.0
2021-05-13 10:30:00, 619.38, 619.38, 614.61, 614.61, 533, 0.0
2021-05-13 10:45:00, 615.48, 617.76, 615.48, 616.41, 1783, 0.0
2021-05-13 11:00:00, 616.97, 618.63, 616.27, 618.63, 980, 0.0
2021-05-13 11:15:00, 619.35, 619.79, 618.39, 619.22, 2352, 0.0
2021-05-13 11:30:00, 621.99, 621.99, 620.26, 620.42, 4935, 0.0
2021-05-13 11:45:00, 620.93, 621.93, 617.19, 617.31, 6793, 0.0
2021-05-13 12:00:00, 616.57, 618.43, 616.57, 618.43, 1687, 0.0
2021-05-13 12:15:00, 615.66, 615.66, 614.38, 614.38, 1401, 0.0
2021-05-13 12:30:00, 613.31, 613.51, 612.36, 613.47, 1313, 0.0
2021-05-13 12:45:00, 613.76, 617.72, 613.25, 617.4, 1743, 0.0
2021-05-13 13:00:00, 618.52, 621.75, 617.66, 620.07, 2803, 0.0
2021-05-13 13:15:00, 620.26, 621.21, 619.57, 621.21, 2299, 0.0
2021-05-13 13:30:00, 621.38, 623.98, 620.4, 623.98, 2047, 0.0
2021-05-13 13:45:00, 623.64, 623.73, 622.055, 622.055, 1492, 0.0
2021-05-13 14:00:00, 621.03, 622.86, 620.69, 622.13, 1120, 0.0
2021-05-13 14:15:00, 622.2, 622.2, 619.14, 620.76, 2591, 0.0
2021-05-13 14:30:00, 622.39, 625.13, 622.17, 624.73, 5417, 0.0
2021-05-13 14:45:00, 624.64, 624.84, 621.3, 622.78, 17070, 0.0
2021-05-14 08:30:00, 630.43, 631.04, 625.41, 626.87, 2841, 0.0
2021-05-14 08:45:00, 626.51, 631.01, 626.51, 631.01, 2661, 0.0
2021-05-14 09:00:00, 630.75, 631.95, 630.75, 631.95, 415, 0.0
2021-05-14 09:15:00, 632.7, 632.89, 631.42, 631.42, 738, 0.0
2021-05-14 09:30:00, 631.91, 634.43, 631.91, 634.33, 1122, 0.0
2021-05-14 09:45:00, 636.09, 639.445, 636.09, 639.07, 3444, 0.0
2021-05-14 10:00:00, 637.89, 638.38, 636.3, 638.38, 2479, 0.0
2021-05-14 10:15:00, 638.65, 639.34, 638.49, 639.34, 676, 0.0
2021-05-14 10:30:00, 639.25, 642.34, 639.25, 642.03, 1275, 0.0
2021-05-14 10:45:00, 641.97, 643.11, 641.92, 641.92, 1382, 0.0
2021-05-14 11:00:00, 643.43, 644.49, 643.43, 644.49, 1111, 0.0
2021-05-14 11:15:00, 644.315, 645.93, 644.315, 645.93, 1754, 0.0
2021-05-14 11:30:00, 646.24, 647.51, 646.02, 647.51, 1576, 0.0
2021-05-14 11:45:00, 647.1, 647.1, 646.58, 646.58, 302, 0.0
2021-05-14 12:00:00, 647.14, 647.16, 646.23, 646.28, 1381, 0.0
2021-05-14 12:15:00, 646.835, 648.16, 646.835, 648.16, 824, 0.0
2021-05-14 12:30:00, 648.79, 648.79, 647.45, 647.7, 1204, 0.0
2021-05-14 12:45:00, 649.59, 650.57, 649.59, 649.615, 1272, 0.0
2021-05-14 13:00:00, 650.54, 650.54, 650.12, 650.15, 713, 0.0
2021-05-14 13:15:00, 649.67, 649.67, 649.63, 649.63, 244, 0.0
