Date, Open, High, Low, Close, Volume, Open Interest
2021-05-25 10:45:00, 96.53, 96.66, 96.53, 96.595, 1308, 0.0
2021-05-25 11:00:00, 96.64, 96.64, 96.53, 96.62, 3634, 0.0
2021-05-25 11:15:00, 96.61, 96.61, 96.52, 96.56, 3193, 0.0
2021-05-25 11:30:00, 96.53, 96.585, 96.42, 96.435, 5255, 0.0
2021-05-25 11:45:00, 96.445, 96.52, 96.37, 96.37, 4864, 0.0
2021-05-25 12:00:00, 96.35, 96.39, 96.3, 96.37, 5453, 0.0
2021-05-25 12:15:00, 96.415, 96.475, 96.375, 96.465, 3098, 0.0
2021-05-25 12:30:00, 96.485, 96.7, 96.485, 96.66, 2274, 0.0
2021-05-25 12:45:00, 96.69, 96.71, 96.59, 96.59, 2316, 0.0
2021-05-25 13:00:00, 96.63, 96.63, 96.485, 96.6, 6712, 0.0
2021-05-25 13:15:00, 96.565, 96.65, 96.56, 96.605, 2664, 0.0
2021-05-25 13:30:00, 96.595, 96.75, 96.595, 96.72, 3165, 0.0
2021-05-25 13:45:00, 96.66, 96.705, 96.59, 96.7, 3173, 0.0
2021-05-25 14:00:00, 96.66, 96.7, 96.55, 96.65, 5443, 0.0
2021-05-25 14:15:00, 96.655, 96.77, 96.64, 96.725, 5199, 0.0
2021-05-25 14:30:00, 96.68, 96.745, 96.58, 96.68, 5416, 0.0
2021-05-25 14:45:00, 96.665, 96.665, 96.5, 96.56, 21453, 0.0
2021-05-26 08:30:00, 97.09, 98.15, 96.95, 98.005, 23080, 0.0
2021-05-26 08:45:00, 97.99, 98.25, 97.88, 98.23, 5661, 0.0
2021-05-26 09:00:00, 98.27, 98.29, 97.87, 97.87, 6072, 0.0
2021-05-26 09:15:00, 97.925, 98.36, 97.9, 98.33, 6672, 0.0
2021-05-26 09:30:00, 98.27, 98.42, 98.2, 98.22, 4118, 0.0
2021-05-26 09:45:00, 98.225, 98.46, 98.21, 98.46, 9127, 0.0
2021-05-26 10:00:00, 98.4, 98.48, 98.25, 98.385, 9839, 0.0
2021-05-26 10:15:00, 98.395, 98.395, 98.065, 98.1, 7863, 0.0
2021-05-26 10:30:00, 98.11, 98.15, 97.86, 97.89, 11343, 0.0
