Date, Open, High, Low, Close, Volume, Open Interest
2019-05-28 23:00:00, 113.2, 114, 112.08, 112.95, 4757505, 0.0
2019-05-29 23:00:00, 112.37, 113.1878, 111.03, 111.9, 3826837, 0.0
2019-05-30 23:00:00, 110, 111.14, 108.75, 109.99, 4756124, 0.0
2019-06-02 23:00:00, 109.76, 110.26, 106.8, 107.78, 5388728, 0.0
2019-06-03 23:00:00, 108.46, 112.32, 107.11, 111.43, 4674061, 0.0
2019-06-04 23:00:00, 111.63, 111.75, 107.35, 109.14, 4113605, 0.0
2019-06-05 23:00:00, 109.1, 109.63, 107.66, 108.87, 2328495, 0.0
2019-06-06 23:00:00, 109.1, 110.6499, 109.03, 109.81, 2302473, 0.0
2019-06-09 23:00:00, 111.35, 113.66, 111, 111.77, 3671638, 0.0
2019-06-10 23:00:00, 113.93, 117.39, 113.81, 115.39, 5857502, 0.0
2019-06-11 23:00:00, 114, 114.28, 112.04, 113.1, 3083118, 0.0
2019-06-12 23:00:00, 113.98, 114.26, 112.515, 114.01, 4822812, 0.0
2019-06-13 23:00:00, 112.81, 113.29, 111.6, 113.09, 6823307, 0.0
2019-06-16 23:00:00, 113.3, 114.46, 112.38, 114.33, 2574478, 0.0
2019-06-17 23:00:00, 115.44, 119.14, 115.2, 116.95, 3736831, 0.0
2019-06-18 23:00:00, 118.16, 118.38, 116.05, 117.8, 3867777, 0.0
2019-06-19 23:00:00, 120, 121.07, 117.5, 118.25, 3196764, 0.0
2019-06-20 23:00:00, 117.8, 118.03, 116.08, 116.9, 2935559, 0.0
2019-06-23 23:00:00, 117.29, 117.29, 115.57, 116.69, 1627351, 0.0
2019-06-24 23:00:00, 115.57, 115.89, 112.4, 113.29, 3065133, 0.0
2019-06-25 23:00:00, 114.58, 116.95, 114.22, 115.79, 3163811, 0.0
2019-06-26 23:00:00, 116.31, 116.75, 114.62, 116.05, 1820027, 0.0
2019-06-27 23:00:00, 116.55, 117.515, 115.38, 117.43, 2843911, 0.0
2019-06-30 23:00:00, 121.49, 121.8, 117.3714, 118.01, 3570070, 0.0
2019-07-01 23:00:00, 118.15, 119.41, 117.22, 119.35, 2391823, 0.0
2019-07-02 23:00:00, 120.2, 120.2, 116.94, 118.56, 2343952, 0.0
2019-07-04 23:00:00, 117.21, 117.8, 115.261, 116.32, 2485975, 0.0
2019-07-07 23:00:00, 114.9, 114.99, 113.14, 113.19, 3128816, 0.0
2019-07-08 23:00:00, 112.35, 114.95, 112.1013, 114.75, 1941806, 0.0
2019-07-09 23:00:00, 116.16, 116.76, 114.04, 114.43, 2155342, 0.0
2019-07-10 23:00:00, 114.69, 115.24, 114.14, 114.74, 1642349, 0.0
2019-07-11 23:00:00, 114.85, 115.65, 114.11, 114.94, 2387420, 0.0
2019-07-14 23:00:00, 115.01, 116.05, 114.5215, 115.6, 2287768, 0.0
2019-07-15 23:00:00, 115.5, 115.6, 113.7, 114.21, 2497470, 0.0
2019-07-16 23:00:00, 114.01, 114.4, 113.52, 113.58, 1852736, 0.0
2019-07-17 23:00:00, 113.19, 113.49, 111.6, 111.84, 3687865, 0.0
