Date, Open, High, Low, Close, Volume, Open Interest
2019-05-27 23:00:00, 227.79, 230.14, 225.09, 225.38, 1225729, 0.0
2019-05-28 23:00:00, 223.64, 224.49, 221.23, 223.26, 1416465, 0.0
2019-05-29 23:00:00, 223.01, 224.97, 221.12, 223.77, 973383, 0.0
2019-05-30 23:00:00, 221.71, 223.31, 219.2, 219.22, 1375414, 0.0
2019-06-02 23:00:00, 220.31, 226.58, 219.51, 223.4, 1353966, 0.0
2019-06-03 23:00:00, 224.51, 229.25, 224.3119, 227.06, 1205140, 0.0
2019-06-04 23:00:00, 227.12, 227.57, 224.48, 226.09, 1119314, 0.0
2019-06-05 23:00:00, 225.18, 228.17, 223.85, 224.38, 1211405, 0.0
2019-06-06 23:00:00, 226.05, 228.86, 224.01, 227.2, 1227150, 0.0
2019-06-09 23:00:00, 227.52, 230.59, 226.495, 228.4, 971017, 0.0
2019-06-10 23:00:00, 229.5, 232.81, 228.78, 229.08, 1078834, 0.0
2019-06-11 23:00:00, 228.29, 231.6, 228.01, 230.469, 1038140, 0.0
2019-06-12 23:00:00, 231.05, 233.83, 229.7, 231.26, 1811021, 0.0
2019-06-13 23:00:00, 230.95, 231.4218, 226.96, 227.67, 2606593, 0.0
2019-06-16 23:00:00, 228.76, 232.96, 227.55, 231.79, 1431887, 0.0
2019-06-17 23:00:00, 233.95, 237.75, 232.535, 233.01, 1353483, 0.0
2019-06-18 23:00:00, 232.61, 234.42, 231.86, 233.93, 1358846, 0.0
2019-06-19 23:00:00, 236.26, 237, 233.89, 234.9, 1693251, 0.0
2019-06-20 23:00:00, 234.67, 239.14, 232.7, 239.11, 1907856, 0.0
2019-06-23 23:00:00, 238.7, 241.31, 235.33, 235.96, 1154383, 0.0
2019-06-24 23:00:00, 236.4, 245.35, 235.99, 240.4, 1852977, 0.0
2019-06-25 23:00:00, 241.45, 242.68, 235.92, 238.06, 1401807, 0.0
2019-06-26 23:00:00, 237.91, 241.14, 237.83, 239.71, 1471832, 0.0
2019-06-27 23:00:00, 236.3263, 237.29, 233.46, 233.8, 1707903, 0.0
2019-06-30 23:00:00, 236.59, 238.025, 234.13, 235.3901, 1215088, 0.0
2019-07-01 23:00:00, 236.26, 236.48, 233.395, 236.36, 1163652, 0.0
2019-07-02 23:00:00, 237, 238.74, 236.2405, 238.28, 591950, 0.0
2019-07-04 23:00:00, 236.91, 238.91, 233.23, 234.17, 1061753, 0.0
2019-07-07 23:00:00, 234.25, 234.25, 228.03, 230.89, 1320872, 0.0
2019-07-08 23:00:00, 229.49, 234.36, 228.53, 234.19, 724224, 0.0
2019-07-09 23:00:00, 233.88, 235.98, 229.46, 232.5, 939000, 0.0
2019-07-10 23:00:00, 231.81, 232.14, 227.19, 231.56, 1092616, 0.0
2019-07-11 23:00:00, 230.89, 233.39, 230.76, 231.44, 1042883, 0.0
2019-07-14 23:00:00, 232.53, 234.35, 229.8917, 233.61, 856195, 0.0
