Date, Open, High, Low, Close, Volume, Open Interest
2021-04-27 23:00:00, 2475, 2514.99, 2461, 2505.12, 270254, 0.0
2021-04-28 23:00:00, 2507.47, 2516, 2476.01, 2501.45, 178193, 0.0
2021-04-29 23:00:00, 2497.7, 2497.7, 2436.14, 2466.69, 245526, 0.0
2021-05-02 23:00:00, 2485, 2486.99, 2435.31, 2439.0798, 143708, 0.0
2021-05-03 23:00:00, 2409.79, 2427.815, 2368.83, 2384.46, 260827, 0.0
2021-05-04 23:00:00, 2402.05, 2403.745, 2327.19, 2336.3743, 313682, 0.0
2021-05-05 23:00:00, 2297.71, 2324, 2255.15, 2278.91, 375299, 0.0
2021-05-06 23:00:00, 2312.24, 2361.42, 2290.74, 2325.55, 324322, 0.0
2021-05-09 23:00:00, 2339.99, 2333, 2261.69, 2261.7, 328370, 0.0
2021-05-10 23:00:00, 2230, 2262.77, 2205.08, 2248.84, 351963, 0.0
2021-05-11 23:00:00, 2231.31, 2236.55, 2163.475, 2171.88, 354460, 0.0
2021-05-12 23:00:00, 2193.95, 2235.665, 2162.145, 2207.16, 246631, 0.0
2021-05-13 23:00:00, 2251.12, 2291.8474, 2227.41, 2282.18, 283011, 0.0
2021-05-16 23:00:00, 2262.64, 2275.5, 2211.59, 2221.34, 259805, 0.0
2021-05-17 23:00:00, 2231.55, 2252.6, 2210.6, 2210.6, 261003, 0.0
2021-05-18 23:00:00, 2167.29, 2272.71, 2161.775, 2271, 345580, 0.0
2021-05-19 23:00:00, 2279.84, 2309.76, 2260.91, 2306.84, 237380, 0.0
2021-05-20 23:00:00, 2324.57, 2336.3, 2268.34, 2295.42, 196834, 0.0
2021-05-23 23:00:00, 2301.72, 2356.15, 2300.2017, 2349.31, 246740, 0.0
2021-05-24 23:00:00, 2363.39, 2373.88, 2329.29, 2339.01, 196657, 0.0
2021-05-25 23:00:00, 2366.49, 2372.7, 2344, 2366.6, 75590, 0.0
