Date, Open, High, Low, Close, Volume, Open Interest
2021-05-24 11:48:00, 126.98, 126.98, 126.97, 126.97, 203, 0.0
2021-05-24 11:49:00, 127, 127, 126.99, 126.99, 201, 0.0
2021-05-24 11:50:00, 126.91, 126.91, 126.86, 126.86, 259, 0.0
2021-05-24 11:54:00, 126.74, 126.76, 126.74, 126.76, 346, 0.0
2021-05-24 11:55:00, 126.83, 126.83, 126.78, 126.78, 419, 0.0
2021-05-24 11:59:00, 126.93, 126.93, 126.93, 126.93, 191, 0.0
2021-05-24 12:00:00, 126.94, 126.98, 126.94, 126.98, 208, 0.0
2021-05-24 12:01:00, 126.96, 126.96, 126.96, 126.96, 101, 0.0
2021-05-24 12:03:00, 126.95, 126.97, 126.95, 126.97, 202, 0.0
2021-05-24 12:08:00, 126.82, 126.82, 126.82, 126.82, 104, 0.0
2021-05-24 12:09:00, 126.81, 126.81, 126.79, 126.79, 301, 0.0
2021-05-24 12:11:00, 126.83, 126.83, 126.83, 126.83, 115, 0.0
2021-05-24 12:12:00, 126.79, 126.79, 126.79, 126.79, 100, 0.0
2021-05-24 12:14:00, 126.75, 126.75, 126.75, 126.75, 125, 0.0
2021-05-24 12:15:00, 126.72, 126.72, 126.72, 126.72, 228, 0.0
2021-05-24 12:16:00, 126.71, 126.71, 126.71, 126.71, 305, 0.0
2021-05-24 12:20:00, 126.84, 126.84, 126.84, 126.84, 109, 0.0
2021-05-24 12:21:00, 126.85, 126.85, 126.85, 126.85, 443, 0.0
2021-05-24 12:23:00, 126.83, 126.83, 126.83, 126.83, 204, 0.0
2021-05-24 12:24:00, 126.77, 126.77, 126.77, 126.77, 101, 0.0
2021-05-24 12:30:00, 126.85, 126.85, 126.85, 126.85, 108, 0.0
2021-05-24 12:35:00, 127.04, 127.04, 127.04, 127.04, 281, 0.0
2021-05-24 12:36:00, 127.08, 127.08, 127.08, 127.08, 116, 0.0
2021-05-24 12:37:00, 127.05, 127.05, 127.04, 127.04, 234, 0.0
2021-05-24 12:43:00, 127.09, 127.12, 127.09, 127.11, 365, 0.0
2021-05-24 12:44:00, 127.14, 127.15, 127.11, 127.11, 649, 0.0
2021-05-24 12:48:00, 127.06, 127.06, 127.06, 127.06, 100, 0.0
2021-05-24 12:49:00, 127.11, 127.13, 127.11, 127.13, 201, 0.0
2021-05-24 12:53:00, 127.19, 127.19, 127.19, 127.19, 102, 0.0
2021-05-24 12:56:00, 127.145, 127.145, 127.145, 127.145, 100, 0.0
2021-05-24 12:59:00, 127.13, 127.15, 127.13, 127.15, 301, 0.0
2021-05-24 13:02:00, 127.07, 127.07, 127.07, 127.07, 133, 0.0
2021-05-24 13:03:00, 127.07, 127.07, 127.07, 127.07, 101, 0.0
2021-05-24 13:05:00, 127.19, 127.19, 127.19, 127.19, 200, 0.0
2021-05-24 13:07:00, 127.13, 127.13, 127.13, 127.13, 116, 0.0
2021-05-24 13:08:00, 127.08, 127.08, 127.08, 127.08, 200, 0.0
2021-05-24 13:09:00, 127.06, 127.06, 127.06, 127.06, 100, 0.0
2021-05-24 13:10:00, 127.06, 127.06, 127.06, 127.06, 130, 0.0
2021-05-24 13:11:00, 127.03, 127.03, 127.03, 127.03, 272, 0.0
2021-05-24 13:15:00, 126.97, 126.97, 126.945, 126.945, 381, 0.0
2021-05-24 13:17:00, 126.93, 126.93, 126.93, 126.93, 101, 0.0
2021-05-24 13:20:00, 126.94, 126.97, 126.94, 126.97, 206, 0.0
2021-05-24 13:21:00, 126.99, 126.99, 126.99, 126.99, 200, 0.0
2021-05-24 13:23:00, 127.015, 127.015, 127.015, 127.015, 101, 0.0
2021-05-24 13:24:00, 126.99, 127.02, 126.99, 127.02, 241, 0.0
2021-05-24 13:25:00, 127.02, 127.02, 127.02, 127.02, 100, 0.0
2021-05-24 13:28:00, 126.97, 126.97, 126.92, 126.93, 301, 0.0
2021-05-24 13:29:00, 126.94, 126.94, 126.94, 126.94, 250, 0.0
2021-05-24 13:34:00, 126.99, 126.99, 126.99, 126.99, 174, 0.0
2021-05-24 13:36:00, 127.08, 127.08, 127.08, 127.08, 100, 0.0
2021-05-24 13:38:00, 127.11, 127.11, 127.11, 127.11, 107, 0.0
2021-05-24 13:42:00, 127.01, 127.01, 127.01, 127.01, 102, 0.0
2021-05-24 13:45:00, 127.05, 127.05, 127.05, 127.05, 140, 0.0
