Date, Open, High, Low, Close, Volume, Open Interest
2020-11-23 23:00:00, 131.855, 137.67, 131.665, 136.81, 1616364, 0.0
2020-11-24 23:00:00, 136.24, 136.34, 131.33, 131.95, 684657, 0.0
2020-11-26 23:00:00, 132.11, 132.42, 131.08, 132.2, 315122, 0.0
2020-11-29 23:00:00, 131.5, 131.5, 129.06, 130.49, 634779, 0.0
2020-11-30 23:00:00, 131.93, 133.1, 131.03, 132.03, 889796, 0.0
2020-12-01 23:00:00, 131.97, 132.28, 130.61, 131.21, 409610, 0.0
2020-12-02 23:00:00, 130.81, 132.95, 130.735, 131.08, 446170, 0.0
2020-12-03 23:00:00, 131.55, 134.38, 131.35, 133.38, 681770, 0.0
2020-12-06 23:00:00, 133.25, 134.75, 132, 133.02, 595294, 0.0
2020-12-07 23:00:00, 133.6, 134.32, 132.32, 132.94, 631021, 0.0
2020-12-08 23:00:00, 133, 133.46, 131.11, 132.129, 501852, 0.0
2020-12-09 23:00:00, 131.5, 132.37, 130.895, 131.69, 440664, 0.0
2020-12-10 23:00:00, 130.72, 131.6106, 128.82, 130.7, 588676, 0.0
2020-12-13 23:00:00, 131.57, 134.11, 130.75, 131.74, 694351, 0.0
2020-12-14 23:00:00, 132.19, 133.26, 131.755, 132.82, 518592, 0.0
2020-12-15 23:00:00, 132.71, 133.185, 131.774, 132.19, 423494, 0.0
2020-12-16 23:00:00, 128.9069, 135.38, 128.9069, 135.24, 722740, 0.0
2020-12-17 23:00:00, 135.85, 136.63, 133.27, 134.45, 834786, 0.0
2020-12-20 23:00:00, 131.75, 132.13, 129.3, 130.99, 949761, 0.0
2020-12-21 23:00:00, 131.35, 131.645, 129.47, 130.78, 843309, 0.0
2020-12-22 23:00:00, 131.41, 132.585, 129.67, 129.85, 649297, 0.0
2020-12-23 23:00:00, 130.46, 130.53, 128.25, 129.09, 363791, 0.0
2020-12-27 23:00:00, 130.75, 131.51, 129.63, 131.06, 874511, 0.0
2020-12-28 23:00:00, 132.01, 133.89, 128.84, 129.51, 538048, 0.0
2020-12-29 23:00:00, 129.33, 131.47, 129, 130.02, 420918, 0.0
2020-12-30 23:00:00, 129.82, 132.17, 129.4, 131.63, 325413, 0.0
2021-01-03 23:00:00, 131.75, 132.81, 125.46, 127.15, 865732, 0.0
2021-01-04 23:00:00, 126.19, 128.33, 125.66, 127.73, 868347, 0.0
2021-01-05 23:00:00, 127.22, 130.37, 127.22, 128.96, 729017, 0.0
2021-01-06 23:00:00, 129.12, 132.62, 128.58, 131.955, 1360907, 0.0
2021-01-07 23:00:00, 132.19, 135.74, 132, 134.58, 864250, 0.0
2021-01-10 23:00:00, 133.01, 135.16, 132.76, 133.65, 587214, 0.0
2021-01-11 23:00:00, 133.28, 135.74, 132.91, 134.48, 554470, 0.0
2021-01-12 23:00:00, 134.38, 136.23, 134.1, 135, 842345, 0.0
2021-01-13 23:00:00, 135.18, 136.21, 134.45, 134.75, 584432, 0.0
2021-01-14 23:00:00, 134.21, 134.64, 131.17, 133.755, 692865, 0.0
2021-01-18 23:00:00, 133.45, 134.88, 130.01, 132.97, 556270, 0.0
2021-01-19 23:00:00, 133.85, 136.815, 133.1, 136.15, 652609, 0.0
2021-01-20 23:00:00, 135.83, 137.8, 134.76, 137.72, 568414, 0.0
2021-01-21 23:00:00, 136.49, 137.25, 135.32, 135.32, 658868, 0.0
2021-01-24 23:00:00, 135.82, 137.01, 134.84, 135.16, 369063, 0.0
2021-01-25 23:00:00, 136.14, 136.14, 133.21, 134.24, 361182, 0.0
2021-01-26 23:00:00, 132.96, 134.2887, 130.355, 133.09, 820826, 0.0
2021-01-27 23:00:00, 133.63, 136.41, 132.65, 134.51, 895091, 0.0
2021-01-28 23:00:00, 133.26, 134.41, 130.22, 131.61, 740870, 0.0
2021-01-31 23:00:00, 133.47, 139.31, 132.71, 138.16, 1126062, 0.0
2021-02-01 23:00:00, 138.74, 142.4, 138.37, 141.51, 622765, 0.0
2021-02-02 23:00:00, 140.53, 141.92, 139.37, 141.01, 632827, 0.0
2021-02-03 23:00:00, 145.71, 149.99, 144.82, 149.98, 1077599, 0.0
2021-02-04 23:00:00, 151.2729, 151.2729, 147.52, 151.14, 513564, 0.0
2021-02-07 23:00:00, 152.08, 153.95, 150.02, 150.39, 1330352, 0.0
2021-02-08 23:00:00, 150.39, 151.75, 149.27, 151.7, 669141, 0.0
2021-02-09 23:00:00, 155.26, 157.94, 154.31, 157.12, 882001, 0.0
2021-02-10 23:00:00, 156.98, 157.1, 154.155, 156.995, 599531, 0.0
2021-02-11 23:00:00, 157.02, 157.02, 154.41, 155.4, 488496, 0.0
2021-02-15 23:00:00, 154.78, 156.77, 154.66, 155.93, 599070, 0.0
2021-02-16 23:00:00, 155.61, 158.58, 154.3, 157.8, 691279, 0.0
2021-02-17 23:00:00, 156.8, 158.08, 156.55, 156.64, 545841, 0.0
2021-02-18 23:00:00, 157.25, 162.42, 156.8022, 160.71, 887745, 0.0
2021-02-21 23:00:00, 158.6, 160.78, 158.32, 159.28, 484796, 0.0
2021-02-22 23:00:00, 158.46, 158.46, 154.43, 157.16, 669734, 0.0
2021-02-23 23:00:00, 154.63, 162.73, 154.01, 162.12, 586731, 0.0
2021-02-24 23:00:00, 160.97, 161.415, 156.51, 156.89, 681691, 0.0
2021-02-25 23:00:00, 158.36, 159.71, 155.67, 156.76, 719448, 0.0
2021-02-28 23:00:00, 160.1, 161.86, 158.62, 160.6, 614265, 0.0
2021-03-01 23:00:00, 160, 160.81, 156.84, 156.85, 584716, 0.0
2021-03-02 23:00:00, 156.49, 157, 154.38, 155.64, 735452, 0.0
2021-03-03 23:00:00, 154.88, 155.78, 148.91, 151.31, 961219, 0.0
2021-03-04 23:00:00, 153.82, 155.25, 149.215, 154.48, 782877, 0.0
2021-03-07 23:00:00, 154.07, 157.2, 152.905, 155.15, 626130, 0.0
2021-03-08 23:00:00, 155.87, 157.32, 154.17, 154.47, 680454, 0.0
2021-03-09 23:00:00, 155.67, 158.27, 154.295, 156.44, 587347, 0.0
2021-03-10 23:00:00, 157.11, 161.015, 156.18, 159.99, 540768, 0.0
2021-03-11 23:00:00, 161.02, 162, 158.99, 160.07, 417487, 0.0
2021-03-14 23:00:00, 159.69, 161.34, 158.5, 161.28, 419919, 0.0
2021-03-15 23:00:00, 162.13, 162.2, 160.02, 160.97, 442897, 0.0
2021-03-16 23:00:00, 160.15, 160.63, 157.57, 160.42, 452456, 0.0
2021-03-17 23:00:00, 157.3, 159.915, 156.59, 157.1, 618461, 0.0
2021-03-18 23:00:00, 156.27, 159.42, 154.74, 157.93, 779257, 0.0
2021-03-21 23:00:00, 158.2, 160.35, 157.18, 159.3, 474537, 0.0
2021-03-22 23:00:00, 158.85, 159.925, 155.175, 156.06, 651637, 0.0
