Date, Open, High, Low, Close, Volume, Open Interest
2021-05-25 10:45:00, 55.585, 55.63, 55.585, 55.62, 3654, 0.0
2021-05-25 10:50:00, 55.62, 55.62, 55.57, 55.61, 3334, 0.0
2021-05-25 10:55:00, 55.63, 55.68, 55.62, 55.635, 5602, 0.0
2021-05-25 11:00:00, 55.64, 55.69, 55.63, 55.68, 3844, 0.0
2021-05-25 11:05:00, 55.69, 55.71, 55.66, 55.705, 8453, 0.0
2021-05-25 11:10:00, 55.71, 55.725, 55.705, 55.715, 4301, 0.0
2021-05-25 11:15:00, 55.715, 55.72, 55.675, 55.68, 3606, 0.0
2021-05-25 11:20:00, 55.69, 55.71, 55.685, 55.71, 3531, 0.0
2021-05-25 11:25:00, 55.705, 55.73, 55.705, 55.73, 1989, 0.0
2021-05-25 11:30:00, 55.72, 55.765, 55.715, 55.755, 6013, 0.0
2021-05-25 11:35:00, 55.765, 55.82, 55.765, 55.815, 6924, 0.0
2021-05-25 11:40:00, 55.815, 55.89, 55.81, 55.89, 7534, 0.0
2021-05-25 11:45:00, 55.88, 55.89, 55.845, 55.86, 5311, 0.0
2021-05-25 11:50:00, 55.86, 55.905, 55.84, 55.85, 4732, 0.0
2021-05-25 11:55:00, 55.855, 55.855, 55.84, 55.845, 2248, 0.0
2021-05-25 12:00:00, 55.83, 55.83, 55.715, 55.715, 5335, 0.0
2021-05-25 12:05:00, 55.71, 55.725, 55.705, 55.725, 3779, 0.0
2021-05-25 12:10:00, 55.73, 55.75, 55.72, 55.73, 2124, 0.0
2021-05-25 12:15:00, 55.74, 55.77, 55.725, 55.73, 4722, 0.0
2021-05-25 12:20:00, 55.74, 55.77, 55.74, 55.77, 2926, 0.0
2021-05-25 12:25:00, 55.765, 55.765, 55.71, 55.74, 3051, 0.0
2021-05-25 12:30:00, 55.74, 55.755, 55.735, 55.74, 5182, 0.0
2021-05-25 12:35:00, 55.75, 55.785, 55.73, 55.73, 5405, 0.0
2021-05-25 12:40:00, 55.735, 55.755, 55.705, 55.745, 3094, 0.0
2021-05-25 12:45:00, 55.75, 55.75, 55.68, 55.68, 1737, 0.0
2021-05-25 12:50:00, 55.68, 55.7, 55.67, 55.67, 4657, 0.0
2021-05-25 12:55:00, 55.7, 55.71, 55.695, 55.71, 1571, 0.0
2021-05-25 13:00:00, 55.725, 55.725, 55.635, 55.635, 3853, 0.0
2021-05-25 13:05:00, 55.64, 55.66, 55.595, 55.595, 4020, 0.0
2021-05-25 13:10:00, 55.595, 55.6, 55.565, 55.58, 4508, 0.0
2021-05-25 13:15:00, 55.57, 55.61, 55.56, 55.56, 4911, 0.0
2021-05-25 13:20:00, 55.55, 55.58, 55.54, 55.54, 3482, 0.0
2021-05-25 13:25:00, 55.55, 55.61, 55.55, 55.61, 5780, 0.0
2021-05-25 13:30:00, 55.615, 55.675, 55.615, 55.675, 6157, 0.0
2021-05-25 13:35:00, 55.67, 55.71, 55.67, 55.685, 7830, 0.0
2021-05-25 13:40:00, 55.675, 55.69, 55.605, 55.61, 7264, 0.0
2021-05-25 13:45:00, 55.6, 55.6, 55.585, 55.595, 3818, 0.0
2021-05-25 13:50:00, 55.6, 55.62, 55.595, 55.61, 3973, 0.0
2021-05-25 13:55:00, 55.61, 55.68, 55.605, 55.665, 7721, 0.0
2021-05-25 14:00:00, 55.66, 55.66, 55.51, 55.51, 5657, 0.0
2021-05-25 14:05:00, 55.505, 55.545, 55.505, 55.535, 5692, 0.0
2021-05-25 14:10:00, 55.535, 55.555, 55.53, 55.555, 8196, 0.0
2021-05-25 14:15:00, 55.54, 55.59, 55.54, 55.59, 5516, 0.0
2021-05-25 14:20:00, 55.585, 55.655, 55.585, 55.635, 7004, 0.0
2021-05-25 14:25:00, 55.64, 55.665, 55.625, 55.63, 5305, 0.0
2021-05-25 14:30:00, 55.635, 55.635, 55.58, 55.59, 11986, 0.0
2021-05-25 14:35:00, 55.595, 55.645, 55.58, 55.64, 7461, 0.0
2021-05-25 14:40:00, 55.635, 55.65, 55.615, 55.65, 8703, 0.0
2021-05-25 14:45:00, 55.65, 55.66, 55.59, 55.59, 8909, 0.0
2021-05-25 14:50:00, 55.6, 55.68, 55.6, 55.665, 26825, 0.0
2021-05-25 14:55:00, 55.65, 55.735, 55.645, 55.71, 39043, 0.0
2021-05-26 08:30:00, 55.945, 56.03, 55.69, 55.72, 26914, 0.0
2021-05-26 08:35:00, 55.76, 55.76, 55.615, 55.71, 13764, 0.0
2021-05-26 08:40:00, 55.71, 55.715, 55.65, 55.7, 9312, 0.0
2021-05-26 08:45:00, 55.735, 57.17, 55.69, 57.17, 91060, 0.0
2021-05-26 08:50:00, 57.17, 57.22, 56.35, 56.94, 46208, 0.0
2021-05-26 08:55:00, 56.91, 57, 56.775, 56.96, 17911, 0.0
2021-05-26 09:00:00, 56.96, 57.04, 56.815, 56.925, 13868, 0.0
2021-05-26 09:05:00, 56.91, 57.01, 56.91, 57, 13483, 0.0
