Date, Open, High, Low, Close, Volume, Open Interest
2021-05-12 13:30:00, 51.69, 51.78, 51.62, 51.78, 40559, 0.0
2021-05-12 13:45:00, 51.76, 51.91, 51.74, 51.835, 19241, 0.0
2021-05-12 14:00:00, 51.83, 51.84, 51.735, 51.765, 32823, 0.0
2021-05-12 14:15:00, 51.755, 51.785, 51.62, 51.635, 36972, 0.0
2021-05-12 14:30:00, 51.645, 51.685, 51.58, 51.685, 53769, 0.0
2021-05-12 14:45:00, 51.67, 51.73, 51.54, 51.59, 106210, 0.0
2021-05-13 08:30:00, 52, 52.335, 51.9, 52.23, 33074, 0.0
2021-05-13 08:45:00, 52.32, 52.54, 52.32, 52.475, 31827, 0.0
2021-05-13 09:00:00, 52.49, 52.53, 52.37, 52.495, 35273, 0.0
2021-05-13 09:15:00, 52.505, 52.63, 52.5, 52.535, 42148, 0.0
2021-05-13 09:30:00, 52.545, 52.57, 52.49, 52.49, 32989, 0.0
2021-05-13 09:45:00, 52.5, 52.635, 52.5, 52.62, 26974, 0.0
2021-05-13 10:00:00, 52.615, 52.62, 52.41, 52.41, 11650, 0.0
2021-05-13 10:15:00, 52.415, 52.435, 52.22, 52.24, 22057, 0.0
2021-05-13 10:30:00, 52.24, 52.37, 52.23, 52.29, 13243, 0.0
2021-05-13 10:45:00, 52.27, 52.43, 52.25, 52.35, 10936, 0.0
2021-05-13 11:00:00, 52.36, 52.56, 52.36, 52.525, 12294, 0.0
2021-05-13 11:15:00, 52.55, 52.57, 52.45, 52.54, 10437, 0.0
2021-05-13 11:30:00, 52.52, 52.62, 52.515, 52.55, 15237, 0.0
2021-05-13 11:45:00, 52.57, 52.595, 52.435, 52.46, 7017, 0.0
2021-05-13 12:00:00, 52.45, 52.52, 52.41, 52.505, 5705, 0.0
2021-05-13 12:15:00, 52.55, 52.56, 52.41, 52.48, 12829, 0.0
2021-05-13 12:30:00, 52.47, 52.47, 52.35, 52.4, 6244, 0.0
2021-05-13 12:45:00, 52.43, 52.48, 52.35, 52.44, 20358, 0.0
2021-05-13 13:00:00, 52.435, 52.68, 52.435, 52.66, 24365, 0.0
2021-05-13 13:15:00, 52.65, 52.74, 52.62, 52.74, 19414, 0.0
2021-05-13 13:30:00, 52.72, 52.77, 52.68, 52.72, 10875, 0.0
2021-05-13 13:45:00, 52.7, 52.72, 52.67, 52.69, 8018, 0.0
2021-05-13 14:00:00, 52.67, 52.75, 52.67, 52.68, 10244, 0.0
2021-05-13 14:15:00, 52.69, 52.73, 52.65, 52.72, 10920, 0.0
2021-05-13 14:30:00, 52.75, 52.8, 52.695, 52.75, 18022, 0.0
2021-05-13 14:45:00, 52.75, 52.785, 52.5, 52.5, 53781, 0.0
2021-05-14 07:30:00, 52.62, 52.62, 52.62, 52.62, 340, 0.0
2021-05-14 08:30:00, 52.93, 53.07, 52.61, 52.89, 24031, 0.0
2021-05-14 08:45:00, 52.92, 52.94, 52.82, 52.9, 15798, 0.0
2021-05-14 09:00:00, 52.89, 52.9, 52.69, 52.75, 20900, 0.0
2021-05-14 09:15:00, 52.74, 52.8, 52.7, 52.74, 11211, 0.0
2021-05-14 09:30:00, 52.68, 52.77, 52.605, 52.63, 11954, 0.0
2021-05-14 09:45:00, 52.63, 52.78, 52.63, 52.78, 24601, 0.0
2021-05-14 10:00:00, 52.75, 52.775, 52.7, 52.775, 19374, 0.0
2021-05-14 10:15:00, 52.78, 52.815, 52.735, 52.815, 18937, 0.0
2021-05-14 10:30:00, 52.825, 52.935, 52.81, 52.895, 13231, 0.0
2021-05-14 10:45:00, 52.9, 52.9, 52.77, 52.77, 8181, 0.0
2021-05-14 11:00:00, 52.79, 52.87, 52.79, 52.87, 8334, 0.0
2021-05-14 11:15:00, 52.865, 52.865, 52.835, 52.855, 6910, 0.0
2021-05-14 11:30:00, 52.855, 52.905, 52.845, 52.88, 8925, 0.0
2021-05-14 11:45:00, 52.865, 52.935, 52.865, 52.89, 10731, 0.0
2021-05-14 12:00:00, 52.885, 52.935, 52.88, 52.915, 12848, 0.0
2021-05-14 12:15:00, 52.925, 52.945, 52.915, 52.925, 5008, 0.0
2021-05-14 12:30:00, 52.92, 53.055, 52.92, 53.055, 11342, 0.0
2021-05-14 12:45:00, 53.06, 53.13, 53.06, 53.13, 14833, 0.0
2021-05-14 13:00:00, 53.12, 53.175, 53.095, 53.165, 9348, 0.0
2021-05-14 13:15:00, 53.17, 53.17, 53.065, 53.095, 9017, 0.0
2021-05-14 13:30:00, 53.1, 53.16, 53.1, 53.115, 22630, 0.0
2021-05-14 13:45:00, 53.115, 53.21, 53.115, 53.185, 24205, 0.0
2021-05-14 14:00:00, 53.175, 53.195, 53.115, 53.15, 55918, 0.0
2021-05-14 14:15:00, 53.16, 53.2, 53.145, 53.195, 20724, 0.0
2021-05-14 14:30:00, 53.2, 53.205, 53.09, 53.125, 37106, 0.0
2021-05-14 14:45:00, 53.115, 53.16, 52.895, 52.9, 106721, 0.0
2021-05-17 08:30:00, 52.765, 53.09, 52.765, 52.955, 58501, 0.0
2021-05-17 08:45:00, 52.96, 53.15, 52.93, 53.105, 27121, 0.0
2021-05-17 09:00:00, 53.1, 53.105, 52.905, 52.91, 17922, 0.0
2021-05-17 09:15:00, 52.89, 53.025, 52.875, 52.89, 12486, 0.0
2021-05-17 09:30:00, 52.86, 52.965, 52.74, 52.85, 28698, 0.0
2021-05-17 09:45:00, 52.855, 52.94, 52.8, 52.815, 20431, 0.0
2021-05-17 10:00:00, 52.82, 52.82, 52.69, 52.775, 35984, 0.0
2021-05-17 10:15:00, 52.78, 52.8, 52.73, 52.75, 23019, 0.0
2021-05-17 10:30:00, 52.775, 52.87, 52.72, 52.87, 24521, 0.0
2021-05-17 10:45:00, 52.87, 52.885, 52.77, 52.83, 8846, 0.0
2021-05-17 11:00:00, 52.805, 52.81, 52.725, 52.795, 10306, 0.0
2021-05-17 11:15:00, 52.79, 52.905, 52.77, 52.88, 10713, 0.0
2021-05-17 11:30:00, 52.875, 52.905, 52.85, 52.9, 4215, 0.0
2021-05-17 11:45:00, 52.905, 52.915, 52.82, 52.835, 6851, 0.0
2021-05-17 12:00:00, 52.83, 52.86, 52.805, 52.82, 12819, 0.0
2021-05-17 12:15:00, 52.83, 52.835, 52.745, 52.81, 8764, 0.0
2021-05-17 12:30:00, 52.795, 52.815, 52.685, 52.73, 10844, 0.0
2021-05-17 12:45:00, 52.73, 52.785, 52.72, 52.78, 10456, 0.0
2021-05-17 13:00:00, 52.78, 52.795, 52.74, 52.79, 10700, 0.0
2021-05-17 13:15:00, 52.78, 52.87, 52.78, 52.865, 9203, 0.0
2021-05-17 13:30:00, 52.87, 52.9, 52.82, 52.825, 8615, 0.0
2021-05-17 13:45:00, 52.82, 52.955, 52.8, 52.935, 17882, 0.0
2021-05-17 14:00:00, 52.945, 52.95, 52.905, 52.93, 11693, 0.0
2021-05-17 14:15:00, 52.92, 52.92, 52.8, 52.845, 13405, 0.0
2021-05-17 14:30:00, 52.84, 52.93, 52.805, 52.93, 49665, 0.0
2021-05-17 14:45:00, 52.925, 52.99, 52.85, 52.945, 129196, 0.0
2021-05-18 08:30:00, 52.82, 53.1, 52.765, 53.08, 53943, 0.0
2021-05-18 08:45:00, 53.08, 53.09, 52.88, 52.93, 22840, 0.0
2021-05-18 09:00:00, 52.905, 52.925, 52.75, 52.8, 15503, 0.0
2021-05-18 09:15:00, 52.805, 52.935, 52.765, 52.92, 16385, 0.0
2021-05-18 09:30:00, 52.91, 52.97, 52.91, 52.93, 18868, 0.0
2021-05-18 09:45:00, 52.935, 53.13, 52.925, 53.11, 20174, 0.0
2021-05-18 10:00:00, 53.11, 53.2, 53.075, 53.09, 17734, 0.0
2021-05-18 10:15:00, 53.09, 53.11, 53.035, 53.05, 11117, 0.0
2021-05-18 10:30:00, 53.04, 53.06, 52.97, 53.03, 15334, 0.0
2021-05-18 10:45:00, 53.03, 53.08, 52.985, 53.01, 13733, 0.0
2021-05-18 11:00:00, 53.01, 53.105, 53.005, 53.04, 25518, 0.0
2021-05-18 11:15:00, 53.05, 53.11, 53.03, 53.095, 20890, 0.0
2021-05-18 11:30:00, 53.105, 53.195, 53.105, 53.18, 37442, 0.0
2021-05-18 11:45:00, 53.18, 53.25, 53.175, 53.205, 18547, 0.0
2021-05-18 12:00:00, 53.2, 53.25, 53.16, 53.21, 15540, 0.0
2021-05-18 12:15:00, 53.215, 53.29, 53.19, 53.27, 16230, 0.0
2021-05-18 12:30:00, 53.26, 53.335, 53.22, 53.305, 12706, 0.0
