Date, Open, High, Low, Close, Volume, Open Interest
2021-02-25 23:00:00, 92.55, 92.9, 91.08, 91.54, 2981642, 0.0
2021-02-28 23:00:00, 92.99, 93.54, 92.4701, 92.94, 2085023, 0.0
2021-03-01 23:00:00, 92.94, 93.02, 91.59, 92.16, 1831488, 0.0
2021-03-02 23:00:00, 92.06, 92.23, 91.05, 91.13, 1935791, 0.0
2021-03-03 23:00:00, 91.08, 91.48, 87.15, 88.31, 3858935, 0.0
2021-03-04 23:00:00, 89.5442, 91.86, 87.93, 91.63, 2553126, 0.0
2021-03-07 23:00:00, 91.79, 94.44, 91.6, 92.53, 2989858, 0.0
2021-03-08 23:00:00, 93.32, 94.04, 92.68, 92.74, 2096915, 0.0
2021-03-09 23:00:00, 93.01, 94.16, 92.5, 93.58, 2092194, 0.0
2021-03-10 23:00:00, 94.12, 94.89, 93.65, 93.82, 2017745, 0.0
2021-03-11 23:00:00, 93.58, 94.28, 93.49, 93.85, 1793586, 0.0
2021-03-14 23:00:00, 93.65, 93.98, 92.25, 93.48, 2236630, 0.0
2021-03-15 23:00:00, 93.77, 93.87, 91.44, 91.9, 2569417, 0.0
2021-03-16 23:00:00, 91.79, 92.7, 91.01, 92.14, 3159630, 0.0
2021-03-17 23:00:00, 91.46, 93.17, 91.41, 92.54, 3640668, 0.0
2021-03-18 23:00:00, 92.85, 93, 90.48, 90.67, 7972539, 0.0
2021-03-21 23:00:00, 94.81, 95.2, 93.23, 93.78, 6056461, 0.0
2021-03-22 23:00:00, 93.47, 94.89, 92.61, 92.93, 2776006, 0.0
2021-03-23 23:00:00, 93.1884, 95.28, 93.02, 94.16, 3550844, 0.0
2021-03-24 23:00:00, 93.97, 95.83, 93.02, 95.54, 2618001, 0.0
2021-03-25 23:00:00, 95.73, 97.73, 95.39, 97.67, 2513335, 0.0
2021-03-28 23:00:00, 97.93, 98.085, 96.04, 96.6, 2554860, 0.0
2021-03-29 23:00:00, 96.01, 97.3, 95.96, 96.38, 2690443, 0.0
2021-03-30 23:00:00, 95.66, 97.09, 95.66, 96.39, 2141435, 0.0
2021-03-31 23:00:00, 97.09, 97.34, 96.35, 97.29, 2238158, 0.0
2021-04-04 23:00:00, 97.79, 98.85, 97.64, 98.59, 1865014, 0.0
2021-04-05 23:00:00, 98.32, 98.52, 97.07, 97.1, 2210201, 0.0
2021-04-06 23:00:00, 97.59, 97.63, 96.4788, 96.95, 1585849, 0.0
2021-04-07 23:00:00, 97.19, 97.2, 96.34, 96.48, 1958261, 0.0
2021-04-08 23:00:00, 96.85, 98.49, 96.65, 98.32, 1675813, 0.0
2021-04-11 23:00:00, 97.64, 98.76, 97.1, 98.58, 1831307, 0.0
2021-04-12 23:00:00, 98.08, 98.46, 97.19, 97.8, 1675788, 0.0
2021-04-13 23:00:00, 98, 98.57, 97.64, 98.36, 2552607, 0.0
2021-04-14 23:00:00, 98.75, 99.34, 98.31, 98.88, 2467936, 0.0
2021-04-15 23:00:00, 99.65, 99.75, 98.18, 98.58, 2416742, 0.0
2021-04-18 23:00:00, 98.27, 98.85, 97.97, 98.7, 2134236, 0.0
2021-04-19 23:00:00, 100.17, 101.35, 98.07, 98.46, 4425172, 0.0
2021-04-20 23:00:00, 98.88, 103.36, 98.77, 102.64, 6697956, 0.0
2021-04-21 23:00:00, 101.72, 103.74, 101.3001, 101.82, 4308722, 0.0
2021-04-22 23:00:00, 101.8, 103.615, 101.46, 103.11, 2546678, 0.0
2021-04-25 23:00:00, 103.03, 103.64, 102.2, 102.31, 2859703, 0.0
2021-04-26 23:00:00, 102.1, 102.29, 101.4, 101.92, 2712987, 0.0
2021-04-27 23:00:00, 101.59, 102.495, 101.35, 101.47, 3459852, 0.0
2021-04-28 23:00:00, 102, 102, 99.89, 101.2, 3958941, 0.0
2021-04-29 23:00:00, 100.92, 101.77, 100.545, 100.76, 3053359, 0.0
2021-05-02 23:00:00, 101.54, 102.08, 101.24, 101.37, 1866096, 0.0
2021-05-03 23:00:00, 101.02, 102.04, 100.88, 101.66, 3347815, 0.0
2021-05-04 23:00:00, 101.95, 102.36, 101, 101.18, 2483400, 0.0
2021-05-05 23:00:00, 101.83, 102.61, 101.565, 102.56, 2106198, 0.0
2021-05-06 23:00:00, 102.34, 103.53, 101.86, 103.13, 2003662, 0.0
2021-05-09 23:00:00, 103.63, 104.87, 103.1, 103.15, 2803049, 0.0
2021-05-10 23:00:00, 102.83, 102.88, 101.32, 101.52, 4167810, 0.0
2021-05-11 23:00:00, 100.94, 101.5, 99.49, 99.67, 2881808, 0.0
2021-05-12 23:00:00, 99.61, 101.26, 99.26, 100.72, 4171704, 0.0
2021-05-13 23:00:00, 101.55, 102.52, 101.22, 101.7, 2771967, 0.0
2021-05-16 23:00:00, 101.9, 102.32, 99.85, 100.4, 3979209, 0.0
2021-05-17 23:00:00, 100.28, 100.5, 98.84, 98.88, 3029700, 0.0
2021-05-18 23:00:00, 97.87, 98.58, 97.07, 98.37, 3237710, 0.0
2021-05-19 23:00:00, 98.07, 98.805, 97.435, 98.28, 2687723, 0.0
2021-05-20 23:00:00, 98.56, 99.57, 97.82, 98.29, 3341647, 0.0
2021-05-23 23:00:00, 99.2, 99.61, 98.58, 99.37, 2424074, 0.0
2021-05-24 23:00:00, 99.34, 100.38, 98.85, 99.07, 2337768, 0.0
2021-05-25 23:00:00, 99.12, 100.035, 99.07, 99.765, 1352077, 0.0
