Date, Open, High, Low, Close, Volume, Open Interest
2021-05-25 10:15:00, 356.65, 356.67, 356.415, 356.415, 544, 0.0
2021-05-25 10:30:00, 356.58, 356.855, 356.46, 356.46, 1374, 0.0
2021-05-25 10:45:00, 356.505, 357.09, 356.32, 357.09, 1644, 0.0
2021-05-25 11:00:00, 356.66, 356.66, 356.5, 356.5, 333, 0.0
2021-05-25 11:45:00, 356.59, 356.59, 356.59, 356.59, 100, 0.0
2021-05-25 12:00:00, 356.54, 356.705, 356.53, 356.53, 819, 0.0
2021-05-25 12:15:00, 356.565, 356.825, 356.24, 356.44, 3160, 0.0
2021-05-25 12:30:00, 356.42, 356.42, 356.15, 356.15, 2102, 0.0
2021-05-25 12:45:00, 356.145, 356.23, 356.065, 356.23, 1643, 0.0
2021-05-25 13:00:00, 355.615, 355.615, 355.615, 355.615, 119, 0.0
2021-05-25 13:15:00, 355.5, 355.5, 355.36, 355.36, 276, 0.0
2021-05-25 13:30:00, 355.64, 355.865, 355.525, 355.775, 1560, 0.0
2021-05-25 13:45:00, 355.68, 356.01, 355.535, 355.6, 1940, 0.0
2021-05-25 14:00:00, 355.58, 355.77, 355.53, 355.655, 1663, 0.0
2021-05-25 14:15:00, 355.6, 356.255, 355.6, 356.21, 1757, 0.0
2021-05-25 14:30:00, 356.31, 356.51, 356.15, 356.47, 2740, 0.0
2021-05-25 14:45:00, 356.525, 356.64, 355.49, 355.69, 5502, 0.0
2021-05-26 08:30:00, 353.64, 356.23, 353.64, 356.215, 878, 0.0
2021-05-26 08:45:00, 355.51, 355.63, 355.24, 355.24, 503, 0.0
2021-05-26 09:00:00, 355.22, 355.54, 355.22, 355.48, 414, 0.0
2021-05-26 09:15:00, 355.28, 355.33, 355.24, 355.33, 335, 0.0
2021-05-26 09:30:00, 355.52, 355.565, 355.46, 355.46, 810, 0.0
2021-05-26 09:45:00, 354.39, 354.43, 353.89, 353.93, 1171, 0.0
2021-05-26 10:00:00, 354.07, 354.07, 353.69, 353.94, 617, 0.0
2021-05-26 10:15:00, 353.78, 353.78, 352.9, 352.96, 1357, 0.0
2021-05-26 10:30:00, 352.61, 352.91, 352.61, 352.68, 812, 0.0
