Date, Open, High, Low, Close, Volume, Open Interest
2021-05-12 23:00:00, 344.33, 354.61, 344.33, 352.77, 287751, 0.0
2021-05-13 23:00:00, 355.25, 360.09, 353.42, 358.13, 227689, 0.0
2021-05-16 23:00:00, 353.9, 357.995, 348.91, 352.11, 205193, 0.0
2021-05-17 23:00:00, 350.56, 353.27, 347.32, 347.62, 372485, 0.0
2021-05-18 23:00:00, 343.5, 346.615, 338, 342.29, 370978, 0.0
2021-05-19 23:00:00, 342.72, 350.84, 340.17, 349.46, 278796, 0.0
2021-05-20 23:00:00, 351.65, 354.06, 347.6, 348.7, 238322, 0.0
2021-05-23 23:00:00, 351.65, 356.44, 350.21, 354.51, 317274, 0.0
2021-05-24 23:00:00, 354.6, 358.01, 354.515, 355.63, 287190, 0.0
2021-05-25 23:00:00, 356.49, 356.97, 352.38, 352.38, 74116, 0.0
