Date, Open, High, Low, Close, Volume, Open Interest
2019-05-27 23:00:00, 62.14, 62.66, 61.88, 62.09, 5428667, 0.0
2019-05-28 23:00:00, 61.83, 62.17, 61.545, 61.89, 3898166, 0.0
2019-05-29 23:00:00, 61.94, 62.9, 61.75, 62.36, 4232495, 0.0
2019-05-30 23:00:00, 61.73, 62.33, 61.73, 61.93, 4584896, 0.0
2019-06-03 23:00:00, 61.03, 61.54, 58.87, 61.09, 7219787, 0.0
2019-06-04 23:00:00, 61.73, 62.235, 61.28, 62.22, 5419399, 0.0
2019-06-05 23:00:00, 61.94, 62.15, 61.745, 61.9, 4714721, 0.0
2019-06-06 23:00:00, 62.24, 62.98, 62.15, 62.775, 1894371, 0.0
2019-06-09 23:00:00, 62.85, 63.4251, 62.67, 63.02, 2808962, 0.0
2019-06-10 23:00:00, 63.66, 63.93, 63.022, 63.39, 2530288, 0.0
2019-06-11 23:00:00, 63.09, 63.39, 62.11, 62.15, 2657431, 0.0
2019-06-12 23:00:00, 62.48, 62.555, 61.86, 62.34, 10298815, 0.0
2019-06-13 23:00:00, 62, 62.22, 61.02, 61.64, 6726468, 0.0
2019-06-16 23:00:00, 62, 62.99, 61.64, 62.56, 3474919, 0.0
2019-06-17 23:00:00, 63.27, 64, 63.12, 63.72, 4240946, 0.0
2019-06-18 23:00:00, 63.67, 64, 61.9, 62.6, 6370172, 0.0
2019-06-19 23:00:00, 63.3, 64.29, 62.82, 64.17, 7476237, 0.0
2019-06-20 23:00:00, 64.12, 64.72, 63.86, 64.46, 6497574, 0.0
2019-06-23 23:00:00, 64.09, 64.48, 63.77, 64.05, 3642104, 0.0
2019-06-24 23:00:00, 64.05, 64.15, 63.05, 63.16, 2918252, 0.0
2019-06-25 23:00:00, 63.6, 64.22, 63.05, 63.06, 1971983, 0.0
2019-06-26 23:00:00, 63.27, 63.46, 62.94, 63.05, 1955912, 0.0
2019-06-27 23:00:00, 63.5556, 63.79, 63.21, 63.38, 3452599, 0.0
2019-06-30 23:00:00, 64.47, 65.2, 63.85, 64.29, 2543599, 0.0
2019-07-01 23:00:00, 64.41, 64.55, 63.6, 64.36, 2565489, 0.0
2019-07-02 23:00:00, 64.42, 64.45, 63.79, 64.18, 2112711, 0.0
2019-07-04 23:00:00, 63.74, 64.87, 63.69, 64.72, 2547865, 0.0
2019-07-07 23:00:00, 64.41, 64.845, 63.9, 64.21, 2612427, 0.0
2019-07-08 23:00:00, 63.84, 64.46, 63.62, 64.38, 2951145, 0.0
2019-07-09 23:00:00, 64.58, 64.96, 63.67, 64.06, 3083215, 0.0
2019-07-10 23:00:00, 64.35, 65.42, 64.09, 65.3, 2242869, 0.0
2019-07-11 23:00:00, 65.57, 65.91, 65.185, 65.85, 2492748, 0.0
2019-07-14 23:00:00, 65.9, 66.09, 65.5, 65.81, 2518951, 0.0
2019-07-15 23:00:00, 65.8, 66.31, 65.35, 65.94, 1892161, 0.0
2019-07-16 23:00:00, 66.21, 66.25, 65.12, 65.26, 2425210, 0.0
2019-07-17 23:00:00, 64.78, 66.02, 64.3094, 65.93, 1967143, 0.0
2019-07-18 23:00:00, 66.06, 66.27, 65.03, 65.14, 2833050, 0.0
2019-07-21 23:00:00, 65.3, 65.91, 65.19, 65.539, 2058544, 0.0
2019-07-22 23:00:00, 65.09, 65.87, 64.89, 65.87, 2928526, 0.0
2019-07-23 23:00:00, 65.54, 65.84, 64.83, 65.79, 2577906, 0.0
2019-07-24 23:00:00, 65.81, 66.01, 65.31, 65.78, 2239531, 0.0
2019-07-25 23:00:00, 65.76, 66.5, 65.75, 66.4, 1311170, 0.0
2019-07-28 23:00:00, 66.36, 66.47, 65.435, 66.03, 1877054, 0.0
2019-07-29 23:00:00, 65.66, 65.66, 65.09, 65.33, 2369886, 0.0
2019-07-30 23:00:00, 65.45, 66.08, 64.24, 65.15, 4222398, 0.0
2019-07-31 23:00:00, 66.96, 67.88, 65.03, 66.43, 5829998, 0.0
2019-08-01 23:00:00, 65.34, 65.48, 62.805, 63.49, 4632754, 0.0
2019-08-04 23:00:00, 62.7, 63.24, 61.8023, 62.03, 3396115, 0.0
2019-08-05 23:00:00, 62.19, 62.75, 61.46, 62.58, 3164089, 0.0
2019-08-06 23:00:00, 61.68, 62.45, 61.145, 62.2, 2663385, 0.0
2019-08-07 23:00:00, 62.73, 63.98, 62.2201, 63.98, 2295263, 0.0
2019-08-08 23:00:00, 63.23, 63.43, 61.9, 62.46, 3012929, 0.0
2019-08-11 23:00:00, 62.28, 62.28, 61.07, 61.17, 2222090, 0.0
2019-08-12 23:00:00, 61.17, 62.01, 60.73, 61.75, 3683810, 0.0
2019-08-13 23:00:00, 60.88, 60.99, 59.94, 60.65, 3201810, 0.0
2019-08-14 23:00:00, 60.75, 61.13, 60.1, 60.56, 2849559, 0.0
2019-08-15 23:00:00, 61.19, 61.46, 60.76, 61.22, 1947821, 0.0
2019-08-18 23:00:00, 61.94, 62.52, 61.565, 61.86, 1942541, 0.0
2019-08-19 23:00:00, 61.77, 62.075, 61.36, 61.58, 1474383, 0.0
2019-08-20 23:00:00, 62.1, 62.21, 61.66, 61.94, 1749831, 0.0
2019-08-21 23:00:00, 62.03, 62.27, 61.095, 61.19, 2920609, 0.0
2019-08-22 23:00:00, 61.05, 61.93, 59.8, 60.02, 2202041, 0.0
2019-08-25 23:00:00, 60.61, 60.65, 59.59, 59.87, 1998458, 0.0
2019-08-26 23:00:00, 60.21, 60.27, 59.44, 59.69, 1949744, 0.0
2019-08-27 23:00:00, 59.8, 60.31, 59.2, 60.24, 2618930, 0.0
2019-08-28 23:00:00, 60.83, 61.46, 60.75, 61.41, 2079329, 0.0
2019-08-29 23:00:00, 61.83, 61.83, 61.09, 61.39, 1753324, 0.0
2019-09-02 23:00:00, 60.95, 61.62, 60.84, 61.51, 2653730, 0.0
2019-09-03 23:00:00, 62.18, 62.55, 62.04, 62.42, 1797282, 0.0
2019-09-04 23:00:00, 63.16, 64.31, 63.16, 64.26, 2680724, 0.0
2019-09-05 23:00:00, 64.27, 65, 64.09, 64.45, 2599146, 0.0
2019-09-08 23:00:00, 64.53, 64.64, 63.86, 64.19, 1727909, 0.0
2019-09-09 23:00:00, 63.94, 64.77, 63.27, 64.77, 1941111, 0.0
2019-09-10 23:00:00, 64.92, 65.44, 64.41, 65.35, 2532924, 0.0
2019-09-11 23:00:00, 65.61, 65.62, 64.36, 64.84, 2183820, 0.0
2019-09-12 23:00:00, 65.02, 65.2, 64.19, 64.31, 2625042, 0.0
2019-09-15 23:00:00, 64, 64.54, 63.87, 64, 1962119, 0.0
2019-09-16 23:00:00, 64.06, 64.06, 63.21, 63.99, 1689001, 0.0
2019-09-17 23:00:00, 63.7, 63.825, 62.7, 63.51, 2121167, 0.0
2019-09-18 23:00:00, 63.32, 64.08, 63.16, 63.46, 2217917, 0.0
2019-09-19 23:00:00, 63.11, 63.33, 61.461, 61.79, 4535488, 0.0
2019-09-22 23:00:00, 61.7, 61.72, 60.795, 60.82, 2894308, 0.0
2019-09-23 23:00:00, 61.03, 61.49, 59.4942, 59.89, 3958668, 0.0
2019-09-24 23:00:00, 59.97, 60.48, 59.42, 60.18, 3151449, 0.0
2019-09-25 23:00:00, 60, 60.19, 59.03, 59.66, 2190859, 0.0
2019-09-26 23:00:00, 60.02, 60.12, 58.655, 58.74, 2277100, 0.0
2019-09-29 23:00:00, 59.05, 60.41, 58.87, 60.27, 3742151, 0.0
2019-09-30 23:00:00, 60.4, 61.79, 60.4, 60.63, 2802810, 0.0
2019-10-01 23:00:00, 60.03, 60.61, 59.495, 59.95, 3294338, 0.0
2019-10-02 23:00:00, 59.99, 60.32, 59.63, 60.17, 2179717, 0.0
2019-10-03 23:00:00, 60.37, 60.85, 60.26, 60.51, 4028991, 0.0
2019-10-06 23:00:00, 60.28, 60.6, 60.08, 60.27, 3165958, 0.0
2019-10-07 23:00:00, 59.71, 59.88, 58.89, 58.91, 6344556, 0.0
2019-10-08 23:00:00, 59.74, 59.75, 59.14, 59.44, 3421652, 0.0
2019-10-09 23:00:00, 59.05, 60.31, 58.965, 59.81, 4235250, 0.0
2019-10-10 23:00:00, 60.45, 61.43, 60.31, 60.6, 4393380, 0.0
2019-10-13 23:00:00, 60.6, 60.66, 60.02, 60.39, 2774254, 0.0
2019-10-14 23:00:00, 60.4, 61.675, 60.37, 61.33, 3922976, 0.0
2019-10-15 23:00:00, 61.4, 61.98, 61.22, 61.4, 4516899, 0.0
2019-10-16 23:00:00, 61.52, 61.77, 60.965, 61.38, 4543525, 0.0
2019-10-17 23:00:00, 61.43, 61.43, 60.6, 60.62, 3959595, 0.0
2019-10-20 23:00:00, 60.31, 60.88, 60.3, 60.78, 2240469, 0.0
