Date, Open, High, Low, Close, Volume, Open Interest
2021-05-20 14:46:00, 114.745, 114.745, 114.74, 114.74, 201, 0.0
2021-05-20 14:47:00, 114.75, 114.83, 114.75, 114.83, 401, 0.0
2021-05-20 14:48:00, 114.825, 114.825, 114.7, 114.74, 505, 0.0
2021-05-20 14:49:00, 114.75, 114.75, 114.7, 114.7, 300, 0.0
2021-05-20 14:50:00, 114.69, 114.69, 114.55, 114.58, 1195, 0.0
2021-05-20 14:51:00, 114.57, 114.58, 114.51, 114.51, 1398, 0.0
2021-05-20 14:52:00, 114.52, 114.65, 114.515, 114.64, 1886, 0.0
2021-05-20 14:53:00, 114.71, 114.715, 114.675, 114.715, 933, 0.0
2021-05-20 14:54:00, 114.705, 114.795, 114.55, 114.77, 3284, 0.0
2021-05-20 14:55:00, 114.78, 114.79, 114.7, 114.735, 1573, 0.0
2021-05-20 14:56:00, 114.735, 114.735, 114.61, 114.64, 1666, 0.0
2021-05-20 14:57:00, 114.64, 114.68, 114.63, 114.63, 2131, 0.0
2021-05-20 14:58:00, 114.59, 114.59, 114.56, 114.57, 1391, 0.0
2021-05-20 14:59:00, 114.59, 114.64, 114.59, 114.6, 2389, 0.0
2021-05-21 08:30:00, 115.22, 115.335, 115.14, 115.24, 902, 0.0
2021-05-21 08:31:00, 115.27, 115.44, 115.27, 115.44, 900, 0.0
2021-05-21 08:32:00, 115.41, 115.41, 115.41, 115.41, 145, 0.0
2021-05-21 08:33:00, 115.19, 115.26, 115.19, 115.26, 710, 0.0
2021-05-21 08:34:00, 115.095, 115.13, 115.01, 115.01, 1086, 0.0
2021-05-21 08:35:00, 115.12, 115.12, 115.12, 115.12, 286, 0.0
2021-05-21 08:36:00, 115.05, 115.05, 115.04, 115.04, 402, 0.0
2021-05-21 08:37:00, 115.21, 115.31, 115.2, 115.21, 635, 0.0
2021-05-21 08:38:00, 115.16, 115.17, 115.16, 115.17, 513, 0.0
2021-05-21 08:39:00, 115.18, 115.18, 115.02, 115.03, 885, 0.0
2021-05-21 08:40:00, 115.095, 115.095, 115.06, 115.06, 1001, 0.0
2021-05-21 08:41:00, 114.975, 115.03, 114.975, 115.03, 202, 0.0
2021-05-21 08:42:00, 115.06, 115.06, 115.06, 115.06, 346, 0.0
2021-05-21 08:43:00, 115.03, 115.03, 115.02, 115.02, 801, 0.0
2021-05-21 08:45:00, 115.13, 115.13, 115.12, 115.12, 433, 0.0
2021-05-21 08:46:00, 115, 115, 115, 115, 101, 0.0
2021-05-21 08:48:00, 115.075, 115.085, 114.98, 114.99, 862, 0.0
2021-05-21 08:50:00, 114.9, 114.9, 114.87, 114.87, 203, 0.0
2021-05-21 08:52:00, 115.07, 115.15, 115.07, 115.15, 320, 0.0
2021-05-21 08:53:00, 115.175, 115.28, 115.175, 115.28, 500, 0.0
2021-05-21 08:54:00, 115.29, 115.38, 115.29, 115.38, 901, 0.0
2021-05-21 08:55:00, 115.29, 115.29, 115.24, 115.24, 325, 0.0
2021-05-21 08:56:00, 115.22, 115.22, 115.22, 115.22, 100, 0.0
2021-05-21 08:58:00, 115.425, 115.51, 115.425, 115.51, 1149, 0.0
2021-05-21 08:59:00, 115.445, 115.445, 115.38, 115.38, 334, 0.0
2021-05-21 09:00:00, 115.46, 115.465, 115.45, 115.45, 700, 0.0
2021-05-21 09:01:00, 115.43, 115.43, 115.43, 115.43, 202, 0.0
2021-05-21 09:02:00, 115.43, 115.43, 115.43, 115.43, 200, 0.0
2021-05-21 09:03:00, 115.445, 115.445, 115.445, 115.445, 162, 0.0
2021-05-21 09:04:00, 115.51, 115.51, 115.51, 115.51, 177, 0.0
2021-05-21 09:05:00, 115.43, 115.43, 115.43, 115.43, 100, 0.0
2021-05-21 09:06:00, 115.43, 115.43, 115.34, 115.34, 480, 0.0
2021-05-21 09:08:00, 115.3, 115.3, 115.3, 115.3, 300, 0.0
2021-05-21 09:09:00, 115.29, 115.29, 115.22, 115.22, 219, 0.0
2021-05-21 09:10:00, 115.335, 115.335, 115.335, 115.335, 101, 0.0
2021-05-21 09:11:00, 115.3, 115.3, 115.3, 115.3, 100, 0.0
2021-05-21 09:12:00, 115.26, 115.26, 115.24, 115.24, 353, 0.0
2021-05-21 09:13:00, 115.18, 115.18, 115.18, 115.18, 101, 0.0
2021-05-21 09:15:00, 115.04, 115.04, 114.98, 114.98, 324, 0.0
2021-05-21 09:16:00, 115.04, 115.065, 115.04, 115.065, 200, 0.0
2021-05-21 09:17:00, 115.055, 115.055, 115.04, 115.04, 459, 0.0
2021-05-21 09:18:00, 114.99, 114.99, 114.94, 114.975, 500, 0.0
2021-05-21 09:19:00, 114.97, 115.015, 114.97, 115.015, 200, 0.0
2021-05-21 09:22:00, 115.015, 115.015, 115.015, 115.015, 101, 0.0
2021-05-21 09:23:00, 115.03, 115.03, 115.03, 115.03, 100, 0.0
2021-05-21 09:24:00, 115.02, 115.02, 114.98, 114.98, 231, 0.0
2021-05-21 09:25:00, 115.01, 115.01, 115.01, 115.01, 200, 0.0
2021-05-21 09:26:00, 114.97, 114.97, 114.85, 114.85, 201, 0.0
2021-05-21 09:27:00, 114.87, 114.905, 114.87, 114.89, 1502, 0.0
2021-05-21 09:29:00, 114.9, 114.9, 114.875, 114.9, 738, 0.0
2021-05-21 09:30:00, 114.905, 114.905, 114.905, 114.905, 700, 0.0
2021-05-21 09:31:00, 114.955, 114.98, 114.955, 114.98, 500, 0.0
2021-05-21 09:32:00, 114.96, 114.96, 114.96, 114.96, 401, 0.0
2021-05-21 09:33:00, 114.96, 114.97, 114.96, 114.97, 505, 0.0
2021-05-21 09:34:00, 114.98, 115.02, 114.98, 115.02, 644, 0.0
2021-05-21 09:35:00, 115, 115.08, 115, 115.045, 800, 0.0
2021-05-21 09:36:00, 115, 115.005, 114.92, 114.96, 909, 0.0
2021-05-21 09:37:00, 114.85, 114.85, 114.85, 114.85, 121, 0.0
2021-05-21 09:38:00, 114.86, 114.86, 114.86, 114.86, 100, 0.0
2021-05-21 09:39:00, 114.84, 114.84, 114.84, 114.84, 194, 0.0
2021-05-21 09:40:00, 114.84, 114.84, 114.82, 114.82, 525, 0.0
2021-05-21 09:42:00, 114.71, 114.71, 114.71, 114.71, 101, 0.0
2021-05-21 09:43:00, 114.735, 114.735, 114.73, 114.73, 203, 0.0
2021-05-21 09:44:00, 114.725, 114.73, 114.725, 114.73, 329, 0.0
2021-05-21 09:45:00, 114.73, 114.73, 114.73, 114.73, 100, 0.0
2021-05-21 09:47:00, 114.71, 114.71, 114.69, 114.69, 304, 0.0
2021-05-21 09:48:00, 114.64, 114.675, 114.64, 114.675, 420, 0.0
2021-05-21 09:49:00, 114.81, 114.81, 114.81, 114.81, 100, 0.0
2021-05-21 09:50:00, 114.88, 114.88, 114.88, 114.88, 104, 0.0
2021-05-21 09:51:00, 114.92, 114.93, 114.9, 114.9, 330, 0.0
2021-05-21 09:52:00, 114.88, 114.88, 114.88, 114.88, 101, 0.0
2021-05-21 09:53:00, 114.89, 114.89, 114.82, 114.83, 401, 0.0
2021-05-21 09:54:00, 114.77, 114.77, 114.77, 114.77, 349, 0.0
2021-05-21 09:56:00, 114.8, 114.8, 114.76, 114.76, 300, 0.0
2021-05-21 09:57:00, 114.82, 114.82, 114.82, 114.82, 131, 0.0
2021-05-21 10:01:00, 114.79, 114.79, 114.76, 114.77, 844, 0.0
2021-05-21 10:03:00, 114.725, 114.725, 114.725, 114.725, 428, 0.0
2021-05-21 10:04:00, 114.69, 114.69, 114.68, 114.68, 201, 0.0
2021-05-21 10:06:00, 114.76, 114.77, 114.76, 114.77, 338, 0.0
2021-05-21 10:07:00, 114.705, 114.705, 114.705, 114.705, 600, 0.0
2021-05-21 10:10:00, 114.755, 114.755, 114.725, 114.725, 839, 0.0
2021-05-21 10:11:00, 114.75, 114.75, 114.75, 114.75, 145, 0.0
2021-05-21 10:13:00, 114.765, 114.765, 114.765, 114.765, 320, 0.0
2021-05-21 10:14:00, 114.77, 114.77, 114.77, 114.77, 100, 0.0
2021-05-21 10:17:00, 114.81, 114.81, 114.81, 114.81, 310, 0.0
2021-05-21 10:18:00, 114.78, 114.83, 114.78, 114.83, 431, 0.0
2021-05-21 10:20:00, 114.72, 114.72, 114.72, 114.72, 315, 0.0
2021-05-21 10:21:00, 114.865, 114.865, 114.82, 114.82, 5332, 0.0
2021-05-21 10:22:00, 114.83, 114.86, 114.83, 114.86, 344, 0.0
2021-05-21 10:23:00, 114.835, 114.835, 114.76, 114.77, 1901, 0.0
2021-05-21 10:24:00, 114.81, 114.82, 114.81, 114.82, 224, 0.0
2021-05-21 10:25:00, 114.83, 114.83, 114.83, 114.83, 300, 0.0
2021-05-21 10:26:00, 114.835, 114.835, 114.835, 114.835, 1008, 0.0
2021-05-21 10:27:00, 114.79, 114.81, 114.62, 114.62, 3536, 0.0
2021-05-21 10:28:00, 114.59, 114.59, 114.555, 114.57, 455, 0.0
2021-05-21 10:29:00, 114.52, 114.52, 114.52, 114.52, 303, 0.0
2021-05-21 10:30:00, 114.37, 114.41, 114.37, 114.41, 500, 0.0
2021-05-21 10:32:00, 114.42, 114.47, 114.42, 114.47, 201, 0.0
2021-05-21 10:33:00, 114.49, 114.49, 114.49, 114.49, 255, 0.0
2021-05-21 10:34:00, 114.545, 114.545, 114.545, 114.545, 301, 0.0
2021-05-21 10:35:00, 114.44, 114.46, 114.44, 114.46, 333, 0.0
2021-05-21 10:36:00, 114.445, 114.445, 114.445, 114.445, 146, 0.0
2021-05-21 10:37:00, 114.4, 114.4, 114.36, 114.36, 402, 0.0
2021-05-21 10:39:00, 114.34, 114.34, 114.34, 114.34, 345, 0.0
2021-05-21 10:42:00, 114.27, 114.27, 114.25, 114.25, 401, 0.0
2021-05-21 10:43:00, 114.24, 114.24, 114.24, 114.24, 190, 0.0
2021-05-21 10:45:00, 114.26, 114.26, 114.22, 114.22, 553, 0.0
2021-05-21 10:47:00, 114.26, 114.26, 114.26, 114.26, 102, 0.0
2021-05-21 10:50:00, 114.28, 114.28, 114.28, 114.28, 105, 0.0
2021-05-21 10:51:00, 114.32, 114.32, 114.32, 114.32, 1033, 0.0
2021-05-21 10:52:00, 114.3, 114.3, 114.3, 114.3, 423, 0.0
2021-05-21 10:54:00, 114.205, 114.205, 114.19, 114.19, 563, 0.0
2021-05-21 10:55:00, 114.19, 114.19, 114.19, 114.19, 214, 0.0
2021-05-21 10:56:00, 114.21, 114.21, 114.17, 114.17, 200, 0.0
2021-05-21 10:57:00, 114.175, 114.175, 114.175, 114.175, 300, 0.0
2021-05-21 10:59:00, 114.15, 114.16, 114.15, 114.16, 209, 0.0
2021-05-21 11:00:00, 114.14, 114.14, 114.14, 114.14, 101, 0.0
2021-05-21 11:01:00, 114.14, 114.17, 114.14, 114.16, 1816, 0.0
2021-05-21 11:02:00, 114.17, 114.23, 114.165, 114.165, 801, 0.0
2021-05-21 11:03:00, 114.22, 114.23, 114.22, 114.23, 438, 0.0
2021-05-21 11:04:00, 114.22, 114.235, 114.22, 114.22, 1864, 0.0
2021-05-21 11:06:00, 114.22, 114.22, 114.22, 114.22, 100, 0.0
2021-05-21 11:09:00, 113.98, 113.98, 113.955, 113.955, 424, 0.0
2021-05-21 11:10:00, 114, 114.07, 114, 114.06, 696, 0.0
2021-05-21 11:11:00, 114.01, 114.01, 113.95, 113.95, 1527, 0.0
2021-05-21 11:12:00, 114.01, 114.01, 114.01, 114.01, 1102, 0.0
2021-05-21 11:13:00, 114.03, 114.03, 114.03, 114.03, 200, 0.0
2021-05-21 11:14:00, 114, 114.02, 114, 114.02, 313, 0.0
2021-05-21 11:15:00, 114.04, 114.04, 114.04, 114.04, 447, 0.0
2021-05-21 11:16:00, 114.12, 114.155, 114.12, 114.155, 485, 0.0
2021-05-21 11:18:00, 114.14, 114.14, 114.14, 114.14, 100, 0.0
2021-05-21 11:19:00, 114.125, 114.125, 114.125, 114.125, 349, 0.0
2021-05-21 11:20:00, 114.15, 114.15, 114.14, 114.14, 500, 0.0
2021-05-21 11:21:00, 114.24, 114.255, 114.225, 114.25, 2437, 0.0
2021-05-21 11:25:00, 114.205, 114.205, 114.205, 114.205, 102, 0.0
2021-05-21 11:27:00, 114.22, 114.22, 114.22, 114.22, 220, 0.0
2021-05-21 11:32:00, 114.27, 114.27, 114.27, 114.27, 436, 0.0
2021-05-21 11:33:00, 114.265, 114.27, 114.265, 114.27, 256, 0.0
2021-05-21 11:35:00, 114.21, 114.21, 114.21, 114.21, 102, 0.0
2021-05-21 11:38:00, 114.205, 114.21, 114.19, 114.19, 800, 0.0
2021-05-21 11:40:00, 114.26, 114.26, 114.24, 114.24, 427, 0.0
2021-05-21 11:41:00, 114.22, 114.22, 114.22, 114.22, 200, 0.0
2021-05-21 11:43:00, 114.13, 114.13, 114.13, 114.13, 218, 0.0
2021-05-21 11:46:00, 114.14, 114.14, 114.14, 114.14, 260, 0.0
2021-05-21 11:47:00, 114.16, 114.16, 114.11, 114.11, 605, 0.0
2021-05-21 11:53:00, 114, 114, 113.99, 113.99, 350, 0.0
2021-05-21 11:54:00, 114.03, 114.04, 114.025, 114.025, 327, 0.0
2021-05-21 11:55:00, 114.02, 114.02, 114.02, 114.02, 104, 0.0
2021-05-21 11:56:00, 113.97, 113.97, 113.97, 113.97, 101, 0.0
2021-05-21 11:57:00, 114, 114.05, 114, 114.05, 619, 0.0
2021-05-21 12:04:00, 114.11, 114.14, 114.11, 114.14, 606, 0.0
2021-05-21 12:05:00, 114.15, 114.15, 114.15, 114.15, 101, 0.0
2021-05-21 12:06:00, 114.18, 114.18, 114.18, 114.18, 102, 0.0
2021-05-21 12:10:00, 114.16, 114.18, 114.16, 114.18, 206, 0.0
2021-05-21 12:11:00, 114.21, 114.21, 114.2, 114.2, 322, 0.0
2021-05-21 12:12:00, 114.2, 114.2, 114.15, 114.15, 201, 0.0
2021-05-21 12:13:00, 114.215, 114.215, 114.215, 114.215, 150, 0.0
2021-05-21 12:14:00, 114.24, 114.24, 114.2, 114.2, 529, 0.0
2021-05-21 12:16:00, 114.25, 114.25, 114.25, 114.25, 324, 0.0
2021-05-21 12:17:00, 114.21, 114.21, 114.21, 114.21, 200, 0.0
2021-05-21 12:18:00, 114.23, 114.23, 114.23, 114.23, 306, 0.0
2021-05-21 12:19:00, 114.23, 114.23, 114.23, 114.23, 153, 0.0
2021-05-21 12:20:00, 114.24, 114.24, 114.24, 114.24, 100, 0.0
2021-05-21 12:22:00, 114.26, 114.26, 114.26, 114.26, 149, 0.0
2021-05-21 12:24:00, 114.31, 114.31, 114.31, 114.31, 100, 0.0
2021-05-21 12:30:00, 114.34, 114.36, 114.34, 114.36, 329, 0.0
2021-05-21 12:32:00, 114.4, 114.4, 114.4, 114.4, 231, 0.0
2021-05-21 12:34:00, 114.39, 114.39, 114.39, 114.39, 118, 0.0
2021-05-21 12:39:00, 114.37, 114.37, 114.37, 114.37, 300, 0.0
2021-05-21 12:40:00, 114.38, 114.38, 114.38, 114.38, 123, 0.0
2021-05-21 12:41:00, 114.38, 114.38, 114.38, 114.38, 250, 0.0
2021-05-21 12:42:00, 114.38, 114.38, 114.38, 114.38, 108, 0.0
2021-05-21 12:44:00, 114.37, 114.38, 114.37, 114.38, 233, 0.0
2021-05-21 12:45:00, 114.38, 114.38, 114.35, 114.35, 515, 0.0
2021-05-21 12:47:00, 114.37, 114.37, 114.37, 114.37, 115, 0.0
2021-05-21 12:48:00, 114.33, 114.33, 114.33, 114.33, 305, 0.0
2021-05-21 12:56:00, 114.33, 114.33, 114.33, 114.33, 100, 0.0
2021-05-21 12:58:00, 114.29, 114.29, 114.29, 114.29, 209, 0.0
2021-05-21 13:00:00, 114.305, 114.305, 114.305, 114.305, 100, 0.0
2021-05-21 13:04:00, 114.21, 114.21, 114.16, 114.16, 413, 0.0
2021-05-21 13:06:00, 114.21, 114.21, 114.21, 114.21, 213, 0.0
2021-05-21 13:09:00, 114.25, 114.25, 114.25, 114.25, 100, 0.0
2021-05-21 13:10:00, 114.26, 114.26, 114.225, 114.225, 400, 0.0
2021-05-21 13:11:00, 114.24, 114.24, 114.24, 114.24, 116, 0.0
2021-05-21 13:13:00, 114.31, 114.31, 114.31, 114.31, 100, 0.0
2021-05-21 13:14:00, 114.28, 114.28, 114.28, 114.28, 302, 0.0
2021-05-21 13:16:00, 114.22, 114.22, 114.22, 114.22, 106, 0.0
2021-05-21 13:17:00, 114.23, 114.25, 114.23, 114.25, 413, 0.0
2021-05-21 13:18:00, 114.22, 114.22, 114.22, 114.22, 197, 0.0
2021-05-21 13:19:00, 114.28, 114.28, 114.28, 114.28, 157, 0.0
2021-05-21 13:20:00, 114.26, 114.26, 114.26, 114.26, 315, 0.0
2021-05-21 13:23:00, 114.28, 114.28, 114.25, 114.25, 505, 0.0
2021-05-21 13:25:00, 114.22, 114.22, 114.22, 114.22, 302, 0.0
2021-05-21 13:27:00, 114.22, 114.22, 114.22, 114.22, 200, 0.0
2021-05-21 13:28:00, 114.16, 114.21, 114.16, 114.21, 205, 0.0
2021-05-21 13:30:00, 114.21, 114.21, 114.21, 114.21, 101, 0.0
2021-05-21 13:32:00, 114.25, 114.25, 114.25, 114.25, 210, 0.0
2021-05-21 13:34:00, 114.235, 114.235, 114.23, 114.23, 295, 0.0
2021-05-21 13:38:00, 114.24, 114.24, 114.165, 114.165, 878, 0.0
2021-05-21 13:44:00, 114.18, 114.18, 114.18, 114.18, 363, 0.0
2021-05-21 13:45:00, 114.2, 114.2, 114.2, 114.2, 401, 0.0
2021-05-21 13:46:00, 114.26, 114.26, 114.23, 114.23, 307, 0.0
2021-05-21 13:49:00, 114.27, 114.27, 114.27, 114.27, 301, 0.0
2021-05-21 13:50:00, 114.29, 114.29, 114.29, 114.29, 318, 0.0
2021-05-21 13:54:00, 114.28, 114.28, 114.28, 114.28, 106, 0.0
2021-05-21 13:55:00, 114.3, 114.3, 114.3, 114.3, 146, 0.0
2021-05-21 13:57:00, 114.3, 114.3, 114.3, 114.3, 201, 0.0
2021-05-21 14:02:00, 114.27, 114.27, 114.27, 114.27, 103, 0.0
2021-05-21 14:05:00, 114.27, 114.27, 114.27, 114.27, 312, 0.0
2021-05-21 14:06:00, 114.24, 114.27, 114.24, 114.27, 2848, 0.0
2021-05-21 14:07:00, 114.29, 114.33, 114.29, 114.33, 408, 0.0
2021-05-21 14:09:00, 114.3, 114.3, 114.3, 114.3, 116, 0.0
2021-05-21 14:10:00, 114.34, 114.34, 114.34, 114.34, 300, 0.0
