Date, Open, High, Low, Close, Volume, Open Interest
2021-05-12 23:00:00, 36.48, 37.51, 36.39, 37.06, 892430, 0.0
2021-05-13 23:00:00, 36.96, 37.105, 36.2071, 36.25, 1141170, 0.0
2021-05-16 23:00:00, 36.9, 37.1, 35.82, 35.86, 1137028, 0.0
2021-05-17 23:00:00, 35.98, 36.8, 35.98, 36.3, 818537, 0.0
2021-05-18 23:00:00, 35.99, 36.43, 35.77, 36.2, 911205, 0.0
2021-05-19 23:00:00, 36.06, 36.58, 36.04, 36.14, 707133, 0.0
2021-05-20 23:00:00, 36.27, 36.65, 36.07, 36.37, 626443, 0.0
2021-05-23 23:00:00, 36.37, 36.78, 36.01, 36.31, 615784, 0.0
2021-05-24 23:00:00, 36.48, 36.74, 35.78, 35.9, 850977, 0.0
2021-05-25 23:00:00, 36.01, 36.77, 35.74, 36.26, 448878, 0.0
