Date, Open, High, Low, Close, Volume, Open Interest
2021-05-12 23:00:00, 37.96, 39.16, 37.85, 38.74, 1898997, 0.0
2021-05-13 23:00:00, 38.49, 38.66, 37.14, 37.25, 4235900, 0.0
2021-05-16 23:00:00, 37.67, 38.22, 36.72, 36.76, 3627976, 0.0
2021-05-17 23:00:00, 37.04, 37.72, 36.9, 37.35, 3195240, 0.0
2021-05-18 23:00:00, 36.84, 37.61, 36.8, 37.35, 2801117, 0.0
2021-05-19 23:00:00, 37.27, 37.77, 37.17, 37.25, 2102628, 0.0
2021-05-20 23:00:00, 37.31, 37.852, 37.16, 37.58, 2647959, 0.0
2021-05-23 23:00:00, 37.6, 37.9001, 37.33, 37.44, 1504253, 0.0
2021-05-24 23:00:00, 37.54, 37.93, 36.95, 37.15, 2189449, 0.0
2021-05-25 23:00:00, 37.24, 38.06, 37.07, 37.63, 672719, 0.0
