Date, Open, High, Low, Close, Volume, Open Interest
2021-04-27 23:00:00, 555, 560, 551.975, 558.47, 155751, 0.0
2021-04-28 23:00:00, 560.43, 561.22, 548, 552.51, 223206, 0.0
2021-04-29 23:00:00, 549, 552.5, 544.75, 548.87, 236940, 0.0
2021-05-02 23:00:00, 550.17, 558.54, 546.7901, 549.645, 355314, 0.0
2021-05-03 23:00:00, 557.68, 559.42, 517.5, 527.43, 509177, 0.0
2021-05-04 23:00:00, 532.6, 538.955, 527.99, 530.03, 310236, 0.0
2021-05-05 23:00:00, 524.31, 535.08, 522.89, 533.52, 335900, 0.0
2021-05-06 23:00:00, 539.16, 553.75, 538.11, 544.25, 280883, 0.0
2021-05-09 23:00:00, 541.01, 542.25, 525.25, 525.25, 311226, 0.0
2021-05-10 23:00:00, 524.48, 534.37, 517.78, 528.13, 365928, 0.0
2021-05-11 23:00:00, 520, 520.72, 507.6601, 512.36, 360505, 0.0
2021-05-12 23:00:00, 515.43, 522.19, 513.305, 517.55, 208277, 0.0
2021-05-13 23:00:00, 518.12, 532.4, 517.03, 530.31, 193415, 0.0
2021-05-16 23:00:00, 529.39, 527.92, 520.8, 523.51, 181879, 0.0
2021-05-17 23:00:00, 525.2, 531.34, 519.475, 524.76, 206485, 0.0
2021-05-18 23:00:00, 517.75, 528.86, 514.35, 527.91, 205751, 0.0
2021-05-19 23:00:00, 528.46, 541.61, 528.11, 539.68, 184074, 0.0
2021-05-20 23:00:00, 542.42, 547.46, 538.31, 539.48, 170063, 0.0
2021-05-23 23:00:00, 545, 551.26, 544.255, 550.17, 233534, 0.0
2021-05-24 23:00:00, 549.45, 556.01, 548.28, 555.42, 216465, 0.0
2021-05-25 23:00:00, 553.43, 561.325, 552.51, 555.33, 97410, 0.0
