Date, Open, High, Low, Close, Volume, Open Interest
2020-11-23 23:00:00, 304.81, 309.77, 303.26, 305.48, 804013, 0.0
2020-11-24 23:00:00, 309.24, 309.4, 301.725, 304.11, 465135, 0.0
2020-11-26 23:00:00, 305, 319.33, 304.01, 317.02, 853855, 0.0
2020-11-29 23:00:00, 317.32, 322.55, 311.02, 322.55, 1110999, 0.0
2020-11-30 23:00:00, 323.86, 336.54, 322.595, 334.47, 1831643, 0.0
2020-12-01 23:00:00, 334.35, 341.62, 332.3, 340.97, 1286242, 0.0
2020-12-02 23:00:00, 341.01, 346.6, 337.015, 346.21, 1558703, 0.0
2020-12-03 23:00:00, 345.07, 350.99, 343.4, 350.96, 1070560, 0.0
2020-12-06 23:00:00, 348.03, 350.9, 341.55, 342.65, 707806, 0.0
2020-12-07 23:00:00, 341.19, 343.4, 335.68, 343.05, 854447, 0.0
2020-12-08 23:00:00, 343.26, 346.56, 336, 337.74, 1227797, 0.0
2020-12-09 23:00:00, 338.15, 348.93, 336.555, 343.72, 576911, 0.0
2020-12-10 23:00:00, 341.88, 345.2784, 338.97, 342.33, 631139, 0.0
2020-12-13 23:00:00, 345, 351.32, 344.1996, 347.56, 832595, 0.0
2020-12-14 23:00:00, 348.84, 353.15, 346.78, 352.8, 788607, 0.0
2020-12-15 23:00:00, 353.49, 354.59, 350.04, 353.52, 541365, 0.0
2020-12-16 23:00:00, 358.44, 361.91, 356.27, 361.51, 991458, 0.0
2020-12-17 23:00:00, 365.28, 366.69, 359.95, 366.53, 957255, 0.0
2020-12-20 23:00:00, 360.7, 364.345, 356.9, 362.62, 764473, 0.0
2020-12-21 23:00:00, 368.085, 378.33, 365.79, 370.885, 1048621, 0.0
2020-12-22 23:00:00, 370.01, 374.18, 366.06, 366.06, 608421, 0.0
2020-12-23 23:00:00, 363.45, 369.062, 362.01, 367.16, 238043, 0.0
2020-12-27 23:00:00, 372.73, 373.2, 365.84, 366.81, 445220, 0.0
2020-12-28 23:00:00, 371.08, 372.81, 363.11, 366.11, 388624, 0.0
2020-12-29 23:00:00, 368.22, 370.335, 360.76, 364.3, 516106, 0.0
2020-12-30 23:00:00, 366.36, 370.43, 360.895, 369.97, 353329, 0.0
2021-01-03 23:00:00, 370.84, 374.5, 361.39, 367.82, 808529, 0.0
2021-01-04 23:00:00, 365.27, 374.92, 363.77, 374.9, 653993, 0.0
2021-01-05 23:00:00, 367.43, 380.565, 365, 376.2, 876572, 0.0
2021-01-06 23:00:00, 376.68, 384.27, 376.65, 382.09, 639061, 0.0
2021-01-07 23:00:00, 384.57, 387.15, 375, 379.76, 916699, 0.0
2021-01-10 23:00:00, 379.65, 382.5, 356, 372.49, 1808921, 0.0
2021-01-11 23:00:00, 370.85, 372.75, 359.02, 361.57, 1163319, 0.0
2021-01-12 23:00:00, 361.87, 363.3, 359.3187, 362.24, 1310294, 0.0
2021-01-13 23:00:00, 364.02, 372.3, 362.025, 371.02, 745812, 0.0
2021-01-14 23:00:00, 371.24, 396, 370.03, 376.46, 1724029, 0.0
2021-01-18 23:00:00, 382.48, 390.83, 379.97, 390.43, 915133, 0.0
2021-01-19 23:00:00, 389.95, 404.07, 389.95, 403.61, 1227330, 0.0
2021-01-20 23:00:00, 403, 407.125, 395, 405.24, 886805, 0.0
