Date, Open, High, Low, Close, Volume, Open Interest
2021-05-12 23:00:00, 82.48, 83.59, 81.86, 83.21, 726031, 0.0
2021-05-13 23:00:00, 83.75, 83.75, 82.55, 82.6, 665167, 0.0
2021-05-16 23:00:00, 82.47, 83.87, 81.91, 82.26, 970607, 0.0
2021-05-17 23:00:00, 82.15, 82.97, 81.31, 81.81, 830520, 0.0
2021-05-18 23:00:00, 80.82, 81.78, 79.71, 81.69, 866311, 0.0
2021-05-19 23:00:00, 81.81, 84.51, 81.48, 83.51, 649859, 0.0
2021-05-20 23:00:00, 83.96, 84.49, 82.63, 82.76, 523485, 0.0
2021-05-23 23:00:00, 83.7, 83.99, 82.79, 82.91, 514482, 0.0
2021-05-24 23:00:00, 83.01, 83.77, 82.13, 82.71, 715090, 0.0
2021-05-25 23:00:00, 82.86, 83.59, 82.45, 82.97, 234277, 0.0
