Date, Open, High, Low, Close, Volume, Open Interest
2021-05-12 12:00:00, 71.47, 71.67, 71.41, 71.56, 11529, 0.0
2021-05-12 12:15:00, 71.53, 71.53, 71.27, 71.3, 4932, 0.0
2021-05-12 12:30:00, 71.3, 71.375, 71.175, 71.28, 8882, 0.0
2021-05-12 12:45:00, 71.22, 71.32, 71.13, 71.19, 10221, 0.0
2021-05-12 13:00:00, 71.22, 71.3, 70.94, 70.95, 12444, 0.0
2021-05-12 13:15:00, 70.94, 71.1, 70.87, 71.07, 15672, 0.0
2021-05-12 13:30:00, 71.12, 71.3, 71.04, 71.19, 17739, 0.0
2021-05-12 13:45:00, 71.16, 71.28, 71.1, 71.115, 8698, 0.0
2021-05-12 14:00:00, 71.005, 71.12, 70.94, 71.01, 9234, 0.0
2021-05-12 14:15:00, 70.96, 71.22, 70.96, 71.19, 15293, 0.0
2021-05-12 14:30:00, 71.19, 71.385, 71.18, 71.34, 16333, 0.0
2021-05-12 14:45:00, 71.345, 71.46, 71.13, 71.26, 32014, 0.0
2021-05-13 08:30:00, 71.08, 71.15, 70.07, 70.35, 56051, 0.0
2021-05-13 08:45:00, 70.44, 70.92, 70, 70.82, 73497, 0.0
2021-05-13 09:00:00, 70.91, 71.17, 70.82, 71.08, 31800, 0.0
2021-05-13 09:15:00, 71.09, 71.09, 70.45, 70.67, 33374, 0.0
2021-05-13 09:30:00, 70.72, 70.72, 70.26, 70.305, 63367, 0.0
2021-05-13 09:45:00, 70.19, 70.51, 70.19, 70.37, 8098, 0.0
2021-05-13 10:00:00, 70.38, 70.38, 69.96, 69.97, 94472, 0.0
2021-05-13 10:15:00, 69.965, 70.015, 69.62, 69.7, 44992, 0.0
2021-05-13 10:30:00, 69.73, 69.98, 69.58, 69.65, 115801, 0.0
2021-05-13 10:45:00, 69.62, 69.83, 69.24, 69.27, 50605, 0.0
2021-05-13 11:00:00, 69.345, 69.82, 69.33, 69.81, 38492, 0.0
2021-05-13 11:15:00, 69.82, 69.83, 69.53, 69.68, 17276, 0.0
2021-05-13 11:30:00, 69.72, 69.83, 69.42, 69.46, 15877, 0.0
2021-05-13 11:45:00, 69.44, 69.54, 68.97, 69.09, 31125, 0.0
2021-05-13 12:00:00, 69.07, 69.405, 69.05, 69.255, 15585, 0.0
2021-05-13 12:15:00, 69.32, 69.37, 69.005, 69.085, 23861, 0.0
2021-05-13 12:30:00, 69.04, 69.065, 68.23, 68.33, 87985, 0.0
2021-05-13 12:45:00, 68.32, 68.33, 67.365, 67.38, 110163, 0.0
2021-05-13 13:00:00, 67.385, 68, 67.385, 67.69, 93233, 0.0
2021-05-13 13:15:00, 67.665, 67.99, 67.615, 67.98, 45288, 0.0
2021-05-13 13:30:00, 67.98, 68.005, 67.75, 67.995, 48151, 0.0
2021-05-13 13:45:00, 67.99, 68.06, 67.87, 67.965, 65891, 0.0
2021-05-13 14:00:00, 67.99, 68.19, 67.37, 67.77, 80133, 0.0
2021-05-13 14:15:00, 67.79, 67.79, 67.22, 67.375, 78892, 0.0
2021-05-13 14:30:00, 67.34, 67.41, 67.265, 67.395, 81059, 0.0
2021-05-13 14:45:00, 67.395, 67.4, 67, 67, 165688, 0.0
2021-05-14 08:30:00, 68.34, 68.4, 66.73, 66.86, 87078, 0.0
2021-05-14 08:45:00, 67, 67.66, 66.61, 67.52, 22122, 0.0
2021-05-14 09:00:00, 67.88, 68.025, 67.29, 67.46, 32610, 0.0
2021-05-14 09:15:00, 67.48, 68.06, 67.41, 67.96, 48588, 0.0
2021-05-14 09:30:00, 67.92, 68.05, 67.85, 67.91, 52070, 0.0
2021-05-14 09:45:00, 67.95, 68.22, 67.67, 67.7, 102840, 0.0
2021-05-14 10:00:00, 67.75, 68.07, 67.66, 68.015, 33922, 0.0
2021-05-14 10:15:00, 68.01, 68.46, 67.96, 68.38, 25864, 0.0
2021-05-14 10:30:00, 68.33, 68.4, 68.08, 68.22, 46419, 0.0
2021-05-14 10:45:00, 68.24, 68.38, 68.16, 68.37, 19759, 0.0
2021-05-14 11:00:00, 68.43, 68.605, 68.4, 68.53, 14152, 0.0
2021-05-14 11:15:00, 68.49, 68.53, 68.395, 68.53, 16217, 0.0
2021-05-14 11:30:00, 68.53, 68.53, 68.24, 68.29, 23058, 0.0
2021-05-14 11:45:00, 68.305, 68.47, 68.23, 68.42, 19894, 0.0
2021-05-14 12:00:00, 68.42, 68.495, 68.25, 68.33, 16739, 0.0
2021-05-14 12:15:00, 68.32, 68.415, 68.05, 68.05, 8816, 0.0
2021-05-14 12:30:00, 68.045, 68.045, 67.96, 67.99, 23129, 0.0
2021-05-14 12:45:00, 67.995, 68.17, 67.99, 68.04, 22081, 0.0
2021-05-14 13:00:00, 68.03, 68.3, 68, 68.26, 9061, 0.0
2021-05-14 13:15:00, 68.26, 68.4, 68.2, 68.33, 10367, 0.0
2021-05-14 13:30:00, 68.34, 68.59, 68.33, 68.53, 5913, 0.0
2021-05-14 13:45:00, 68.555, 68.835, 68.555, 68.72, 17845, 0.0
2021-05-14 14:00:00, 68.68, 68.75, 68.57, 68.725, 14637, 0.0
2021-05-14 14:15:00, 68.745, 68.745, 68.395, 68.415, 15739, 0.0
2021-05-14 14:30:00, 68.42, 68.42, 68.115, 68.13, 20688, 0.0
2021-05-14 14:45:00, 68.12, 68.38, 68.07, 68.19, 49155, 0.0
2021-05-17 08:30:00, 68.06, 68.55, 67.48, 68.46, 30672, 0.0
2021-05-17 08:45:00, 68.6, 68.75, 67.75, 67.965, 23052, 0.0
2021-05-17 09:00:00, 67.95, 68.02, 67.445, 67.93, 10870, 0.0
2021-05-17 09:15:00, 67.78, 68.14, 67.69, 67.94, 13566, 0.0
2021-05-17 09:30:00, 67.89, 68.3, 67.88, 68.01, 21857, 0.0
2021-05-17 09:45:00, 68.03, 68.15, 67.92, 68.06, 10228, 0.0
2021-05-17 10:00:00, 68.045, 68.045, 67.69, 67.82, 19133, 0.0
2021-05-17 10:15:00, 67.82, 67.885, 67.69, 67.83, 13351, 0.0
2021-05-17 10:30:00, 67.88, 67.885, 67.65, 67.82, 26990, 0.0
2021-05-17 10:45:00, 67.82, 67.915, 67.64, 67.84, 20679, 0.0
2021-05-17 11:00:00, 67.78, 67.825, 67.56, 67.56, 16069, 0.0
2021-05-17 11:15:00, 67.54, 67.75, 67.54, 67.69, 11947, 0.0
2021-05-17 11:30:00, 67.69, 68.05, 67.69, 68.01, 2518, 0.0
2021-05-17 11:45:00, 68.01, 68.07, 67.93, 67.98, 3539, 0.0
2021-05-17 12:00:00, 67.97, 68.01, 67.76, 67.76, 8182, 0.0
2021-05-17 12:15:00, 67.73, 67.845, 67.73, 67.81, 5852, 0.0
2021-05-17 12:30:00, 67.78, 67.96, 67.69, 67.72, 5978, 0.0
2021-05-17 12:45:00, 67.725, 67.88, 67.725, 67.79, 7750, 0.0
2021-05-17 13:00:00, 67.73, 67.98, 67.73, 67.98, 5080, 0.0
2021-05-17 13:15:00, 67.87, 67.96, 67.855, 67.855, 6004, 0.0
2021-05-17 13:30:00, 67.87, 67.97, 67.81, 67.84, 10429, 0.0
2021-05-17 13:45:00, 67.82, 68.075, 67.82, 67.99, 12071, 0.0
2021-05-17 14:00:00, 68, 68.045, 67.94, 68, 4290, 0.0
2021-05-17 14:15:00, 68.03, 68.04, 67.925, 67.93, 3105, 0.0
2021-05-17 14:30:00, 67.94, 68.155, 67.935, 68.14, 6658, 0.0
2021-05-17 14:45:00, 68.12, 68.23, 68.1, 68.21, 21121, 0.0
2021-05-18 07:30:00, 69.65, 69.65, 69.65, 69.65, 300, 0.0
2021-05-18 08:00:00, 69.65, 69.65, 69.65, 69.65, 200, 0.0
2021-05-18 08:15:00, 69.65, 69.65, 69.65, 69.65, 100, 0.0
2021-05-18 08:30:00, 70, 70.05, 69.055, 69.62, 76640, 0.0
2021-05-18 08:45:00, 69.51, 70.125, 69.51, 69.85, 19204, 0.0
2021-05-18 09:00:00, 69.8, 70.275, 69.7, 70.265, 18614, 0.0
2021-05-18 09:15:00, 70.35, 70.7, 70.25, 70.7, 12164, 0.0
2021-05-18 09:30:00, 70.695, 70.765, 70.24, 70.31, 19596, 0.0
2021-05-18 09:45:00, 70.29, 70.455, 70.21, 70.35, 8280, 0.0
2021-05-18 10:00:00, 70.3, 70.3, 70.09, 70.14, 14505, 0.0
2021-05-18 10:15:00, 70.13, 70.31, 70, 70.06, 15251, 0.0
2021-05-18 10:30:00, 70.05, 70.05, 69.74, 69.8, 8843, 0.0
2021-05-18 10:45:00, 69.8, 69.91, 69.72, 69.83, 10485, 0.0
2021-05-18 11:00:00, 69.84, 69.965, 69.79, 69.95, 7685, 0.0
2021-05-18 11:15:00, 69.965, 70.25, 69.93, 70.25, 17787, 0.0
2021-05-18 11:30:00, 70.25, 70.38, 70.2, 70.235, 5488, 0.0
2021-05-18 11:45:00, 70.32, 70.4, 70.275, 70.32, 9127, 0.0
2021-05-18 12:00:00, 70.32, 70.4, 70.19, 70.38, 7989, 0.0
2021-05-18 12:15:00, 70.37, 70.44, 70.25, 70.39, 9268, 0.0
2021-05-18 12:30:00, 70.445, 70.48, 70.35, 70.37, 6882, 0.0
2021-05-18 12:45:00, 70.36, 70.39, 70.28, 70.315, 9625, 0.0
2021-05-18 13:00:00, 70.34, 70.4, 70.24, 70.4, 11103, 0.0
2021-05-18 13:15:00, 70.41, 70.53, 70.395, 70.44, 13841, 0.0
2021-05-18 13:30:00, 70.445, 70.49, 70.135, 70.18, 17175, 0.0
2021-05-18 13:45:00, 70.18, 70.325, 70.095, 70.315, 17084, 0.0
2021-05-18 14:00:00, 70.32, 70.395, 70.26, 70.3, 9921, 0.0
2021-05-18 14:15:00, 70.3, 70.59, 70.275, 70.545, 24008, 0.0
2021-05-18 14:30:00, 70.545, 70.64, 70.21, 70.27, 19706, 0.0
2021-05-18 14:45:00, 70.25, 70.25, 69.74, 69.78, 41555, 0.0
2021-05-19 07:00:00, 67.91, 67.91, 67.91, 67.91, 358, 0.0
2021-05-19 07:15:00, 67.91, 67.91, 67.91, 67.91, 200, 0.0
2021-05-19 08:30:00, 67.43, 69.095, 66.56, 69.01, 61573, 0.0
2021-05-19 08:45:00, 69.1, 70.33, 69.1, 70.06, 50820, 0.0
2021-05-19 09:00:00, 70.045, 70.3, 69.33, 69.75, 30354, 0.0
2021-05-19 09:15:00, 69.62, 70.56, 69.51, 70.37, 28654, 0.0
2021-05-19 09:30:00, 70.43, 70.625, 69.79, 70.6, 41238, 0.0
2021-05-19 09:45:00, 70.56, 70.91, 70.55, 70.55, 16571, 0.0
2021-05-19 10:00:00, 70.56, 70.75, 70.3, 70.67, 19244, 0.0
