Date, Open, High, Low, Close, Volume, Open Interest
2021-05-25 10:45:00, 36.67, 36.695, 36.655, 36.655, 2735, 0.0
2021-05-25 11:00:00, 36.67, 36.695, 36.665, 36.685, 2406, 0.0
2021-05-25 11:15:00, 36.69, 36.725, 36.685, 36.7, 3040, 0.0
2021-05-25 11:30:00, 36.705, 36.735, 36.705, 36.735, 2915, 0.0
2021-05-25 11:45:00, 36.74, 36.745, 36.71, 36.735, 4555, 0.0
2021-05-25 12:00:00, 36.72, 36.73, 36.675, 36.73, 4210, 0.0
2021-05-25 12:15:00, 36.725, 36.75, 36.71, 36.715, 2735, 0.0
2021-05-25 12:30:00, 36.715, 36.735, 36.67, 36.675, 2394, 0.0
2021-05-25 12:45:00, 36.665, 36.665, 36.62, 36.62, 5088, 0.0
2021-05-25 13:00:00, 36.62, 36.67, 36.62, 36.65, 2035, 0.0
2021-05-25 13:15:00, 36.655, 36.675, 36.645, 36.645, 1567, 0.0
2021-05-25 13:30:00, 36.665, 36.695, 36.66, 36.69, 3562, 0.0
2021-05-25 13:45:00, 36.675, 36.715, 36.675, 36.7, 6672, 0.0
2021-05-25 14:00:00, 36.685, 36.685, 36.66, 36.685, 4161, 0.0
2021-05-25 14:15:00, 36.685, 36.7, 36.675, 36.685, 14105, 0.0
2021-05-25 14:30:00, 36.675, 36.685, 36.57, 36.58, 16251, 0.0
2021-05-25 14:45:00, 36.58, 36.6, 36.51, 36.515, 34781, 0.0
2021-05-26 08:30:00, 36.575, 36.705, 36.56, 36.63, 4468, 0.0
2021-05-26 08:45:00, 36.585, 36.73, 36.585, 36.73, 1742, 0.0
2021-05-26 09:00:00, 36.755, 36.755, 36.61, 36.65, 4527, 0.0
2021-05-26 09:15:00, 36.675, 36.68, 36.655, 36.655, 1914, 0.0
2021-05-26 09:30:00, 36.65, 36.685, 36.565, 36.595, 3625, 0.0
2021-05-26 09:45:00, 36.585, 36.62, 36.585, 36.605, 4280, 0.0
2021-05-26 10:00:00, 36.6, 36.635, 36.6, 36.615, 6202, 0.0
2021-05-26 10:15:00, 36.625, 36.63, 36.585, 36.615, 8149, 0.0
2021-05-26 10:30:00, 36.61, 36.61, 36.51, 36.51, 2488, 0.0
