Date, Open, High, Low, Close, Volume, Open Interest
2020-11-23 23:00:00, 32.92, 33.86, 32.72, 33.84, 7516203, 0.0
2020-11-24 23:00:00, 33.21, 33.25, 32.5, 32.55, 5296177, 0.0
2020-11-26 23:00:00, 32.76, 33.04, 32.62, 32.84, 1989009, 0.0
2020-11-29 23:00:00, 32.615, 32.97, 32.465, 32.95, 3889898, 0.0
2020-11-30 23:00:00, 32.97, 33.22, 32.77, 33.14, 3894317, 0.0
2020-12-01 23:00:00, 33.06, 33.32, 32.75, 32.78, 4190955, 0.0
2020-12-02 23:00:00, 32.84, 33.59, 32.8, 33.48, 3989772, 0.0
2020-12-03 23:00:00, 33.76, 34.15, 33.64, 34.125, 5003652, 0.0
2020-12-06 23:00:00, 34, 34.01, 33.45, 33.61, 4037190, 0.0
2020-12-07 23:00:00, 33.63, 34.45, 33.49, 34.34, 5378585, 0.0
2020-12-08 23:00:00, 34.48, 34.6, 33.975, 34.2, 4367892, 0.0
2020-12-09 23:00:00, 34.01, 34.24, 33.88, 34.1, 3022722, 0.0
2020-12-10 23:00:00, 33.88, 34.17, 33.8, 34.08, 2991002, 0.0
2020-12-13 23:00:00, 34.16, 34.7, 34.14, 34.4, 4802814, 0.0
2020-12-14 23:00:00, 34.42, 34.4992, 33.92, 34.33, 4015386, 0.0
2020-12-15 23:00:00, 34.42, 34.66, 34.26, 34.42, 3660027, 0.0
2020-12-16 23:00:00, 34.66, 34.78, 34.463, 34.62, 2866223, 0.0
2020-12-17 23:00:00, 34.88, 35.3697, 34.51, 34.76, 7260606, 0.0
2020-12-20 23:00:00, 34.12, 34.66, 34.12, 34.58, 3416853, 0.0
2020-12-21 23:00:00, 34.6, 34.81, 34.34, 34.4, 2940637, 0.0
2020-12-22 23:00:00, 34.4444, 35.04, 34.4444, 34.8, 2760982, 0.0
2020-12-23 23:00:00, 34.79, 34.98, 34.62, 34.97, 1140056, 0.0
2020-12-27 23:00:00, 35.05, 35.41, 34.93, 35.21, 2770939, 0.0
2020-12-28 23:00:00, 35.31, 35.3601, 34.73, 34.9, 2865551, 0.0
2020-12-29 23:00:00, 34.9, 35.03, 34.64, 34.69, 1967651, 0.0
2020-12-30 23:00:00, 34.65, 34.715, 34.205, 34.65, 2757866, 0.0
2021-01-03 23:00:00, 34.59, 34.68, 33.91, 34.23, 4627989, 0.0
2021-01-04 23:00:00, 34.2874, 34.42, 33.225, 33.57, 7597433, 0.0
2021-01-05 23:00:00, 33.69, 34.2, 33.41, 33.94, 5727643, 0.0
2021-01-06 23:00:00, 34.02, 34.0576, 33.445, 33.69, 5144189, 0.0
2021-01-07 23:00:00, 33.505, 33.65, 33.21, 33.63, 5607167, 0.0
2021-01-10 23:00:00, 33.55, 33.665, 32.75, 32.85, 7504913, 0.0
2021-01-11 23:00:00, 32.85, 32.98, 31.72, 32.17, 9535733, 0.0
2021-01-12 23:00:00, 32.22, 32.35, 31.985, 32.01, 4865500, 0.0
2021-01-13 23:00:00, 32.1035, 32.3, 31.7228, 32.086, 6937590, 0.0
2021-01-14 23:00:00, 31.9, 32.29, 31.6, 32, 6091412, 0.0
