Date, Open, High, Low, Close, Volume, Open Interest
2021-05-19 12:42:00, 595.83, 595.83, 595.83, 595.83, 259, 0.0
2021-05-19 12:47:00, 596.435, 596.435, 596.435, 596.435, 258, 0.0
2021-05-19 12:53:00, 597.32, 597.32, 597.32, 597.32, 209, 0.0
2021-05-19 13:02:00, 597.65, 597.65, 597.65, 597.65, 175, 0.0
2021-05-19 13:05:00, 594.77, 594.77, 593.69, 593.69, 648, 0.0
2021-05-19 13:08:00, 594.09, 594.09, 594.09, 594.09, 136, 0.0
2021-05-19 13:09:00, 596.69, 596.75, 596.69, 596.75, 200, 0.0
2021-05-19 13:10:00, 596.58, 596.58, 596.58, 596.58, 165, 0.0
2021-05-19 13:11:00, 595.66, 595.66, 595.66, 595.66, 149, 0.0
2021-05-19 13:12:00, 595.94, 595.94, 595.94, 595.94, 233, 0.0
2021-05-19 13:13:00, 595.95, 597.42, 595.95, 597.42, 200, 0.0
2021-05-19 13:15:00, 596.335, 596.335, 595.24, 595.24, 474, 0.0
2021-05-19 13:20:00, 597.81, 598.65, 597.81, 598.65, 394, 0.0
2021-05-19 13:21:00, 599.06, 599.06, 599.06, 599.06, 100, 0.0
2021-05-19 13:22:00, 601.76, 601.77, 601.23, 601.23, 534, 0.0
2021-05-19 13:23:00, 602.41, 602.93, 602.41, 602.93, 612, 0.0
2021-05-19 13:24:00, 601.98, 601.98, 601.98, 601.98, 176, 0.0
2021-05-19 13:25:00, 600.99, 600.99, 600.69, 600.69, 544, 0.0
2021-05-19 13:27:00, 601, 601, 601, 601, 300, 0.0
2021-05-19 13:29:00, 602.01, 602.01, 602.01, 602.01, 100, 0.0
2021-05-19 13:30:00, 601.37, 601.37, 601.37, 601.37, 207, 0.0
2021-05-19 13:31:00, 602.69, 602.69, 602.69, 602.69, 103, 0.0
2021-05-19 13:32:00, 601.9, 601.9, 601.21, 601.21, 889, 0.0
2021-05-19 13:34:00, 600.21, 600.21, 600.21, 600.21, 133, 0.0
2021-05-19 13:35:00, 600.42, 600.42, 600.11, 600.11, 437, 0.0
2021-05-19 13:37:00, 600.38, 600.38, 600.36, 600.36, 546, 0.0
2021-05-19 13:38:00, 597.91, 597.91, 597.81, 597.81, 301, 0.0
2021-05-19 13:39:00, 597.5, 597.5, 597.5, 597.5, 273, 0.0
2021-05-19 13:40:00, 597.635, 597.635, 597.09, 597.09, 300, 0.0
2021-05-19 13:41:00, 597.73, 597.73, 597.48, 597.48, 200, 0.0
2021-05-19 13:42:00, 597.87, 597.87, 597.86, 597.86, 300, 0.0
2021-05-19 13:43:00, 598.41, 598.41, 598.41, 598.41, 240, 0.0
2021-05-19 13:44:00, 598.1, 598.1, 597.57, 597.57, 521, 0.0
2021-05-19 13:45:00, 597.84, 597.84, 597.78, 597.78, 300, 0.0
2021-05-19 13:47:00, 597.06, 597.21, 596.52, 596.52, 536, 0.0
