Date, Open, High, Low, Close, Volume, Open Interest
2021-04-27 23:00:00, 644, 644, 633.53, 638.57, 621387, 0.0
2021-04-28 23:00:00, 641.9683, 643, 629.52, 641.21, 790809, 0.0
2021-04-29 23:00:00, 630.42, 637.485, 619.82, 620.44, 1000802, 0.0
2021-05-02 23:00:00, 628.64, 630, 613.778, 617.3511, 1052617, 0.0
2021-05-03 23:00:00, 609.05, 609.55, 590.2, 606.51, 1357947, 0.0
2021-05-04 23:00:00, 617.2, 620.99, 603.36, 610.43, 844637, 0.0
2021-05-05 23:00:00, 609.16, 619.15, 601.41, 617.56, 1045108, 0.0
2021-05-06 23:00:00, 625.99, 634.8, 618.2, 630.64, 917199, 0.0
2021-05-09 23:00:00, 621.65, 624.07, 586.16, 586.41, 1554358, 0.0
2021-05-10 23:00:00, 568.557, 595.1471, 562.93, 592.08, 1780340, 0.0
2021-05-11 23:00:00, 575.47, 577.72, 555.8, 557.68, 2183587, 0.0
2021-05-12 23:00:00, 572.96, 594.3928, 570.18, 584.73, 2718213, 0.0
2021-05-13 23:00:00, 596, 609.4251, 578, 602.99, 1287845, 0.0
2021-05-16 23:00:00, 593, 592.72, 576, 592.4, 994843, 0.0
2021-05-17 23:00:00, 597.92, 601.33, 584.74, 585.36, 954577, 0.0
2021-05-18 23:00:00, 569.1, 603.09, 566.03, 602.19, 1332655, 0.0
2021-05-19 23:00:00, 607.6, 634, 604.395, 626.74, 1821499, 0.0
2021-05-20 23:00:00, 624.35, 625.48, 610.2, 614.1, 1262863, 0.0
2021-05-23 23:00:00, 625, 641.53, 622.02, 634.65, 1277147, 0.0
2021-05-24 23:00:00, 641.57, 652.07, 638.24, 640.36, 1290032, 0.0
2021-05-25 23:00:00, 641.77, 646.5799, 632.45, 634.53, 377575, 0.0
