Date, Open, High, Low, Close, Volume, Open Interest
2021-05-12 23:00:00, 136.73, 140.39, 136.56, 139.26, 2081859, 0.0
2021-05-13 23:00:00, 140.42, 143.8, 139.08, 143.31, 1961486, 0.0
2021-05-16 23:00:00, 142.86, 143.26, 138.24, 139.86, 1418754, 0.0
2021-05-17 23:00:00, 140.87, 142.99, 139.76, 139.83, 1278314, 0.0
2021-05-18 23:00:00, 137.86, 139.5, 136.34, 139.44, 1409024, 0.0
2021-05-19 23:00:00, 139.85, 139.96, 137.59, 138.98, 1871747, 0.0
2021-05-20 23:00:00, 139.71, 140.74, 138.57, 139.01, 1387134, 0.0
2021-05-23 23:00:00, 139.94, 142.21, 139.11, 141.89, 1170726, 0.0
2021-05-24 23:00:00, 142.45, 144.24, 141.98, 142.79, 1445080, 0.0
2021-05-25 23:00:00, 143.9, 145.27, 142.88, 144.7, 457256, 0.0
