Date, Open, High, Low, Close, Volume, Open Interest
2021-04-27 23:00:00, 156.67, 156.76, 154.02, 154.61, 1273178, 0.0
2021-04-28 23:00:00, 156.08, 156.86, 153.57, 156.01, 847622, 0.0
2021-04-29 23:00:00, 153.21, 154.88, 149.56, 150.25, 1462934, 0.0
2021-05-02 23:00:00, 152.45, 152.82, 147.321, 148.07, 1349899, 0.0
2021-05-03 23:00:00, 146.59, 146.74, 143.21, 144.85, 2311981, 0.0
2021-05-04 23:00:00, 147.1, 149.2707, 144.21, 145.6, 1695820, 0.0
2021-05-05 23:00:00, 145.38, 146.75, 143.32, 146.25, 2182858, 0.0
2021-05-06 23:00:00, 152.4172, 152.4172, 148.08, 149.65, 2191495, 0.0
2021-05-09 23:00:00, 148.76, 149.12, 143.2, 143.3, 1678051, 0.0
2021-05-10 23:00:00, 140.41, 145.85, 138.62, 145.51, 1911597, 0.0
2021-05-11 23:00:00, 141.95, 143.08, 138.54, 139.13, 1853307, 0.0
2021-05-12 23:00:00, 141.47, 143.93, 139.71, 142.12, 1538807, 0.0
2021-05-13 23:00:00, 144.2, 147.06, 142.39, 145.48, 1374492, 0.0
2021-05-16 23:00:00, 143.5, 144.52, 140.8, 143.53, 867051, 0.0
2021-05-17 23:00:00, 142.6, 145.7399, 142.28, 142.39, 1085400, 0.0
2021-05-18 23:00:00, 139.85, 147.56, 139.36, 146.99, 1678300, 0.0
2021-05-19 23:00:00, 147.55, 151.95, 147.55, 151.17, 1512522, 0.0
2021-05-20 23:00:00, 151.23, 151.88, 148.59, 149.81, 1363821, 0.0
2021-05-23 23:00:00, 151.15, 154.87, 151.15, 154.1, 1098084, 0.0
2021-05-24 23:00:00, 155.49, 156.126, 152.41, 154.82, 952985, 0.0
2021-05-25 23:00:00, 154.76, 156.25, 153.38, 153.7, 317219, 0.0
