Date, Open, High, Low, Close, Volume, Open Interest
2021-05-21 10:39:00, 163.45, 163.66, 163.45, 163.47, 765, 0.0
2021-05-21 10:40:00, 163.37, 163.43, 163.37, 163.43, 302, 0.0
2021-05-21 10:42:00, 163.08, 163.195, 163.08, 163.195, 300, 0.0
2021-05-21 10:43:00, 163.45, 163.45, 163.44, 163.44, 257, 0.0
2021-05-21 10:44:00, 163.47, 163.47, 163.47, 163.47, 200, 0.0
2021-05-21 10:45:00, 163.6, 163.6, 163.6, 163.6, 306, 0.0
2021-05-21 10:46:00, 163.42, 163.68, 163.42, 163.68, 548, 0.0
2021-05-21 10:47:00, 163.67, 163.67, 163.67, 163.67, 473, 0.0
2021-05-21 10:49:00, 163.28, 163.28, 163.21, 163.21, 370, 0.0
2021-05-21 10:50:00, 163.42, 163.42, 163.41, 163.41, 515, 0.0
2021-05-21 10:52:00, 163.33, 163.33, 163.33, 163.33, 100, 0.0
2021-05-21 10:53:00, 163.39, 163.39, 163.19, 163.21, 502, 0.0
2021-05-21 10:54:00, 162.96, 162.96, 162.89, 162.89, 300, 0.0
2021-05-21 10:55:00, 162.885, 162.885, 162.69, 162.69, 306, 0.0
2021-05-21 10:56:00, 162.88, 162.88, 162.7, 162.7, 228, 0.0
2021-05-21 10:57:00, 162.61, 162.61, 162.52, 162.575, 500, 0.0
2021-05-21 10:58:00, 162.54, 162.63, 162.44, 162.45, 738, 0.0
2021-05-21 10:59:00, 162.3, 162.36, 162.3, 162.36, 502, 0.0
2021-05-21 11:00:00, 162.33, 162.33, 162.33, 162.33, 100, 0.0
2021-05-21 11:01:00, 162.23, 162.23, 162.09, 162.14, 678, 0.0
2021-05-21 11:02:00, 162.2, 162.2, 162.2, 162.2, 215, 0.0
2021-05-21 11:04:00, 162.69, 162.7, 162.69, 162.7, 200, 0.0
2021-05-21 11:06:00, 162.58, 162.59, 162.58, 162.59, 310, 0.0
2021-05-21 11:07:00, 162.82, 162.82, 162.79, 162.79, 300, 0.0
2021-05-21 11:08:00, 162.43, 162.52, 162.43, 162.52, 411, 0.0
2021-05-21 11:09:00, 162.55, 162.55, 162.28, 162.28, 300, 0.0
2021-05-21 11:10:00, 162.39, 162.39, 162.39, 162.39, 200, 0.0
2021-05-21 11:11:00, 162.54, 162.54, 162.54, 162.54, 100, 0.0
2021-05-21 11:15:00, 162.84, 162.84, 162.84, 162.84, 108, 0.0
2021-05-21 11:16:00, 162.81, 162.81, 162.62, 162.62, 916, 0.0
2021-05-21 11:17:00, 162.49, 162.49, 162.23, 162.29, 425, 0.0
2021-05-21 11:18:00, 162.26, 162.4, 162.08, 162.4, 1141, 0.0
2021-05-21 11:19:00, 162.395, 162.395, 162.395, 162.395, 100, 0.0
2021-05-21 11:24:00, 162.68, 162.68, 162.68, 162.68, 200, 0.0
2021-05-21 11:26:00, 162.85, 162.88, 162.85, 162.88, 204, 0.0
2021-05-21 11:27:00, 162.85, 162.93, 162.85, 162.93, 213, 0.0
2021-05-21 11:28:00, 162.92, 163.12, 162.91, 163.12, 602, 0.0
2021-05-21 11:29:00, 163, 163, 163, 163, 101, 0.0
2021-05-21 11:32:00, 163.12, 163.12, 163.12, 163.12, 267, 0.0
2021-05-21 11:33:00, 163.07, 163.07, 163.07, 163.07, 110, 0.0
2021-05-21 11:34:00, 163.18, 163.18, 163.18, 163.18, 200, 0.0
2021-05-21 11:35:00, 163.055, 163.055, 163.055, 163.055, 110, 0.0
2021-05-21 11:37:00, 163.33, 163.39, 163.33, 163.39, 312, 0.0
2021-05-21 11:38:00, 163.28, 163.28, 163.28, 163.28, 100, 0.0
2021-05-21 11:40:00, 163.51, 163.51, 163.51, 163.51, 111, 0.0
2021-05-21 11:41:00, 163.36, 163.36, 163.36, 163.36, 140, 0.0
2021-05-21 11:42:00, 163.18, 163.23, 163.18, 163.23, 557, 0.0
2021-05-21 11:43:00, 162.9, 162.9, 162.9, 162.9, 183, 0.0
2021-05-21 11:45:00, 163.19, 163.19, 163.08, 163.16, 500, 0.0
2021-05-21 11:47:00, 162.87, 162.87, 162.87, 162.87, 100, 0.0
2021-05-21 11:48:00, 162.91, 162.91, 162.91, 162.91, 123, 0.0
2021-05-21 11:49:00, 162.94, 162.94, 162.93, 162.93, 311, 0.0
2021-05-21 11:51:00, 163.27, 163.27, 163.25, 163.25, 200, 0.0
2021-05-21 11:53:00, 162.81, 162.81, 162.81, 162.81, 130, 0.0
2021-05-21 11:55:00, 162.76, 162.76, 162.73, 162.76, 400, 0.0
2021-05-21 11:59:00, 162.95, 162.95, 162.95, 162.95, 100, 0.0
2021-05-21 12:00:00, 162.93, 162.94, 162.93, 162.94, 300, 0.0
2021-05-21 12:01:00, 162.99, 163.01, 162.99, 163.01, 400, 0.0
2021-05-21 12:02:00, 162.92, 162.92, 162.92, 162.92, 210, 0.0
2021-05-21 12:05:00, 162.71, 162.71, 162.71, 162.71, 120, 0.0
2021-05-21 12:07:00, 162.91, 162.91, 162.91, 162.91, 100, 0.0
2021-05-21 12:08:00, 162.82, 162.82, 162.75, 162.75, 300, 0.0
2021-05-21 12:09:00, 162.84, 162.84, 162.84, 162.84, 302, 0.0
2021-05-21 12:10:00, 162.78, 162.78, 162.78, 162.78, 315, 0.0
2021-05-21 12:13:00, 162.91, 162.91, 162.91, 162.91, 110, 0.0
2021-05-21 12:14:00, 162.84, 162.84, 162.79, 162.79, 397, 0.0
2021-05-21 12:16:00, 162.77, 162.77, 162.62, 162.62, 600, 0.0
2021-05-21 12:17:00, 162.65, 162.65, 162.62, 162.62, 300, 0.0
2021-05-21 12:18:00, 162.59, 162.61, 162.58, 162.61, 606, 0.0
2021-05-21 12:19:00, 162.53, 162.53, 162.53, 162.53, 313, 0.0
2021-05-21 12:20:00, 162.61, 162.61, 162.6, 162.6, 500, 0.0
2021-05-21 12:21:00, 162.6, 162.6, 162.6, 162.6, 101, 0.0
2021-05-21 12:22:00, 162.85, 162.85, 162.83, 162.83, 200, 0.0
2021-05-21 12:23:00, 162.73, 162.83, 162.73, 162.83, 302, 0.0
2021-05-21 12:24:00, 163.07, 163.07, 163.07, 163.07, 160, 0.0
2021-05-21 12:25:00, 163.07, 163.07, 163.07, 163.07, 100, 0.0
2021-05-21 12:26:00, 163.06, 163.12, 163.06, 163.11, 600, 0.0
2021-05-21 12:27:00, 163.1, 163.11, 163.1, 163.11, 200, 0.0
2021-05-21 12:29:00, 163.3, 163.3, 163.3, 163.3, 300, 0.0
2021-05-21 12:30:00, 163.25, 163.34, 163.25, 163.25, 474, 0.0
2021-05-21 12:31:00, 163.16, 163.16, 163.16, 163.16, 200, 0.0
2021-05-21 12:32:00, 163.29, 163.29, 163.29, 163.29, 200, 0.0
2021-05-21 12:33:00, 163.33, 163.33, 163.33, 163.33, 208, 0.0
2021-05-21 12:34:00, 163.22, 163.22, 163.15, 163.16, 300, 0.0
2021-05-21 12:37:00, 163.24, 163.24, 163.24, 163.24, 100, 0.0
2021-05-21 12:39:00, 163.07, 163.07, 163.06, 163.06, 590, 0.0
2021-05-21 12:42:00, 163.21, 163.24, 163.2, 163.23, 500, 0.0
2021-05-21 12:43:00, 163.35, 163.35, 163.18, 163.19, 500, 0.0
2021-05-21 12:45:00, 163.11, 163.11, 162.97, 162.97, 466, 0.0
2021-05-21 12:46:00, 163.05, 163.05, 163.05, 163.05, 100, 0.0
2021-05-21 12:48:00, 163, 163, 163, 163, 100, 0.0
2021-05-21 12:49:00, 162.99, 163, 162.99, 163, 300, 0.0
2021-05-21 12:50:00, 163.14, 163.14, 163.14, 163.14, 103, 0.0
2021-05-21 12:51:00, 163.05, 163.05, 163.05, 163.05, 100, 0.0
2021-05-21 12:53:00, 163.15, 163.15, 163.15, 163.15, 200, 0.0
2021-05-21 12:54:00, 163.13, 163.13, 163.13, 163.13, 100, 0.0
2021-05-21 12:55:00, 163.22, 163.22, 163.08, 163.08, 202, 0.0
2021-05-21 12:56:00, 163.16, 163.16, 163.01, 163.01, 499, 0.0
2021-05-21 12:57:00, 163.08, 163.08, 163.08, 163.08, 100, 0.0
2021-05-21 12:59:00, 163.14, 163.14, 163.14, 163.14, 131, 0.0
2021-05-21 13:00:00, 163.08, 163.08, 163.08, 163.08, 102, 0.0
2021-05-21 13:01:00, 163.18, 163.18, 163.18, 163.18, 194, 0.0
2021-05-21 13:02:00, 163.32, 163.32, 163.24, 163.25, 441, 0.0
