Date, Open, High, Low, Close, Volume, Open Interest
2021-05-12 11:25:00, 77.57, 77.76, 77.56, 77.62, 14122, 0.0
2021-05-12 11:30:00, 77.59, 77.87, 77.56, 77.74, 13753, 0.0
2021-05-12 11:35:00, 77.8, 77.83, 77.6, 77.61, 18318, 0.0
2021-05-12 11:40:00, 77.61, 77.71, 77.45, 77.67, 21651, 0.0
2021-05-12 11:45:00, 77.625, 77.67, 77.51, 77.63, 12396, 0.0
2021-05-12 11:50:00, 77.65, 77.75, 77.62, 77.63, 9315, 0.0
2021-05-12 11:55:00, 77.6, 77.7, 77.53, 77.7, 5871, 0.0
2021-05-12 12:00:00, 77.66, 78.11, 77.64, 78.1, 15100, 0.0
2021-05-12 12:05:00, 78.12, 78.15, 78.015, 78.02, 17591, 0.0
2021-05-12 12:10:00, 78.025, 78.09, 77.89, 77.95, 11126, 0.0
2021-05-12 12:15:00, 77.94, 77.96, 77.68, 77.7, 10430, 0.0
2021-05-12 12:20:00, 77.65, 77.66, 77.61, 77.625, 5317, 0.0
2021-05-12 12:25:00, 77.62, 77.68, 77.53, 77.54, 8736, 0.0
2021-05-12 12:30:00, 77.51, 77.61, 77.37, 77.41, 8172, 0.0
2021-05-12 12:35:00, 77.39, 77.68, 77.39, 77.64, 11210, 0.0
2021-05-12 12:40:00, 77.64, 77.64, 77.46, 77.51, 7664, 0.0
2021-05-12 12:45:00, 77.51, 77.51, 77.29, 77.29, 8512, 0.0
2021-05-12 12:50:00, 77.31, 77.53, 77.31, 77.47, 7973, 0.0
2021-05-12 12:55:00, 77.49, 77.53, 77.3, 77.33, 7692, 0.0
2021-05-12 13:00:00, 77.33, 77.435, 77.29, 77.29, 3470, 0.0
2021-05-12 13:05:00, 77.25, 77.35, 77.215, 77.24, 5102, 0.0
2021-05-12 13:10:00, 77.23, 77.23, 77.08, 77.15, 5194, 0.0
2021-05-12 13:15:00, 77.1, 77.17, 76.99, 77.17, 6676, 0.0
2021-05-12 13:20:00, 77.275, 77.32, 76.99, 77, 8512, 0.0
2021-05-12 13:25:00, 76.98, 77.08, 76.95, 76.99, 5029, 0.0
2021-05-12 13:30:00, 77.04, 77.195, 76.92, 77.195, 4452, 0.0
2021-05-12 13:35:00, 77.08, 77.225, 77, 77.12, 4044, 0.0
2021-05-12 13:40:00, 77.05, 77.2, 77.05, 77.12, 11071, 0.0
2021-05-12 13:45:00, 77.11, 77.305, 77.01, 77.27, 5789, 0.0
2021-05-12 13:50:00, 77.29, 77.35, 77.24, 77.255, 4245, 0.0
2021-05-12 13:55:00, 77.3, 77.3, 77.03, 77.03, 1997, 0.0
2021-05-12 14:00:00, 77, 77.07, 76.88, 76.895, 4112, 0.0
2021-05-12 14:05:00, 76.88, 76.955, 76.83, 76.905, 25397, 0.0
2021-05-12 14:10:00, 76.94, 76.94, 76.66, 76.735, 14472, 0.0
2021-05-12 14:15:00, 76.725, 76.9, 76.71, 76.78, 7083, 0.0
2021-05-12 14:20:00, 76.895, 76.895, 76.73, 76.81, 7662, 0.0
2021-05-12 14:25:00, 76.73, 76.84, 76.58, 76.625, 9162, 0.0
2021-05-12 14:30:00, 76.64, 76.77, 76.595, 76.715, 30336, 0.0
2021-05-12 14:35:00, 76.71, 76.77, 76.62, 76.68, 7342, 0.0
2021-05-12 14:40:00, 76.69, 76.73, 76.515, 76.54, 11931, 0.0
2021-05-12 14:45:00, 76.535, 76.865, 76.535, 76.72, 18721, 0.0
2021-05-12 14:50:00, 76.71, 76.83, 76.45, 76.47, 26101, 0.0
2021-05-12 14:55:00, 76.475, 76.83, 76.46, 76.81, 32197, 0.0
2021-05-13 08:30:00, 77.9, 78.27, 77.55, 77.75, 22708, 0.0
2021-05-13 08:35:00, 77.84, 78.08, 77.43, 77.53, 14261, 0.0
2021-05-13 08:40:00, 77.53, 78.06, 77.53, 78.005, 8060, 0.0
2021-05-13 08:45:00, 78.055, 78.395, 78, 78, 13594, 0.0
2021-05-13 08:50:00, 77.97, 78.42, 77.96, 78.38, 4365, 0.0
2021-05-13 08:55:00, 78.4, 78.66, 78.35, 78.43, 21442, 0.0
2021-05-13 09:00:00, 78.57, 78.79, 78.45, 78.455, 27673, 0.0
2021-05-13 09:05:00, 78.41, 78.5, 78.1, 78.26, 12736, 0.0
2021-05-13 09:10:00, 78.12, 78.56, 78.08, 78.3, 8066, 0.0
2021-05-13 09:15:00, 78.33, 78.595, 78.33, 78.48, 23114, 0.0
2021-05-13 09:20:00, 78.43, 78.78, 78.34, 78.78, 18220, 0.0
2021-05-13 09:25:00, 78.78, 78.795, 78.34, 78.4, 14227, 0.0
2021-05-13 09:30:00, 78.5, 78.66, 78.48, 78.59, 2024, 0.0
2021-05-13 09:35:00, 78.55, 78.55, 78.35, 78.41, 5211, 0.0
2021-05-13 09:40:00, 78.39, 78.41, 78.26, 78.26, 5641, 0.0
2021-05-13 09:45:00, 78.23, 78.46, 78.19, 78.42, 8044, 0.0
2021-05-13 09:50:00, 78.45, 78.74, 78.37, 78.74, 7354, 0.0
2021-05-13 09:55:00, 78.76, 78.85, 78.49, 78.5, 2951, 0.0
2021-05-13 10:00:00, 78.48, 78.48, 78.23, 78.255, 5303, 0.0
2021-05-13 10:05:00, 78.2, 78.21, 77.91, 78.02, 5002, 0.0
2021-05-13 10:10:00, 77.97, 77.98, 77.73, 77.73, 1856, 0.0
2021-05-13 10:15:00, 77.75, 78.02, 77.72, 77.985, 4581, 0.0
2021-05-13 10:20:00, 78.02, 78.02, 77.815, 77.84, 3421, 0.0
2021-05-13 10:25:00, 77.845, 77.845, 77.42, 77.44, 3815, 0.0
2021-05-13 10:30:00, 77.41, 77.58, 77.385, 77.56, 6643, 0.0
2021-05-13 10:35:00, 77.56, 77.71, 77.495, 77.68, 4313, 0.0
2021-05-13 10:40:00, 77.63, 77.63, 77.21, 77.27, 6830, 0.0
2021-05-13 10:45:00, 77.265, 77.63, 77.25, 77.63, 4128, 0.0
2021-05-13 10:50:00, 77.62, 77.72, 77.475, 77.48, 9900, 0.0
2021-05-13 10:55:00, 77.59, 77.59, 77.3, 77.3, 18573, 0.0
