Date, Open, High, Low, Close, Volume, Open Interest
2021-05-12 10:05:00, 105.59, 105.725, 105.53, 105.69, 1642, 0.0
2021-05-12 10:10:00, 105.65, 105.83, 105.6, 105.8, 1561, 0.0
2021-05-12 10:15:00, 105.95, 106.02, 105.93, 105.97, 1769, 0.0
2021-05-12 10:20:00, 106.07, 106.07, 105.74, 105.75, 1835, 0.0
2021-05-12 10:25:00, 105.925, 105.925, 105.38, 105.38, 2668, 0.0
2021-05-12 10:30:00, 105.28, 105.345, 105.165, 105.165, 1353, 0.0
2021-05-12 10:35:00, 105.15, 105.16, 105.09, 105.14, 4162, 0.0
2021-05-12 10:40:00, 105.205, 105.205, 104.98, 105.115, 3221, 0.0
2021-05-12 10:45:00, 105.045, 105.045, 105.045, 105.045, 256, 0.0
2021-05-12 10:50:00, 105, 105.03, 104.71, 104.71, 5220, 0.0
2021-05-12 10:55:00, 104.66, 104.75, 104.535, 104.56, 3366, 0.0
2021-05-12 11:00:00, 104.56, 104.665, 104.44, 104.665, 1010, 0.0
2021-05-12 11:05:00, 104.71, 104.775, 104.71, 104.775, 620, 0.0
2021-05-12 11:10:00, 104.52, 104.59, 104.33, 104.38, 1260, 0.0
2021-05-12 11:15:00, 104.26, 104.44, 104.26, 104.44, 605, 0.0
2021-05-12 11:20:00, 104.46, 104.64, 104.445, 104.48, 1404, 0.0
2021-05-12 11:25:00, 104.53, 104.725, 104.53, 104.7, 1135, 0.0
2021-05-12 11:30:00, 104.64, 104.7, 104.57, 104.64, 1349, 0.0
2021-05-12 11:35:00, 104.71, 104.71, 104.57, 104.63, 1890, 0.0
2021-05-12 11:40:00, 104.525, 104.59, 104.525, 104.57, 1060, 0.0
2021-05-12 11:45:00, 104.66, 104.66, 104.66, 104.66, 283, 0.0
2021-05-12 11:50:00, 104.85, 104.95, 104.84, 104.91, 1192, 0.0
2021-05-12 11:55:00, 104.79, 104.84, 104.79, 104.84, 523, 0.0
2021-05-12 12:00:00, 104.89, 105.26, 104.89, 105.19, 831, 0.0
2021-05-12 12:05:00, 105.33, 105.33, 105.1, 105.1, 799, 0.0
2021-05-12 12:10:00, 105.16, 105.16, 105, 105, 728, 0.0
2021-05-12 12:15:00, 104.94, 104.94, 104.93, 104.93, 841, 0.0
2021-05-12 12:20:00, 104.82, 104.83, 104.78, 104.78, 549, 0.0
2021-05-12 12:25:00, 104.8, 104.8, 104.8, 104.8, 330, 0.0
2021-05-12 12:30:00, 104.74, 104.765, 104.725, 104.725, 720, 0.0
2021-05-12 12:35:00, 104.675, 104.77, 104.675, 104.74, 1122, 0.0
2021-05-12 12:40:00, 104.76, 104.81, 104.7, 104.7, 826, 0.0
2021-05-12 12:45:00, 104.58, 104.58, 104.52, 104.54, 1361, 0.0
2021-05-12 12:50:00, 104.52, 104.69, 104.49, 104.69, 1048, 0.0
2021-05-12 12:55:00, 104.49, 104.49, 104.49, 104.49, 240, 0.0
2021-05-12 13:00:00, 104.63, 104.74, 104.63, 104.74, 751, 0.0
2021-05-12 13:05:00, 104.6, 104.65, 104.6, 104.62, 855, 0.0
2021-05-12 13:10:00, 104.59, 104.59, 104.49, 104.51, 504, 0.0
2021-05-12 13:15:00, 104.31, 104.31, 104.29, 104.29, 555, 0.0
2021-05-12 13:20:00, 104.405, 104.66, 104.405, 104.66, 1467, 0.0
2021-05-12 13:25:00, 104.61, 104.75, 104.61, 104.75, 1167, 0.0
2021-05-12 13:30:00, 104.8, 104.88, 104.745, 104.86, 1490, 0.0
2021-05-12 13:35:00, 104.81, 104.81, 104.79, 104.8, 680, 0.0
2021-05-12 13:40:00, 104.79, 104.87, 104.775, 104.87, 986, 0.0
