Date, Open, High, Low, Close, Volume, Open Interest
2021-05-12 23:00:00, 96.54, 99.03, 96.5, 98.53, 1030563, 0.0
2021-05-13 23:00:00, 99.2, 100.44, 98.78, 100.11, 797731, 0.0
2021-05-16 23:00:00, 99.75, 100.11, 99.23, 99.84, 615526, 0.0
2021-05-17 23:00:00, 99.95, 99.97, 99.04, 99.09, 1032193, 0.0
2021-05-18 23:00:00, 98.41, 98.95, 97.23, 98.89, 1089818, 0.0
2021-05-19 23:00:00, 99.03, 101.1, 98.41, 100.64, 989535, 0.0
2021-05-20 23:00:00, 101.05, 101.79, 100.37, 100.78, 969985, 0.0
2021-05-23 23:00:00, 101.49, 102.1884, 101.12, 101.9, 833580, 0.0
2021-05-24 23:00:00, 102.09, 102.09, 100.88, 101.101, 853161, 0.0
2021-05-25 23:00:00, 100.74, 101.27, 100.17, 100.21, 258613, 0.0
