Date, Open, High, Low, Close, Volume, Open Interest
2020-11-23 23:00:00, 142.33, 145.1508, 141.62, 143.91, 6181813, 0.0
2020-11-24 23:00:00, 140.31, 140.99, 133.12, 135.87, 8519154, 0.0
2020-11-26 23:00:00, 141.23, 144.79, 140.39, 144, 5908803, 0.0
2020-11-29 23:00:00, 141.39, 141.79, 132, 138.75, 9382897, 0.0
2020-11-30 23:00:00, 139.81, 141.635, 134.345, 136.53, 4839812, 0.0
2020-12-01 23:00:00, 132.1666, 144.94, 129.19, 144, 9015472, 0.0
2020-12-02 23:00:00, 144.8, 148.42, 142.51, 145.16, 5841128, 0.0
2020-12-03 23:00:00, 147.33, 150.95, 143.53, 146.4, 4704433, 0.0
2020-12-06 23:00:00, 146.67, 150.94, 146.1, 146.71, 5301548, 0.0
2020-12-07 23:00:00, 149.91, 161.5, 149.14, 157.58, 9513386, 0.0
2020-12-08 23:00:00, 161.96, 163.1, 145.77, 147.61, 10089162, 0.0
2020-12-09 23:00:00, 147.01, 155.91, 146, 154.15, 5902224, 0.0
2020-12-10 23:00:00, 148.8, 150.12, 141.46, 147.65, 7125426, 0.0
2020-12-13 23:00:00, 144.68, 146.969, 140.42, 142.12, 7094495, 0.0
2020-12-14 23:00:00, 143.14, 143.28, 138.575, 142, 4908946, 0.0
2020-12-15 23:00:00, 143.27, 146.2, 141, 145.27, 4076588, 0.0
2020-12-16 23:00:00, 146.69, 150.27, 146.5, 149.95, 4662928, 0.0
2020-12-17 23:00:00, 150.65, 153.41, 147.83, 149.62, 3391072, 0.0
2020-12-20 23:00:00, 146.28, 151.13, 145.02, 146.96, 3516056, 0.0
2020-12-21 23:00:00, 147.3, 147.37, 138.81, 139.02, 5884720, 0.0
2020-12-22 23:00:00, 142, 142.14, 136.75, 140.26, 5271664, 0.0
2020-12-23 23:00:00, 137.59, 156.98, 137, 152.72, 13404061, 0.0
2020-12-27 23:00:00, 154.24, 154.28, 143.1, 143.85, 6690284, 0.0
2020-12-28 23:00:00, 147.9, 168.7698, 147.49, 166.41, 24971537, 0.0
2020-12-29 23:00:00, 163.34, 179.37, 163.3, 179.11, 22878831, 0.0
2020-12-30 23:00:00, 180.42, 182.68, 173.7201, 177.67, 12039436, 0.0
2021-01-03 23:00:00, 176.75, 176.75, 166.18, 166.8, 9767947, 0.0
2021-01-04 23:00:00, 172.35, 187.45, 171.13, 187.2, 15693954, 0.0
2021-01-05 23:00:00, 184.2449, 187.7, 176.03, 176.71, 10142684, 0.0
2021-01-06 23:00:00, 184.37, 184.77, 176.5, 180.1, 7030648, 0.0
2021-01-07 23:00:00, 182.7, 186.67, 174.37, 180.78, 7991090, 0.0
2021-01-10 23:00:00, 170.94, 174.89, 162.21, 172.49, 8642947, 0.0
2021-01-11 23:00:00, 169.46, 172.8438, 168, 169.5, 4896015, 0.0
2021-01-12 23:00:00, 173.21, 173.21, 160.18, 164.8, 9938963, 0.0
2021-01-13 23:00:00, 170.6, 172.35, 164.3852, 167.26, 6020134, 0.0
2021-01-14 23:00:00, 162.95, 164.73, 157.8, 161.2, 6671046, 0.0
2021-01-18 23:00:00, 166.89, 173, 166.55, 168.79, 6767230, 0.0
2021-01-19 23:00:00, 175.48, 181.7, 170.11, 171.02, 5893335, 0.0
2021-01-20 23:00:00, 170.25, 174.08, 167.5, 172.81, 3589090, 0.0
2021-01-21 23:00:00, 172.6, 172.8, 168.5, 171.89, 3951314, 0.0
2021-01-24 23:00:00, 181.45, 195.11, 179.5, 180.4, 11964126, 0.0
2021-01-25 23:00:00, 181.6, 182.07, 172.58, 174.05, 6040079, 0.0
2021-01-26 23:00:00, 169.96, 173.2, 165.88, 166.3, 4733100, 0.0
2021-01-27 23:00:00, 169.26, 174.6999, 164.64, 169.52, 3511163, 0.0
2021-01-28 23:00:00, 169.6, 175.35, 165.15, 165.75, 4314209, 0.0
2021-01-31 23:00:00, 173.53, 179.5, 169.45, 173.96, 4861946, 0.0
