Date, Open, High, Low, Close, Volume, Open Interest
2021-02-25 23:00:00, 5.86, 5.97, 5.81, 5.84, 27758879, 0.0
2021-02-28 23:00:00, 5.89, 6.04, 5.84, 6.03, 19053893, 0.0
2021-03-01 23:00:00, 6.02, 6.04, 5.96, 5.97, 15895631, 0.0
2021-03-02 23:00:00, 5.97, 6, 5.87, 5.88, 19528730, 0.0
2021-03-03 23:00:00, 5.88, 5.95, 5.76, 5.795, 25305543, 0.0
2021-03-04 23:00:00, 5.81, 5.92, 5.76, 5.89, 27379393, 0.0
2021-03-07 23:00:00, 5.88, 5.99, 5.86, 5.9, 31762734, 0.0
2021-03-08 23:00:00, 5.93, 6.04, 5.88, 5.98, 25101323, 0.0
2021-03-09 23:00:00, 6.02, 6.13, 5.965, 6.06, 22905005, 0.0
2021-03-10 23:00:00, 6.05, 6.18, 6.05, 6.135, 16841127, 0.0
2021-03-11 23:00:00, 6.09, 6.2, 6.08, 6.17, 19104552, 0.0
2021-03-14 23:00:00, 6.18, 6.29, 6.16, 6.25, 17494396, 0.0
2021-03-15 23:00:00, 6.28, 6.4, 6.25, 6.325, 28132869, 0.0
2021-03-16 23:00:00, 6.31, 6.31, 6.16, 6.295, 23879786, 0.0
2021-03-17 23:00:00, 6.21, 6.265, 6.06, 6.09, 17781929, 0.0
2021-03-18 23:00:00, 6.08, 6.175, 6.06, 6.06, 23399570, 0.0
2021-03-21 23:00:00, 6.17, 6.335, 6.08, 6.32, 24616752, 0.0
2021-03-22 23:00:00, 6.31, 6.42, 6.22, 6.24, 19871942, 0.0
2021-03-23 23:00:00, 6.24, 6.29, 6.1, 6.11, 21188844, 0.0
2021-03-24 23:00:00, 6.16, 6.21, 6.1, 6.15, 14092382, 0.0
2021-03-25 23:00:00, 6.15, 6.28, 6.11, 6.23, 23428724, 0.0
2021-03-28 23:00:00, 6.19, 6.28, 6.11, 6.145, 16429088, 0.0
2021-03-29 23:00:00, 6.15, 6.18, 6.09, 6.13, 14878456, 0.0
2021-03-30 23:00:00, 6.14, 6.2, 6.08, 6.095, 15874009, 0.0
2021-03-31 23:00:00, 6.12, 6.28, 6.12, 6.265, 18682533, 0.0
2021-04-04 23:00:00, 6.27, 6.335, 6.25, 6.305, 15961006, 0.0
2021-04-05 23:00:00, 6.27, 6.34, 6.25, 6.34, 16622913, 0.0
2021-04-06 23:00:00, 6.35, 6.37, 6.28, 6.34, 12834550, 0.0
2021-04-07 23:00:00, 6.32, 6.355, 6.27, 6.32, 11287401, 0.0
2021-04-08 23:00:00, 6.32, 6.38, 6.27, 6.35, 16677911, 0.0
2021-04-11 23:00:00, 6.3, 6.34, 6.2, 6.235, 15709050, 0.0
2021-04-12 23:00:00, 6.24, 6.24, 6.16, 6.21, 14362623, 0.0
2021-04-13 23:00:00, 6.19, 6.32, 6.1862, 6.285, 16088712, 0.0
2021-04-14 23:00:00, 6.31, 6.34, 6.24, 6.25, 16015143, 0.0
2021-04-15 23:00:00, 6.24, 6.33, 6.23, 6.3273, 12822029, 0.0
2021-04-18 23:00:00, 6.31, 6.34, 6.24, 6.285, 12066090, 0.0
2021-04-19 23:00:00, 6.27, 6.33, 6.23, 6.32, 15940597, 0.0
2021-04-20 23:00:00, 6.31, 6.43, 6.29, 6.4, 19603726, 0.0
2021-04-21 23:00:00, 6.38, 6.415, 6.27, 6.2901, 15489503, 0.0
2021-04-22 23:00:00, 6.3, 6.41, 6.27, 6.375, 13346378, 0.0
2021-04-25 23:00:00, 6.34, 6.43, 6.325, 6.355, 13218695, 0.0
2021-04-26 23:00:00, 6.4, 6.42, 6.27, 6.28, 24499032, 0.0
2021-04-27 23:00:00, 6.25, 6.25, 5.96, 6.07, 39387592, 0.0
2021-04-28 23:00:00, 6.03, 6.14, 6.01, 6.13, 24126523, 0.0
2021-04-29 23:00:00, 6.06, 6.15, 6.05, 6.12, 18351565, 0.0
2021-05-02 23:00:00, 6.14, 6.15, 6.05, 6.055, 13652720, 0.0
2021-05-03 23:00:00, 6.07, 6.075, 5.97, 6.01, 18397431, 0.0
2021-05-04 23:00:00, 5.99, 6.06, 5.96, 6.025, 20820204, 0.0
2021-05-05 23:00:00, 6.02, 6.05, 5.95, 5.99, 13999551, 0.0
2021-05-06 23:00:00, 5.99, 6.1, 5.97, 6.03, 14511123, 0.0
2021-05-09 23:00:00, 6.04, 6.08, 5.95, 5.96, 16104026, 0.0
2021-05-10 23:00:00, 6.01, 6, 5.86, 5.86, 18893157, 0.0
2021-05-11 23:00:00, 5.82, 5.865, 5.75, 5.78, 21372927, 0.0
2021-05-12 23:00:00, 5.78, 5.9, 5.78, 5.84, 18181007, 0.0
2021-05-13 23:00:00, 5.84, 5.94, 5.83, 5.91, 13455042, 0.0
2021-05-16 23:00:00, 5.89, 5.925, 5.82, 5.87, 13687592, 0.0
2021-05-17 23:00:00, 5.89, 5.94, 5.83, 5.865, 15452130, 0.0
2021-05-18 23:00:00, 5.82, 5.84, 5.76, 5.815, 20907021, 0.0
2021-05-19 23:00:00, 5.79, 5.98, 5.79, 5.98, 13418547, 0.0
2021-05-20 23:00:00, 5.95, 6.01, 5.9, 5.95, 15605447, 0.0
2021-05-23 23:00:00, 6.05, 6.175, 5.97, 6.14, 23239139, 0.0
2021-05-24 23:00:00, 6.12, 6.16, 5.95, 6, 24885216, 0.0
2021-05-25 23:00:00, 6.02, 6.08, 5.995, 6.045, 5694380, 0.0
