Date, Open, High, Low, Close, Volume, Open Interest
2021-05-25 10:28:00, 597.89, 597.9, 597.07, 597.21, 2129, 0.0
2021-05-25 10:29:00, 597.52, 597.89, 597.31, 597.78, 1243, 0.0
2021-05-25 10:30:00, 597.6, 597.89, 597.46, 597.47, 1536, 0.0
2021-05-25 10:31:00, 596.89, 597.06, 596.73, 596.73, 1214, 0.0
2021-05-25 10:32:00, 596.97, 596.97, 596.33, 596.605, 1456, 0.0
2021-05-25 10:33:00, 596.61, 596.61, 596.1, 596.1, 1371, 0.0
2021-05-25 10:34:00, 595.93, 596.4, 595.93, 596.12, 2048, 0.0
2021-05-25 10:35:00, 596.11, 597.53, 596.11, 597.14, 3585, 0.0
2021-05-25 10:36:00, 597.33, 597.68, 597.04, 597.04, 1427, 0.0
2021-05-25 10:37:00, 597.02, 597.61, 597.02, 597.61, 716, 0.0
2021-05-25 10:38:00, 596.86, 596.86, 596.56, 596.7, 799, 0.0
2021-05-25 10:39:00, 596.6, 596.93, 596.33, 596.93, 2075, 0.0
2021-05-25 10:40:00, 597.26, 597.26, 597.26, 597.26, 376, 0.0
2021-05-25 10:41:00, 597.19, 597.9, 597.19, 597.5, 741, 0.0
2021-05-25 10:42:00, 597.24, 597.79, 597.24, 597.79, 762, 0.0
2021-05-25 10:43:00, 597.48, 598.5, 597.47, 598.5, 1521, 0.0
2021-05-25 10:44:00, 598.73, 598.92, 598.47, 598.55, 1858, 0.0
2021-05-25 10:45:00, 598.79, 599.09, 598.57, 599.09, 1131, 0.0
2021-05-25 10:46:00, 599.2, 599.24, 599.04, 599.04, 1202, 0.0
2021-05-25 10:47:00, 598.77, 598.77, 598.51, 598.63, 614, 0.0
2021-05-25 10:48:00, 598.71, 599, 598.71, 599, 632, 0.0
2021-05-25 10:49:00, 598.95, 598.95, 598.68, 598.68, 536, 0.0
2021-05-25 10:50:00, 598.68, 598.78, 598.68, 598.77, 668, 0.0
2021-05-25 10:51:00, 598.47, 598.47, 597.91, 597.91, 1431, 0.0
2021-05-25 10:52:00, 597.33, 597.42, 597.33, 597.42, 600, 0.0
2021-05-25 10:53:00, 598.47, 598.47, 598.47, 598.47, 351, 0.0
2021-05-25 10:54:00, 598.34, 598.37, 598.26, 598.37, 516, 0.0
2021-05-25 10:55:00, 598.89, 599.67, 598.89, 599.54, 1769, 0.0
2021-05-25 10:56:00, 599.66, 599.67, 599.56, 599.56, 882, 0.0
2021-05-25 10:57:00, 599.2, 600, 599.2, 599.83, 1501, 0.0
2021-05-25 10:58:00, 599.82, 599.9, 599.72, 599.83, 1032, 0.0
2021-05-25 10:59:00, 599.69, 600.2, 599.69, 600.2, 1667, 0.0
2021-05-25 11:00:00, 600.16, 600.46, 599.86, 599.86, 1519, 0.0
2021-05-25 11:01:00, 599.32, 599.68, 599.32, 599.53, 1906, 0.0
2021-05-25 11:02:00, 599.16, 599.87, 599.16, 599.63, 967, 0.0
2021-05-25 11:03:00, 599.03, 599.14, 598.99, 599.14, 761, 0.0
2021-05-25 11:04:00, 599.185, 599.5, 599.185, 599.49, 465, 0.0
2021-05-25 11:05:00, 600.02, 600.46, 600.02, 600.39, 2028, 0.0
2021-05-25 11:06:00, 600.37, 600.37, 599.83, 599.83, 943, 0.0
2021-05-25 11:07:00, 600.12, 600.64, 600.12, 600.38, 1398, 0.0
2021-05-25 11:08:00, 600.91, 601.02, 600.61, 601.02, 1312, 0.0
2021-05-25 11:09:00, 601.04, 601.1, 601.04, 601.1, 451, 0.0
2021-05-25 11:10:00, 601.31, 601.31, 600.97, 600.97, 319, 0.0
2021-05-25 11:11:00, 601.15, 601.15, 601.15, 601.15, 142, 0.0
2021-05-25 11:12:00, 600.62, 600.69, 600.57, 600.69, 879, 0.0
2021-05-25 11:13:00, 600.37, 600.38, 600.3, 600.3, 926, 0.0
2021-05-25 11:15:00, 600.05, 600.05, 599.82, 599.82, 795, 0.0
2021-05-25 11:16:00, 599.45, 599.98, 599.45, 599.98, 831, 0.0
2021-05-25 11:17:00, 599.32, 599.5, 598.88, 598.99, 1234, 0.0
2021-05-25 11:18:00, 599.19, 599.32, 599.08, 599.32, 942, 0.0
2021-05-25 11:19:00, 598.39, 598.61, 598.38, 598.61, 1151, 0.0
2021-05-25 11:20:00, 598.73, 599.18, 598.73, 599.18, 1936, 0.0
2021-05-25 11:21:00, 599.15, 599.39, 599.15, 599.16, 1103, 0.0
2021-05-25 11:22:00, 599.38, 599.52, 599.22, 599.22, 1144, 0.0
2021-05-25 11:23:00, 599.13, 599.15, 599.03, 599.03, 1119, 0.0
