Date, Open, High, Low, Close, Volume, Open Interest
2021-05-25 10:45:00, 188.52, 188.82, 188.175, 188.82, 3173, 0.0
2021-05-25 11:00:00, 188.77, 188.78, 188.555, 188.68, 2735, 0.0
2021-05-25 11:15:00, 188.54, 188.6, 188.46, 188.5, 2149, 0.0
2021-05-25 11:30:00, 188.56, 188.73, 188.39, 188.39, 1857, 0.0
2021-05-25 11:45:00, 188.41, 188.455, 188.24, 188.34, 1677, 0.0
2021-05-25 12:00:00, 188.16, 188.21, 188.04, 188.21, 1617, 0.0
2021-05-25 12:15:00, 188.42, 188.75, 188.42, 188.735, 2223, 0.0
2021-05-25 12:30:00, 188.71, 188.88, 188.5, 188.61, 2344, 0.0
2021-05-25 12:45:00, 188.6, 188.925, 188.57, 188.85, 4071, 0.0
2021-05-25 13:00:00, 188.885, 188.885, 188.465, 188.76, 3442, 0.0
2021-05-25 13:15:00, 188.68, 188.82, 188.58, 188.58, 2536, 0.0
2021-05-25 13:30:00, 188.52, 188.68, 188.27, 188.46, 4801, 0.0
2021-05-25 13:45:00, 188.365, 188.5, 188.34, 188.42, 4751, 0.0
2021-05-25 14:00:00, 188.36, 188.38, 188.01, 188.03, 4152, 0.0
2021-05-25 14:15:00, 188.03, 188.45, 188.03, 188.32, 3084, 0.0
2021-05-25 14:30:00, 188.24, 188.33, 187.9, 188.26, 7654, 0.0
2021-05-25 14:45:00, 188.29, 188.82, 188.07, 188.68, 26582, 0.0
2021-05-26 08:30:00, 187.99, 189.67, 187.99, 189.02, 12515, 0.0
2021-05-26 08:45:00, 189.05, 189.135, 187.75, 187.79, 9856, 0.0
2021-05-26 09:00:00, 187.77, 188.32, 187.45, 188.13, 5808, 0.0
2021-05-26 09:15:00, 188.13, 188.43, 187.83, 188.025, 7208, 0.0
2021-05-26 09:30:00, 187.95, 188.17, 187.66, 187.66, 6618, 0.0
2021-05-26 09:45:00, 187.75, 187.99, 187.67, 187.87, 6523, 0.0
2021-05-26 10:00:00, 187.83, 187.83, 187.36, 187.58, 7217, 0.0
2021-05-26 10:15:00, 187.55, 187.55, 187.16, 187.16, 7759, 0.0
2021-05-26 10:30:00, 187.28, 187.33, 186.97, 187.26, 4545, 0.0
